series,timestamp,value
"consumer-controlplane",1785347882,"213"
"consumer-controlplane",1785347887,"213"
"consumer-controlplane",1785347892,"216"
"consumer-controlplane",1785347897,"216"
"consumer-controlplane",1785347902,"216"
"consumer-controlplane",1785347907,"216"
"consumer-controlplane",1785347912,"216"
"consumer-controlplane",1785347917,"216"
"consumer-controlplane",1785347922,"216"
"consumer-controlplane",1785347927,"215"
"consumer-controlplane",1785347932,"214"
"consumer-controlplane",1785347937,"214"
"consumer-controlplane",1785347942,"212"
"consumer-controlplane",1785347947,"212"
"consumer-controlplane",1785347952,"212"
"consumer-controlplane",1785347957,"212"
"consumer-controlplane",1785347962,"212"
"consumer-controlplane",1785347967,"212"
"consumer-controlplane",1785347972,"212"
"consumer-controlplane",1785347977,"212"
"consumer-controlplane",1785347982,"212"
"consumer-controlplane",1785347987,"212"
"consumer-controlplane",1785347992,"212"
"consumer-controlplane",1785347997,"212"
"consumer-controlplane",1785348002,"211"
"consumer-controlplane",1785348007,"211"
"consumer-controlplane",1785348012,"211"
"consumer-controlplane",1785348017,"211"
"consumer-dataplane",1785347882,"78"
"consumer-dataplane",1785347887,"78"
"consumer-dataplane",1785347892,"78"
"consumer-dataplane",1785347897,"78"
"consumer-dataplane",1785347902,"78"
"consumer-dataplane",1785347907,"78"
"consumer-dataplane",1785347912,"78"
"consumer-dataplane",1785347917,"78"
"consumer-dataplane",1785347922,"78"
"consumer-dataplane",1785347927,"78"
"consumer-dataplane",1785347932,"78"
"consumer-dataplane",1785347937,"78"
"consumer-dataplane",1785347942,"78"
"consumer-dataplane",1785347947,"78"
"consumer-dataplane",1785347952,"78"
"consumer-dataplane",1785347957,"78"
"consumer-dataplane",1785347962,"78"
"consumer-dataplane",1785347967,"78"
"consumer-dataplane",1785347972,"78"
"consumer-dataplane",1785347977,"78"
"consumer-dataplane",1785347982,"78"
"consumer-dataplane",1785347987,"78"
"consumer-dataplane",1785347992,"78"
"consumer-dataplane",1785347997,"78"
"consumer-dataplane",1785348002,"78"
"consumer-dataplane",1785348007,"78"
"consumer-dataplane",1785348012,"78"
"consumer-dataplane",1785348017,"78"
"provider-controlplane",1785347882,"113"
"provider-controlplane",1785347887,"113"
"provider-controlplane",1785347892,"114"
"provider-controlplane",1785347897,"115"
"provider-controlplane",1785347902,"116"
"provider-controlplane",1785347907,"116"
"provider-controlplane",1785347912,"117"
"provider-controlplane",1785347917,"117"
"provider-controlplane",1785347922,"117"
"provider-controlplane",1785347927,"117"
"provider-controlplane",1785347932,"116"
"provider-controlplane",1785347937,"116"
"provider-controlplane",1785347942,"116"
"provider-controlplane",1785347947,"113"
"provider-controlplane",1785347952,"110"
"provider-controlplane",1785347957,"110"
"provider-controlplane",1785347962,"110"
"provider-controlplane",1785347967,"110"
"provider-controlplane",1785347972,"110"
"provider-controlplane",1785347977,"110"
"provider-controlplane",1785347982,"110"
"provider-controlplane",1785347987,"110"
"provider-controlplane",1785347992,"110"
"provider-controlplane",1785347997,"110"
"provider-controlplane",1785348002,"110"
"provider-controlplane",1785348007,"110"
"provider-controlplane",1785348012,"110"
"provider-controlplane",1785348017,"110"
"provider-dataplane",1785347882,"98"
"provider-dataplane",1785347887,"98"
"provider-dataplane",1785347892,"98"
"provider-dataplane",1785347897,"119"
"provider-dataplane",1785347902,"119"
"provider-dataplane",1785347907,"119"
"provider-dataplane",1785347912,"119"
"provider-dataplane",1785347917,"119"
"provider-dataplane",1785347922,"119"
"provider-dataplane",1785347927,"119"
"provider-dataplane",1785347932,"119"
"provider-dataplane",1785347937,"119"
"provider-dataplane",1785347942,"119"
"provider-dataplane",1785347947,"119"
"provider-dataplane",1785347952,"119"
"provider-dataplane",1785347957,"118"
"provider-dataplane",1785347962,"118"
"provider-dataplane",1785347967,"118"
"provider-dataplane",1785347972,"118"
"provider-dataplane",1785347977,"118"
"provider-dataplane",1785347982,"118"
"provider-dataplane",1785347987,"118"
"provider-dataplane",1785347992,"118"
"provider-dataplane",1785347997,"118"
"provider-dataplane",1785348002,"118"
"provider-dataplane",1785348007,"118"
"provider-dataplane",1785348012,"118"
"provider-dataplane",1785348017,"117"
