series,timestamp,value
"consumer-controlplane",1785349917,"201922000"
"consumer-controlplane",1785349922,"170346808"
"consumer-controlplane",1785349927,"232338424"
"consumer-controlplane",1785349932,"87413760"
"consumer-controlplane",1785349937,"161662904"
"consumer-controlplane",1785349942,"233171040"
"consumer-controlplane",1785349947,"91884800"
"consumer-controlplane",1785349952,"163482520"
"consumer-controlplane",1785349957,"238906360"
"consumer-controlplane",1785349962,"97847768"
"consumer-controlplane",1785349967,"171366040"
"consumer-controlplane",1785349972,"238971328"
"consumer-controlplane",1785349977,"88823144"
"consumer-controlplane",1785349982,"143851192"
"consumer-controlplane",1785349987,"206615416"
"consumer-controlplane",1785349992,"277378320"
"consumer-controlplane",1785349997,"132442296"
"consumer-controlplane",1785350002,"201798544"
"consumer-controlplane",1785350007,"276240360"
"consumer-controlplane",1785350012,"130954088"
"consumer-controlplane",1785350017,"200192048"
"consumer-controlplane",1785350022,"269191592"
"consumer-controlplane",1785350027,"131704672"
"consumer-controlplane",1785350032,"202977864"
"consumer-controlplane",1785350037,"275449808"
"consumer-controlplane",1785350042,"138305960"
"consumer-controlplane",1785350047,"187769552"
"consumer-controlplane",1785350052,"191346216"
"consumer-dataplane",1785349917,"135708968"
"consumer-dataplane",1785349922,"135743080"
"consumer-dataplane",1785349927,"135829840"
"consumer-dataplane",1785349932,"138461600"
"consumer-dataplane",1785349937,"138469808"
"consumer-dataplane",1785349942,"138551096"
"consumer-dataplane",1785349947,"141266912"
"consumer-dataplane",1785349952,"141429224"
"consumer-dataplane",1785349957,"141471600"
"consumer-dataplane",1785349962,"143781728"
"consumer-dataplane",1785349967,"144245680"
"consumer-dataplane",1785349972,"144253888"
"consumer-dataplane",1785349977,"146556384"
"consumer-dataplane",1785349982,"147070120"
"consumer-dataplane",1785349987,"147078328"
"consumer-dataplane",1785349992,"149296744"
"consumer-dataplane",1785349997,"149819400"
"consumer-dataplane",1785350002,"149861112"
"consumer-dataplane",1785350007,"149942392"
"consumer-dataplane",1785350012,"152222824"
"consumer-dataplane",1785350017,"152711280"
"consumer-dataplane",1785350022,"152747440"
"consumer-dataplane",1785350027,"155024736"
"consumer-dataplane",1785350032,"155521384"
"consumer-dataplane",1785350037,"155563096"
"consumer-dataplane",1785350042,"157814912"
"consumer-dataplane",1785350047,"158019096"
"consumer-dataplane",1785350052,"158482928"
"provider-controlplane",1785349917,"98857048"
"provider-controlplane",1785349922,"175153984"
"provider-controlplane",1785349927,"228653552"
"provider-controlplane",1785349932,"212199328"
"provider-controlplane",1785349937,"179499904"
"provider-controlplane",1785349942,"105367968"
"provider-controlplane",1785349947,"187780760"
"provider-controlplane",1785349952,"137272664"
"provider-controlplane",1785349957,"149378096"
"provider-controlplane",1785349962,"114672184"
"provider-controlplane",1785349967,"213264128"
"provider-controlplane",1785349972,"157400144"
"provider-controlplane",1785349977,"115957472"
"provider-controlplane",1785349982,"129134008"
"provider-controlplane",1785349987,"115290720"
"provider-controlplane",1785349992,"128446624"
"provider-controlplane",1785349997,"133978352"
"provider-controlplane",1785350002,"103310056"
"provider-controlplane",1785350007,"224460376"
"provider-controlplane",1785350012,"183340840"
"provider-controlplane",1785350017,"191333512"
"provider-controlplane",1785350022,"146132984"
"provider-controlplane",1785350027,"216531704"
"provider-controlplane",1785350032,"117242840"
"provider-controlplane",1785350037,"224340232"
"provider-controlplane",1785350042,"208318280"
"provider-controlplane",1785350047,"115681296"
"provider-controlplane",1785350052,"128394264"
"provider-dataplane",1785349917,"139483896"
"provider-dataplane",1785349922,"170855728"
"provider-dataplane",1785349927,"202493144"
"provider-dataplane",1785349932,"230581920"
"provider-dataplane",1785349937,"109060208"
"provider-dataplane",1785349942,"137205352"
"provider-dataplane",1785349947,"163232840"
"provider-dataplane",1785349952,"187180120"
"provider-dataplane",1785349957,"215328560"
"provider-dataplane",1785349962,"98934944"
"provider-dataplane",1785349967,"127922960"
"provider-dataplane",1785349972,"156728224"
"provider-dataplane",1785349977,"171368192"
"provider-dataplane",1785349982,"185976752"
"provider-dataplane",1785349987,"210197456"
"provider-dataplane",1785349992,"236739088"
"provider-dataplane",1785349997,"117088680"
"provider-dataplane",1785350002,"145272216"
"provider-dataplane",1785350007,"173450480"
"provider-dataplane",1785350012,"199175616"
"provider-dataplane",1785350017,"227357232"
"provider-dataplane",1785350022,"112718880"
"provider-dataplane",1785350027,"144650888"
"provider-dataplane",1785350032,"173929760"
"provider-dataplane",1785350037,"200622112"
"provider-dataplane",1785350042,"229960824"
"provider-dataplane",1785350047,"118629264"
"provider-dataplane",1785350052,"151260576"
