series,timestamp,value
"consumer-controlplane",1785344841,"217"
"consumer-controlplane",1785344846,"217"
"consumer-controlplane",1785344851,"217"
"consumer-controlplane",1785344856,"216"
"consumer-controlplane",1785344861,"215"
"consumer-controlplane",1785344866,"215"
"consumer-controlplane",1785344871,"215"
"consumer-controlplane",1785344876,"215"
"consumer-controlplane",1785344881,"215"
"consumer-controlplane",1785344886,"215"
"consumer-controlplane",1785344891,"215"
"consumer-controlplane",1785344896,"215"
"consumer-controlplane",1785344901,"214"
"consumer-controlplane",1785344906,"211"
"consumer-controlplane",1785344911,"211"
"consumer-controlplane",1785344916,"211"
"consumer-controlplane",1785344921,"211"
"consumer-controlplane",1785344926,"213"
"consumer-controlplane",1785344931,"213"
"consumer-controlplane",1785344936,"213"
"consumer-controlplane",1785344941,"213"
"consumer-controlplane",1785344946,"213"
"consumer-controlplane",1785344951,"213"
"consumer-controlplane",1785344956,"213"
"consumer-controlplane",1785344961,"213"
"consumer-controlplane",1785344966,"214"
"consumer-controlplane",1785344971,"215"
"consumer-controlplane",1785344976,"215"
"consumer-controlplane",1785344981,"214"
"consumer-controlplane",1785344986,"214"
"consumer-controlplane",1785344991,"214"
"consumer-controlplane",1785344996,"215"
"consumer-controlplane",1785345001,"216"
"consumer-controlplane",1785345006,"218"
"consumer-controlplane",1785345011,"218"
"consumer-controlplane",1785345016,"219"
"consumer-controlplane",1785345021,"219"
"consumer-controlplane",1785345026,"219"
"consumer-controlplane",1785345031,"219"
"consumer-controlplane",1785345036,"219"
"consumer-controlplane",1785345041,"218"
"consumer-controlplane",1785345046,"218"
"consumer-controlplane",1785345051,"218"
"consumer-controlplane",1785345056,"218"
"consumer-controlplane",1785345061,"218"
"consumer-controlplane",1785345066,"217"
"consumer-controlplane",1785345071,"217"
"consumer-controlplane",1785345076,"217"
"consumer-controlplane",1785345081,"217"
"consumer-controlplane",1785345086,"217"
"consumer-controlplane",1785345091,"217"
"consumer-controlplane",1785345096,"217"
"consumer-controlplane",1785345101,"216"
"consumer-controlplane",1785345106,"216"
"consumer-controlplane",1785345111,"216"
"consumer-controlplane",1785345116,"216"
"consumer-controlplane",1785345121,"216"
"consumer-controlplane",1785345126,"217"
"consumer-controlplane",1785345131,"218"
"consumer-controlplane",1785345136,"218"
"consumer-controlplane",1785345141,"218"
"consumer-controlplane",1785345146,"218"
"consumer-controlplane",1785345151,"218"
"consumer-controlplane",1785345156,"218"
"consumer-controlplane",1785345161,"217"
"consumer-controlplane",1785345166,"217"
"consumer-controlplane",1785345171,"217"
"consumer-controlplane",1785345176,"219"
"consumer-controlplane",1785345181,"219"
"consumer-controlplane",1785345186,"219"
"consumer-controlplane",1785345191,"218"
"consumer-controlplane",1785345196,"218"
"consumer-controlplane",1785345201,"218"
"consumer-controlplane",1785345206,"218"
"consumer-controlplane",1785345211,"218"
"consumer-controlplane",1785345216,"218"
"consumer-controlplane",1785345221,"217"
"consumer-controlplane",1785345226,"217"
"consumer-controlplane",1785345231,"217"
"consumer-controlplane",1785345236,"216"
"consumer-controlplane",1785345241,"217"
"consumer-controlplane",1785345246,"217"
"consumer-controlplane",1785345251,"217"
"consumer-controlplane",1785345256,"217"
"consumer-controlplane",1785345261,"217"
"consumer-controlplane",1785345266,"217"
"consumer-controlplane",1785345271,"217"
"consumer-controlplane",1785345276,"217"
"consumer-controlplane",1785345281,"216"
"consumer-controlplane",1785345286,"216"
"consumer-controlplane",1785345291,"216"
"consumer-controlplane",1785345296,"216"
"consumer-controlplane",1785345301,"216"
"consumer-controlplane",1785345306,"216"
"consumer-controlplane",1785345311,"216"
"consumer-controlplane",1785345316,"218"
"consumer-controlplane",1785345321,"218"
"consumer-controlplane",1785345326,"218"
"consumer-controlplane",1785345331,"219"
"consumer-controlplane",1785345336,"219"
"consumer-controlplane",1785345341,"218"
"consumer-controlplane",1785345346,"218"
"consumer-controlplane",1785345351,"218"
"consumer-controlplane",1785345356,"218"
"consumer-controlplane",1785345361,"218"
"consumer-controlplane",1785345366,"218"
"consumer-controlplane",1785345371,"218"
"consumer-controlplane",1785345376,"218"
"consumer-controlplane",1785345381,"218"
"consumer-controlplane",1785345386,"218"
"consumer-controlplane",1785345391,"218"
"consumer-controlplane",1785345396,"218"
"consumer-controlplane",1785345401,"217"
"consumer-controlplane",1785345406,"217"
"consumer-controlplane",1785345411,"217"
"consumer-controlplane",1785345416,"217"
"consumer-controlplane",1785345421,"216"
"consumer-controlplane",1785345426,"216"
"consumer-controlplane",1785345431,"216"
"consumer-controlplane",1785345436,"216"
"consumer-controlplane",1785345441,"218"
"consumer-controlplane",1785345446,"218"
"consumer-controlplane",1785345451,"218"
"consumer-controlplane",1785345456,"218"
"consumer-controlplane",1785345461,"217"
"consumer-controlplane",1785345466,"217"
"consumer-controlplane",1785345471,"217"
"consumer-controlplane",1785345476,"217"
"consumer-controlplane",1785345481,"217"
"consumer-controlplane",1785345486,"217"
"consumer-dataplane",1785344841,"78"
"consumer-dataplane",1785344846,"78"
"consumer-dataplane",1785344851,"78"
"consumer-dataplane",1785344856,"78"
"consumer-dataplane",1785344861,"78"
"consumer-dataplane",1785344866,"78"
"consumer-dataplane",1785344871,"78"
"consumer-dataplane",1785344876,"78"
"consumer-dataplane",1785344881,"78"
"consumer-dataplane",1785344886,"78"
"consumer-dataplane",1785344891,"78"
"consumer-dataplane",1785344896,"78"
"consumer-dataplane",1785344901,"78"
"consumer-dataplane",1785344906,"78"
"consumer-dataplane",1785344911,"78"
"consumer-dataplane",1785344916,"78"
"consumer-dataplane",1785344921,"78"
"consumer-dataplane",1785344926,"78"
"consumer-dataplane",1785344931,"78"
"consumer-dataplane",1785344936,"78"
"consumer-dataplane",1785344941,"78"
"consumer-dataplane",1785344946,"78"
"consumer-dataplane",1785344951,"78"
"consumer-dataplane",1785344956,"78"
"consumer-dataplane",1785344961,"78"
"consumer-dataplane",1785344966,"78"
"consumer-dataplane",1785344971,"78"
"consumer-dataplane",1785344976,"78"
"consumer-dataplane",1785344981,"78"
"consumer-dataplane",1785344986,"78"
"consumer-dataplane",1785344991,"78"
"consumer-dataplane",1785344996,"78"
"consumer-dataplane",1785345001,"78"
"consumer-dataplane",1785345006,"78"
"consumer-dataplane",1785345011,"78"
"consumer-dataplane",1785345016,"78"
"consumer-dataplane",1785345021,"78"
"consumer-dataplane",1785345026,"78"
"consumer-dataplane",1785345031,"78"
"consumer-dataplane",1785345036,"78"
"consumer-dataplane",1785345041,"78"
"consumer-dataplane",1785345046,"78"
"consumer-dataplane",1785345051,"78"
"consumer-dataplane",1785345056,"78"
"consumer-dataplane",1785345061,"78"
"consumer-dataplane",1785345066,"78"
"consumer-dataplane",1785345071,"78"
"consumer-dataplane",1785345076,"79"
"consumer-dataplane",1785345081,"79"
"consumer-dataplane",1785345086,"79"
"consumer-dataplane",1785345091,"79"
"consumer-dataplane",1785345096,"79"
"consumer-dataplane",1785345101,"79"
"consumer-dataplane",1785345106,"79"
"consumer-dataplane",1785345111,"79"
"consumer-dataplane",1785345116,"79"
"consumer-dataplane",1785345121,"79"
"consumer-dataplane",1785345126,"79"
"consumer-dataplane",1785345131,"79"
"consumer-dataplane",1785345136,"79"
"consumer-dataplane",1785345141,"78"
"consumer-dataplane",1785345146,"78"
"consumer-dataplane",1785345151,"78"
"consumer-dataplane",1785345156,"78"
"consumer-dataplane",1785345161,"78"
"consumer-dataplane",1785345166,"78"
"consumer-dataplane",1785345171,"78"
"consumer-dataplane",1785345176,"78"
"consumer-dataplane",1785345181,"78"
"consumer-dataplane",1785345186,"78"
"consumer-dataplane",1785345191,"78"
"consumer-dataplane",1785345196,"78"
"consumer-dataplane",1785345201,"78"
"consumer-dataplane",1785345206,"78"
"consumer-dataplane",1785345211,"78"
"consumer-dataplane",1785345216,"78"
"consumer-dataplane",1785345221,"78"
"consumer-dataplane",1785345226,"78"
"consumer-dataplane",1785345231,"78"
"consumer-dataplane",1785345236,"78"
"consumer-dataplane",1785345241,"78"
"consumer-dataplane",1785345246,"78"
"consumer-dataplane",1785345251,"78"
"consumer-dataplane",1785345256,"78"
"consumer-dataplane",1785345261,"78"
"consumer-dataplane",1785345266,"78"
"consumer-dataplane",1785345271,"78"
"consumer-dataplane",1785345276,"78"
"consumer-dataplane",1785345281,"78"
"consumer-dataplane",1785345286,"78"
"consumer-dataplane",1785345291,"78"
"consumer-dataplane",1785345296,"78"
"consumer-dataplane",1785345301,"78"
"consumer-dataplane",1785345306,"78"
"consumer-dataplane",1785345311,"78"
"consumer-dataplane",1785345316,"78"
"consumer-dataplane",1785345321,"78"
"consumer-dataplane",1785345326,"78"
"consumer-dataplane",1785345331,"79"
"consumer-dataplane",1785345336,"79"
"consumer-dataplane",1785345341,"79"
"consumer-dataplane",1785345346,"79"
"consumer-dataplane",1785345351,"79"
"consumer-dataplane",1785345356,"79"
"consumer-dataplane",1785345361,"79"
"consumer-dataplane",1785345366,"79"
"consumer-dataplane",1785345371,"79"
"consumer-dataplane",1785345376,"79"
"consumer-dataplane",1785345381,"79"
