series,timestamp,value
"consumer-controlplane",1785693012,"142"
"consumer-controlplane",1785693017,"142"
"consumer-controlplane",1785693022,"145"
"consumer-controlplane",1785693027,"145"
"consumer-controlplane",1785693032,"145"
"consumer-controlplane",1785693037,"145"
"consumer-controlplane",1785693042,"145"
"consumer-controlplane",1785693047,"144"
"consumer-controlplane",1785693052,"144"
"consumer-controlplane",1785693057,"144"
"consumer-controlplane",1785693062,"142"
"consumer-controlplane",1785693067,"142"
"consumer-controlplane",1785693072,"142"
"consumer-controlplane",1785693077,"142"
"consumer-controlplane",1785693082,"141"
"consumer-controlplane",1785693087,"141"
"consumer-controlplane",1785693092,"141"
"consumer-controlplane",1785693097,"141"
"consumer-controlplane",1785693102,"141"
"consumer-controlplane",1785693107,"140"
"consumer-controlplane",1785693112,"140"
"consumer-controlplane",1785693117,"140"
"consumer-dataplane",1785693012,"78"
"consumer-dataplane",1785693017,"78"
"consumer-dataplane",1785693022,"78"
"consumer-dataplane",1785693027,"78"
"consumer-dataplane",1785693032,"78"
"consumer-dataplane",1785693037,"78"
"consumer-dataplane",1785693042,"78"
"consumer-dataplane",1785693047,"78"
"consumer-dataplane",1785693052,"78"
"consumer-dataplane",1785693057,"78"
"consumer-dataplane",1785693062,"78"
"consumer-dataplane",1785693067,"78"
"consumer-dataplane",1785693072,"78"
"consumer-dataplane",1785693077,"78"
"consumer-dataplane",1785693082,"78"
"consumer-dataplane",1785693087,"78"
"consumer-dataplane",1785693092,"78"
"consumer-dataplane",1785693097,"78"
"consumer-dataplane",1785693102,"78"
"consumer-dataplane",1785693107,"77"
"consumer-dataplane",1785693112,"77"
"consumer-dataplane",1785693117,"77"
"provider-controlplane",1785693012,"109"
"provider-controlplane",1785693017,"109"
"provider-controlplane",1785693022,"109"
"provider-controlplane",1785693027,"110"
"provider-controlplane",1785693032,"110"
"provider-controlplane",1785693037,"110"
"provider-controlplane",1785693042,"109"
"provider-controlplane",1785693047,"109"
"provider-controlplane",1785693052,"109"
"provider-controlplane",1785693057,"109"
"provider-controlplane",1785693062,"109"
"provider-controlplane",1785693067,"109"
"provider-controlplane",1785693072,"109"
"provider-controlplane",1785693077,"106"
"provider-controlplane",1785693082,"103"
"provider-controlplane",1785693087,"103"
"provider-controlplane",1785693092,"103"
"provider-controlplane",1785693097,"103"
"provider-controlplane",1785693102,"103"
"provider-controlplane",1785693107,"103"
"provider-controlplane",1785693112,"103"
"provider-controlplane",1785693117,"103"
"provider-dataplane",1785693012,"124"
"provider-dataplane",1785693017,"124"
"provider-dataplane",1785693022,"123"
"provider-dataplane",1785693027,"123"
"provider-dataplane",1785693032,"123"
"provider-dataplane",1785693037,"123"
"provider-dataplane",1785693042,"123"
"provider-dataplane",1785693047,"123"
"provider-dataplane",1785693052,"123"
"provider-dataplane",1785693057,"123"
"provider-dataplane",1785693062,"123"
"provider-dataplane",1785693067,"123"
"provider-dataplane",1785693072,"123"
"provider-dataplane",1785693077,"121"
"provider-dataplane",1785693082,"121"
"provider-dataplane",1785693087,"120"
"provider-dataplane",1785693092,"120"
"provider-dataplane",1785693097,"120"
"provider-dataplane",1785693102,"120"
"provider-dataplane",1785693107,"120"
"provider-dataplane",1785693112,"120"
"provider-dataplane",1785693117,"120"
