series,timestamp,value
"consumer-controlplane",1785694064,"217965392"
"consumer-controlplane",1785694069,"173617064"
"consumer-controlplane",1785694074,"206734416"
"consumer-controlplane",1785694079,"137497160"
"consumer-controlplane",1785694084,"218395200"
"consumer-controlplane",1785694089,"161732856"
"consumer-controlplane",1785694094,"98512288"
"consumer-controlplane",1785694099,"185578216"
"consumer-controlplane",1785694104,"122904912"
"consumer-controlplane",1785694109,"201961344"
"consumer-controlplane",1785694114,"141988920"
"consumer-controlplane",1785694119,"224054600"
"consumer-controlplane",1785694124,"160125928"
"consumer-controlplane",1785694129,"107679360"
"consumer-controlplane",1785694134,"183147744"
"consumer-controlplane",1785694139,"128381672"
"consumer-controlplane",1785694144,"200682024"
"consumer-controlplane",1785694149,"148261416"
"consumer-controlplane",1785694154,"93403848"
"consumer-controlplane",1785694159,"173186240"
"consumer-controlplane",1785694164,"107212976"
"consumer-controlplane",1785694169,"110540280"
"consumer-dataplane",1785694064,"72135584"
"consumer-dataplane",1785694069,"72174784"
"consumer-dataplane",1785694074,"72174784"
"consumer-dataplane",1785694079,"74289888"
"consumer-dataplane",1785694084,"74780544"
"consumer-dataplane",1785694089,"74872912"
"consumer-dataplane",1785694094,"76931152"
"consumer-dataplane",1785694099,"77469136"
"consumer-dataplane",1785694104,"77511456"
"consumer-dataplane",1785694109,"79636216"
"consumer-dataplane",1785694114,"80193240"
"consumer-dataplane",1785694119,"80250192"
"consumer-dataplane",1785694124,"80292544"
"consumer-dataplane",1785694129,"82393384"
"consumer-dataplane",1785694134,"82858040"
"consumer-dataplane",1785694139,"83007328"
"consumer-dataplane",1785694144,"85107736"
"consumer-dataplane",1785694149,"85572392"
"consumer-dataplane",1785694154,"85629320"
"consumer-dataplane",1785694159,"87754096"
"consumer-dataplane",1785694164,"87995152"
"consumer-dataplane",1785694169,"88443440"
"provider-controlplane",1785694064,"556198912"
"provider-controlplane",1785694069,"603783616"
"provider-controlplane",1785694074,"319202168"
"provider-controlplane",1785694079,"426578712"
"provider-controlplane",1785694084,"207420216"
"provider-controlplane",1785694089,"423683032"
"provider-controlplane",1785694094,"182811056"
"provider-controlplane",1785694099,"458439864"
"provider-controlplane",1785694104,"207116008"
"provider-controlplane",1785694109,"499545896"
"provider-controlplane",1785694114,"201625112"
"provider-controlplane",1785694119,"517123760"
"provider-controlplane",1785694124,"201920256"
"provider-controlplane",1785694129,"529879800"
"provider-controlplane",1785694134,"170397552"
"provider-controlplane",1785694139,"503755560"
"provider-controlplane",1785694144,"151909496"
"provider-controlplane",1785694149,"547772632"
"provider-controlplane",1785694154,"532847592"
"provider-controlplane",1785694159,"243219856"
"provider-controlplane",1785694164,"427634568"
"provider-controlplane",1785694169,"439296280"
"provider-dataplane",1785694064,"126976800"
"provider-dataplane",1785694069,"160267672"
"provider-dataplane",1785694074,"195979056"
"provider-dataplane",1785694079,"81833280"
"provider-dataplane",1785694084,"114075264"
"provider-dataplane",1785694089,"146282008"
"provider-dataplane",1785694094,"180611672"
"provider-dataplane",1785694099,"70712872"
"provider-dataplane",1785694104,"104253864"
"provider-dataplane",1785694109,"137824656"
"provider-dataplane",1785694114,"171354744"
"provider-dataplane",1785694119,"61661280"
"provider-dataplane",1785694124,"97405504"
"provider-dataplane",1785694129,"130683000"
"provider-dataplane",1785694134,"164287096"
"provider-dataplane",1785694139,"53850336"
"provider-dataplane",1785694144,"88365888"
"provider-dataplane",1785694149,"122996992"
"provider-dataplane",1785694154,"157512064"
"provider-dataplane",1785694159,"189417184"
"provider-dataplane",1785694164,"78336704"
"provider-dataplane",1785694169,"111125208"
