series,timestamp,value
"consumer-controlplane",1786392599,"200432176"
"consumer-controlplane",1786392604,"203915320"
"consumer-controlplane",1786392609,"70250360"
"consumer-controlplane",1786392614,"80115152"
"consumer-controlplane",1786392619,"95579888"
"consumer-controlplane",1786392624,"116144880"
"consumer-controlplane",1786392629,"132803088"
"consumer-controlplane",1786392634,"158864344"
"consumer-controlplane",1786392639,"188977000"
"consumer-controlplane",1786392644,"78403880"
"consumer-controlplane",1786392649,"106723168"
"consumer-controlplane",1786392654,"144403736"
"consumer-controlplane",1786392659,"172928472"
"consumer-controlplane",1786392664,"81088288"
"consumer-controlplane",1786392669,"119721912"
"consumer-controlplane",1786392674,"157259904"
"consumer-controlplane",1786392679,"202323168"
"consumer-controlplane",1786392684,"108815248"
"consumer-controlplane",1786392689,"156424136"
"consumer-controlplane",1786392694,"189030288"
"consumer-controlplane",1786392699,"105865056"
"consumer-controlplane",1786392704,"159551296"
"consumer-controlplane",1786392709,"71984952"
"consumer-controlplane",1786392714,"127225504"
"consumer-controlplane",1786392719,"180933824"
"consumer-controlplane",1786392724,"101357056"
"consumer-controlplane",1786392729,"160989048"
"consumer-controlplane",1786392734,"78536664"
"consumer-controlplane",1786392739,"149937576"
"consumer-controlplane",1786392744,"87201248"
"consumer-controlplane",1786392749,"164000344"
"consumer-controlplane",1786392754,"71775872"
"consumer-controlplane",1786392759,"165896504"
"consumer-controlplane",1786392764,"103657248"
"consumer-controlplane",1786392769,"194148736"
"consumer-controlplane",1786392774,"128971120"
"consumer-controlplane",1786392779,"87509544"
"consumer-controlplane",1786392784,"186947688"
"consumer-controlplane",1786392789,"129644712"
"consumer-controlplane",1786392794,"96082968"
"consumer-controlplane",1786392799,"190801504"
"consumer-controlplane",1786392804,"146113872"
"consumer-controlplane",1786392809,"129212808"
"consumer-controlplane",1786392814,"104136248"
"consumer-controlplane",1786392819,"182237776"
"consumer-controlplane",1786392824,"177792584"
"consumer-controlplane",1786392829,"162563976"
"consumer-controlplane",1786392834,"141459128"
"consumer-controlplane",1786392839,"144690744"
"consumer-controlplane",1786392844,"128066728"
"consumer-controlplane",1786392849,"124062120"
"consumer-controlplane",1786392854,"131433720"
"consumer-controlplane",1786392859,"161439720"
"consumer-controlplane",1786392864,"125275168"
"consumer-controlplane",1786392869,"140363496"
"consumer-controlplane",1786392874,"97825072"
"consumer-controlplane",1786392879,"127401144"
"consumer-controlplane",1786392884,"99415960"
"consumer-controlplane",1786392889,"138389000"
"consumer-controlplane",1786392894,"169258448"
"consumer-controlplane",1786392899,"160301384"
"consumer-controlplane",1786392904,"211603968"
"consumer-controlplane",1786392909,"144534248"
"consumer-controlplane",1786392914,"172088968"
"consumer-controlplane",1786392919,"128204576"
"consumer-controlplane",1786392924,"92917704"
"consumer-controlplane",1786392929,"147289064"
"consumer-controlplane",1786392934,"202977144"
"consumer-controlplane",1786392939,"169162032"
"consumer-controlplane",1786392944,"146295168"
"consumer-controlplane",1786392949,"124248976"
"consumer-controlplane",1786392954,"93920592"
"consumer-controlplane",1786392959,"197659296"
"consumer-controlplane",1786392964,"77613960"
"consumer-controlplane",1786392969,"175988960"
"consumer-controlplane",1786392974,"158198088"
"consumer-controlplane",1786392979,"124196128"
"consumer-controlplane",1786392984,"117829408"
"consumer-controlplane",1786392989,"204214696"
"consumer-controlplane",1786392994,"198601896"
"consumer-controlplane",1786392999,"152656168"
"consumer-controlplane",1786393004,"146972616"
"consumer-controlplane",1786393009,"105704824"
"consumer-controlplane",1786393014,"92553160"
"consumer-controlplane",1786393019,"124614848"
"consumer-controlplane",1786393024,"93447088"
"consumer-controlplane",1786393029,"162589840"
"consumer-controlplane",1786393034,"127562344"
"consumer-controlplane",1786393039,"120117384"
"consumer-controlplane",1786393044,"106041384"
"consumer-controlplane",1786393049,"173402392"
"consumer-controlplane",1786393054,"134990648"
"consumer-controlplane",1786393059,"104811120"
"consumer-controlplane",1786393064,"164240672"
"consumer-controlplane",1786393069,"80828288"
"consumer-controlplane",1786393074,"88451552"
"consumer-dataplane",1786392599,"51353064"
"consumer-dataplane",1786392604,"53998224"
"consumer-dataplane",1786392609,"54093736"
"consumer-dataplane",1786392614,"54131288"
"consumer-dataplane",1786392619,"56767136"
"consumer-dataplane",1786392624,"56828736"
"consumer-dataplane",1786392629,"56882720"
"consumer-dataplane",1786392634,"59030976"
"consumer-dataplane",1786392639,"59549136"
"consumer-dataplane",1786392644,"59618944"
"consumer-dataplane",1786392649,"59713928"
"consumer-dataplane",1786392654,"62375464"
"consumer-dataplane",1786392659,"62470968"
"consumer-dataplane",1786392664,"62470968"
"consumer-dataplane",1786392669,"65103360"
"consumer-dataplane",1786392674,"65111568"
"consumer-dataplane",1786392679,"65222384"
"consumer-dataplane",1786392684,"67408248"
"consumer-dataplane",1786392689,"67887616"
"consumer-dataplane",1786392694,"67957480"
"consumer-dataplane",1786392699,"70151096"
"consumer-dataplane",1786392704,"70718344"
"consumer-dataplane",1786392709,"70801464"
"consumer-dataplane",1786392714,"72992624"
"consumer-dataplane",1786392719,"72992624"
"consumer-dataplane",1786392724,"73484992"
"consumer-dataplane",1786392729,"73560704"
"consumer-dataplane",1786392734,"75717224"
"consumer-dataplane",1786392739,"76229408"
"consumer-dataplane",1786392744,"76288776"
"consumer-dataplane",1786392749,"78490480"
"consumer-dataplane",1786392754,"79020152"
"consumer-dataplane",1786392759,"79249864"
"consumer-dataplane",1786392764,"81435160"
"consumer-dataplane",1786392769,"81476168"
"consumer-dataplane",1786392774,"81939136"
"consumer-dataplane",1786392779,"84124984"
"consumer-dataplane",1786392784,"84194800"
"consumer-dataplane",1786392789,"84690568"
"consumer-dataplane",1786392794,"86844712"
"consumer-dataplane",1786392799,"86993152"
"consumer-dataplane",1786392804,"87043472"
"consumer-dataplane",1786392809,"87532240"
"consumer-dataplane",1786392814,"89707632"
"consumer-dataplane",1786392819,"89808312"
"consumer-dataplane",1786392824,"90295872"
"consumer-dataplane",1786392829,"92485248"
"consumer-dataplane",1786392834,"92592624"
"consumer-dataplane",1786392839,"93071992"
"consumer-dataplane",1786392844,"95220248"
"consumer-dataplane",1786392849,"95236664"
"consumer-dataplane",1786392854,"95377952"
"consumer-dataplane",1786392859,"98055864"
"consumer-dataplane",1786392864,"98055864"
"consumer-dataplane",1786392869,"98093424"
"consumer-dataplane",1786392874,"98623912"
"consumer-dataplane",1786392879,"100921344"
"consumer-dataplane",1786392884,"100937760"
"consumer-dataplane",1786392889,"101086168"
"consumer-dataplane",1786392894,"103681072"
"consumer-dataplane",1786392899,"103703400"
"consumer-dataplane",1786392904,"103753720"
