series,timestamp,value
"consumer-controlplane",1786392599,"129"
"consumer-controlplane",1786392604,"129"
"consumer-controlplane",1786392609,"129"
"consumer-controlplane",1786392614,"129"
"consumer-controlplane",1786392619,"129"
"consumer-controlplane",1786392624,"129"
"consumer-controlplane",1786392629,"129"
"consumer-controlplane",1786392634,"129"
"consumer-controlplane",1786392639,"129"
"consumer-controlplane",1786392644,"127"
"consumer-controlplane",1786392649,"127"
"consumer-controlplane",1786392654,"127"
"consumer-controlplane",1786392659,"128"
"consumer-controlplane",1786392664,"128"
"consumer-controlplane",1786392669,"128"
"consumer-controlplane",1786392674,"128"
"consumer-controlplane",1786392679,"129"
"consumer-controlplane",1786392684,"129"
"consumer-controlplane",1786392689,"129"
"consumer-controlplane",1786392694,"130"
"consumer-controlplane",1786392699,"130"
"consumer-controlplane",1786392704,"130"
"consumer-controlplane",1786392709,"130"
"consumer-controlplane",1786392714,"130"
"consumer-controlplane",1786392719,"130"
"consumer-controlplane",1786392724,"130"
"consumer-controlplane",1786392729,"130"
"consumer-controlplane",1786392734,"131"
"consumer-controlplane",1786392739,"131"
"consumer-controlplane",1786392744,"131"
"consumer-controlplane",1786392749,"132"
"consumer-controlplane",1786392754,"133"
"consumer-controlplane",1786392759,"133"
"consumer-controlplane",1786392764,"133"
"consumer-controlplane",1786392769,"132"
"consumer-controlplane",1786392774,"132"
"consumer-controlplane",1786392779,"132"
"consumer-controlplane",1786392784,"132"
"consumer-controlplane",1786392789,"132"
"consumer-controlplane",1786392794,"132"
"consumer-controlplane",1786392799,"132"
"consumer-controlplane",1786392804,"132"
"consumer-controlplane",1786392809,"133"
"consumer-controlplane",1786392814,"132"
"consumer-controlplane",1786392819,"133"
"consumer-controlplane",1786392824,"133"
"consumer-controlplane",1786392829,"134"
"consumer-controlplane",1786392834,"133"
"consumer-controlplane",1786392839,"134"
"consumer-controlplane",1786392844,"134"
"consumer-controlplane",1786392849,"134"
"consumer-controlplane",1786392854,"134"
"consumer-controlplane",1786392859,"135"
"consumer-controlplane",1786392864,"135"
"consumer-controlplane",1786392869,"135"
"consumer-controlplane",1786392874,"135"
"consumer-controlplane",1786392879,"135"
"consumer-controlplane",1786392884,"135"
"consumer-controlplane",1786392889,"134"
"consumer-controlplane",1786392894,"133"
"consumer-controlplane",1786392899,"133"
"consumer-controlplane",1786392904,"133"
"consumer-controlplane",1786392909,"134"
"consumer-controlplane",1786392914,"134"
"consumer-controlplane",1786392919,"133"
"consumer-controlplane",1786392924,"133"
"consumer-controlplane",1786392929,"133"
"consumer-controlplane",1786392934,"134"
"consumer-controlplane",1786392939,"134"
"consumer-controlplane",1786392944,"134"
"consumer-controlplane",1786392949,"134"
"consumer-controlplane",1786392954,"134"
"consumer-controlplane",1786392959,"134"
"consumer-controlplane",1786392964,"136"
"consumer-controlplane",1786392969,"136"
"consumer-controlplane",1786392974,"136"
"consumer-controlplane",1786392979,"136"
"consumer-controlplane",1786392984,"135"
"consumer-controlplane",1786392989,"135"
"consumer-controlplane",1786392994,"135"
"consumer-controlplane",1786392999,"135"
"consumer-controlplane",1786393004,"135"
"consumer-controlplane",1786393009,"135"
"consumer-controlplane",1786393014,"134"
"consumer-controlplane",1786393019,"136"
"consumer-controlplane",1786393024,"136"
"consumer-controlplane",1786393029,"136"
"consumer-controlplane",1786393034,"136"
"consumer-controlplane",1786393039,"135"
"consumer-controlplane",1786393044,"135"
"consumer-controlplane",1786393049,"135"
"consumer-controlplane",1786393054,"135"
"consumer-controlplane",1786393059,"135"
"consumer-controlplane",1786393064,"135"
"consumer-controlplane",1786393069,"135"
"consumer-controlplane",1786393074,"162"
"consumer-dataplane",1786392599,"78"
"consumer-dataplane",1786392604,"78"
"consumer-dataplane",1786392609,"78"
"consumer-dataplane",1786392614,"78"
"consumer-dataplane",1786392619,"78"
"consumer-dataplane",1786392624,"78"
"consumer-dataplane",1786392629,"78"
"consumer-dataplane",1786392634,"78"
"consumer-dataplane",1786392639,"78"
"consumer-dataplane",1786392644,"78"
"consumer-dataplane",1786392649,"78"
"consumer-dataplane",1786392654,"78"
"consumer-dataplane",1786392659,"78"
"consumer-dataplane",1786392664,"78"
"consumer-dataplane",1786392669,"78"
"consumer-dataplane",1786392674,"78"
"consumer-dataplane",1786392679,"78"
"consumer-dataplane",1786392684,"78"
"consumer-dataplane",1786392689,"78"
"consumer-dataplane",1786392694,"78"
"consumer-dataplane",1786392699,"78"
"consumer-dataplane",1786392704,"78"
"consumer-dataplane",1786392709,"78"
"consumer-dataplane",1786392714,"78"
"consumer-dataplane",1786392719,"78"
"consumer-dataplane",1786392724,"78"
"consumer-dataplane",1786392729,"78"
"consumer-dataplane",1786392734,"78"
"consumer-dataplane",1786392739,"78"
"consumer-dataplane",1786392744,"78"
"consumer-dataplane",1786392749,"78"
"consumer-dataplane",1786392754,"78"
"consumer-dataplane",1786392759,"78"
"consumer-dataplane",1786392764,"78"
"consumer-dataplane",1786392769,"78"
"consumer-dataplane",1786392774,"78"
"consumer-dataplane",1786392779,"78"
"consumer-dataplane",1786392784,"78"
"consumer-dataplane",1786392789,"78"
"consumer-dataplane",1786392794,"78"
"consumer-dataplane",1786392799,"78"
"consumer-dataplane",1786392804,"78"
"consumer-dataplane",1786392809,"78"
"consumer-dataplane",1786392814,"78"
"consumer-dataplane",1786392819,"78"
"consumer-dataplane",1786392824,"78"
"consumer-dataplane",1786392829,"78"
"consumer-dataplane",1786392834,"78"
"consumer-dataplane",1786392839,"78"
"consumer-dataplane",1786392844,"78"
"consumer-dataplane",1786392849,"78"
"consumer-dataplane",1786392854,"78"
"consumer-dataplane",1786392859,"78"
"consumer-dataplane",1786392864,"78"
"consumer-dataplane",1786392869,"78"
"consumer-dataplane",1786392874,"78"
"consumer-dataplane",1786392879,"78"
"consumer-dataplane",1786392884,"78"
"consumer-dataplane",1786392889,"78"
"consumer-dataplane",1786392894,"78"
"consumer-dataplane",1786392899,"78"
"consumer-dataplane",1786392904,"78"
"consumer-dataplane",1786392909,"78"
"consumer-dataplane",1786392914,"78"
"consumer-dataplane",1786392919,"78"
"consumer-dataplane",1786392924,"78"
"consumer-dataplane",1786392929,"78"
"consumer-dataplane",1786392934,"78"
"consumer-dataplane",1786392939,"78"
"consumer-dataplane",1786392944,"78"
"consumer-dataplane",1786392949,"78"
"consumer-dataplane",1786392954,"78"
"consumer-dataplane",1786392959,"78"
"consumer-dataplane",1786392964,"78"
"consumer-dataplane",1786392969,"78"
"consumer-dataplane",1786392974,"78"
"consumer-dataplane",1786392979,"78"
"consumer-dataplane",1786392984,"78"
"consumer-dataplane",1786392989,"78"
"consumer-dataplane",1786392994,"78"
"consumer-dataplane",1786392999,"78"
"consumer-dataplane",1786393004,"78"
"consumer-dataplane",1786393009,"78"
"consumer-dataplane",1786393014,"78"
"consumer-dataplane",1786393019,"78"
"consumer-dataplane",1786393024,"78"
"consumer-dataplane",1786393029,"78"
"consumer-dataplane",1786393034,"78"
"consumer-dataplane",1786393039,"78"
"consumer-dataplane",1786393044,"78"
"consumer-dataplane",1786393049,"78"
"consumer-dataplane",1786393054,"78"
"consumer-dataplane",1786393059,"78"
"consumer-dataplane",1786393064,"78"
"consumer-dataplane",1786393069,"78"
"consumer-dataplane",1786393074,"78"
"provider-controlplane",1786392599,"106"
"provider-controlplane",1786392604,"106"
