series,timestamp,value
"consumer-controlplane",1785692312,"216225472"
"consumer-controlplane",1785692317,"165382656"
"consumer-controlplane",1785692322,"89975480"
"consumer-controlplane",1785692327,"104795504"
"consumer-controlplane",1785692332,"109623560"
"consumer-controlplane",1785692337,"112989512"
"consumer-controlplane",1785692342,"116604840"
"consumer-controlplane",1785692347,"120222864"
"consumer-controlplane",1785692352,"123939560"
"consumer-controlplane",1785692357,"126962768"
"consumer-controlplane",1785692362,"130566104"
"consumer-controlplane",1785692367,"134126808"
"consumer-controlplane",1785692372,"137696792"
"consumer-controlplane",1785692377,"141132296"
"consumer-controlplane",1785692382,"144993608"
"consumer-controlplane",1785692387,"148358672"
"consumer-dataplane",1785692312,"54784216"
"consumer-dataplane",1785692317,"54900832"
"consumer-dataplane",1785692322,"54900832"
"consumer-dataplane",1785692327,"57293640"
"consumer-dataplane",1785692332,"57310056"
"consumer-dataplane",1785692337,"57326472"
"consumer-dataplane",1785692342,"59342016"
"consumer-dataplane",1785692347,"59855744"
"consumer-dataplane",1785692352,"59983240"
"consumer-dataplane",1785692357,"61829504"
"consumer-dataplane",1785692362,"62284880"
"consumer-dataplane",1785692367,"62351472"
"consumer-dataplane",1785692372,"64268904"
"consumer-dataplane",1785692377,"64938808"
"consumer-dataplane",1785692382,"66899520"
"consumer-dataplane",1785692387,"66899520"
"provider-controlplane",1785692312,"140531072"
"provider-controlplane",1785692317,"54667512"
"provider-controlplane",1785692322,"103371248"
"provider-controlplane",1785692327,"122089832"
"provider-controlplane",1785692332,"135600680"
"provider-controlplane",1785692337,"146224456"
"provider-controlplane",1785692342,"157719928"
"provider-controlplane",1785692347,"169830344"
"provider-controlplane",1785692352,"180992440"
"provider-controlplane",1785692357,"192077784"
"provider-controlplane",1785692362,"60438760"
"provider-controlplane",1785692367,"71347072"
"provider-controlplane",1785692372,"82195016"
"provider-controlplane",1785692377,"95004728"
"provider-controlplane",1785692382,"105418904"
"provider-controlplane",1785692387,"117077688"
"provider-dataplane",1785692312,"160675864"
"provider-dataplane",1785692317,"55642712"
"provider-dataplane",1785692322,"89511000"
"provider-dataplane",1785692327,"58862320"
"provider-dataplane",1785692332,"169363488"
"provider-dataplane",1785692337,"166383504"
"provider-dataplane",1785692342,"175534024"
"provider-dataplane",1785692347,"181119176"
"provider-dataplane",1785692352,"191870104"
"provider-dataplane",1785692357,"51142176"
"provider-dataplane",1785692362,"53805168"
"provider-dataplane",1785692367,"62549328"
"provider-dataplane",1785692372,"60377544"
"provider-dataplane",1785692377,"60065984"
"provider-dataplane",1785692382,"62160032"
"provider-dataplane",1785692387,"117443032"
