series,timestamp,value
"consumer-controlplane",1786390644,"124"
"consumer-controlplane",1786390649,"124"
"consumer-controlplane",1786390654,"123"
"consumer-controlplane",1786390659,"123"
"consumer-controlplane",1786390664,"123"
"consumer-controlplane",1786390669,"123"
"consumer-controlplane",1786390674,"122"
"consumer-controlplane",1786390679,"122"
"consumer-controlplane",1786390684,"122"
"consumer-controlplane",1786390689,"122"
"consumer-controlplane",1786390694,"121"
"consumer-controlplane",1786390699,"121"
"consumer-controlplane",1786390704,"121"
"consumer-controlplane",1786390709,"121"
"consumer-controlplane",1786390714,"121"
"consumer-controlplane",1786390719,"119"
"consumer-dataplane",1786390644,"77"
"consumer-dataplane",1786390649,"77"
"consumer-dataplane",1786390654,"77"
"consumer-dataplane",1786390659,"77"
"consumer-dataplane",1786390664,"77"
"consumer-dataplane",1786390669,"77"
"consumer-dataplane",1786390674,"77"
"consumer-dataplane",1786390679,"77"
"consumer-dataplane",1786390684,"77"
"consumer-dataplane",1786390689,"77"
"consumer-dataplane",1786390694,"77"
"consumer-dataplane",1786390699,"78"
"consumer-dataplane",1786390704,"78"
"consumer-dataplane",1786390709,"78"
"consumer-dataplane",1786390714,"78"
"consumer-dataplane",1786390719,"78"
"provider-controlplane",1786390644,"106"
"provider-controlplane",1786390649,"106"
"provider-controlplane",1786390654,"106"
"provider-controlplane",1786390659,"106"
"provider-controlplane",1786390664,"106"
"provider-controlplane",1786390669,"106"
"provider-controlplane",1786390674,"106"
"provider-controlplane",1786390679,"104"
"provider-controlplane",1786390684,"104"
"provider-controlplane",1786390689,"104"
"provider-controlplane",1786390694,"103"
"provider-controlplane",1786390699,"103"
"provider-controlplane",1786390704,"104"
"provider-controlplane",1786390709,"104"
"provider-controlplane",1786390714,"104"
"provider-controlplane",1786390719,"101"
"provider-dataplane",1786390644,"108"
"provider-dataplane",1786390649,"108"
"provider-dataplane",1786390654,"108"
"provider-dataplane",1786390659,"108"
"provider-dataplane",1786390664,"110"
"provider-dataplane",1786390669,"110"
"provider-dataplane",1786390674,"110"
"provider-dataplane",1786390679,"110"
"provider-dataplane",1786390684,"110"
"provider-dataplane",1786390689,"110"
"provider-dataplane",1786390694,"110"
"provider-dataplane",1786390699,"110"
"provider-dataplane",1786390704,"110"
"provider-dataplane",1786390709,"110"
"provider-dataplane",1786390714,"110"
"provider-dataplane",1786390719,"109"
