series,timestamp,value
"consumer-controlplane",1786389244,"125"
"consumer-controlplane",1786389249,"125"
"consumer-controlplane",1786389254,"125"
"consumer-controlplane",1786389259,"125"
"consumer-controlplane",1786389264,"125"
"consumer-controlplane",1786389269,"125"
"consumer-controlplane",1786389274,"125"
"consumer-controlplane",1786389279,"125"
"consumer-controlplane",1786389284,"124"
"consumer-controlplane",1786389289,"124"
"consumer-controlplane",1786389294,"123"
"consumer-controlplane",1786389299,"126"
"consumer-controlplane",1786389304,"126"
"consumer-controlplane",1786389309,"126"
"consumer-controlplane",1786389314,"126"
"consumer-controlplane",1786389319,"126"
"consumer-controlplane",1786389324,"126"
"consumer-controlplane",1786389329,"126"
"consumer-controlplane",1786389334,"126"
"consumer-controlplane",1786389339,"126"
"consumer-controlplane",1786389344,"126"
"consumer-controlplane",1786389349,"126"
"consumer-controlplane",1786389354,"125"
"consumer-controlplane",1786389359,"125"
"consumer-controlplane",1786389364,"125"
"consumer-controlplane",1786389369,"124"
"consumer-controlplane",1786389374,"124"
"consumer-controlplane",1786389379,"124"
"consumer-controlplane",1786389384,"124"
"consumer-controlplane",1786389389,"123"
"consumer-controlplane",1786389394,"123"
"consumer-controlplane",1786389399,"123"
"consumer-controlplane",1786389404,"123"
"consumer-controlplane",1786389409,"123"
"consumer-controlplane",1786389414,"122"
"consumer-controlplane",1786389419,"122"
"consumer-controlplane",1786389424,"122"
"consumer-controlplane",1786389429,"122"
"consumer-controlplane",1786389434,"122"
"consumer-controlplane",1786389439,"122"
"consumer-controlplane",1786389444,"122"
"consumer-controlplane",1786389449,"122"
"consumer-controlplane",1786389454,"122"
"consumer-controlplane",1786389459,"122"
"consumer-controlplane",1786389464,"122"
"consumer-controlplane",1786389469,"122"
"consumer-controlplane",1786389474,"122"
"consumer-controlplane",1786389479,"122"
"consumer-controlplane",1786389484,"122"
"consumer-controlplane",1786389489,"122"
"consumer-controlplane",1786389494,"122"
"consumer-controlplane",1786389499,"122"
"consumer-controlplane",1786389504,"122"
"consumer-controlplane",1786389509,"122"
"consumer-controlplane",1786389514,"122"
"consumer-controlplane",1786389519,"122"
"consumer-controlplane",1786389524,"122"
"consumer-controlplane",1786389529,"122"
"consumer-controlplane",1786389534,"122"
"consumer-controlplane",1786389539,"120"
"consumer-controlplane",1786389544,"120"
"consumer-controlplane",1786389549,"120"
"consumer-controlplane",1786389554,"120"
"consumer-controlplane",1786389559,"122"
"consumer-controlplane",1786389564,"122"
"consumer-dataplane",1786389244,"78"
"consumer-dataplane",1786389249,"78"
"consumer-dataplane",1786389254,"78"
"consumer-dataplane",1786389259,"78"
"consumer-dataplane",1786389264,"78"
"consumer-dataplane",1786389269,"78"
"consumer-dataplane",1786389274,"78"
"consumer-dataplane",1786389279,"78"
"consumer-dataplane",1786389284,"78"
"consumer-dataplane",1786389289,"78"
"consumer-dataplane",1786389294,"78"
"consumer-dataplane",1786389299,"77"
"consumer-dataplane",1786389304,"78"
"consumer-dataplane",1786389309,"78"
"consumer-dataplane",1786389314,"78"
"consumer-dataplane",1786389319,"78"
"consumer-dataplane",1786389324,"78"
"consumer-dataplane",1786389329,"78"
"consumer-dataplane",1786389334,"78"
"consumer-dataplane",1786389339,"78"
"consumer-dataplane",1786389344,"78"
"consumer-dataplane",1786389349,"78"
"consumer-dataplane",1786389354,"78"
"consumer-dataplane",1786389359,"78"
"consumer-dataplane",1786389364,"78"
"consumer-dataplane",1786389369,"78"
"consumer-dataplane",1786389374,"78"
"consumer-dataplane",1786389379,"78"
"consumer-dataplane",1786389384,"78"
"consumer-dataplane",1786389389,"78"
"consumer-dataplane",1786389394,"78"
"consumer-dataplane",1786389399,"78"
"consumer-dataplane",1786389404,"78"
"consumer-dataplane",1786389409,"78"
"consumer-dataplane",1786389414,"78"
"consumer-dataplane",1786389419,"78"
"consumer-dataplane",1786389424,"77"
"consumer-dataplane",1786389429,"77"
"consumer-dataplane",1786389434,"77"
"consumer-dataplane",1786389439,"77"
"consumer-dataplane",1786389444,"78"
"consumer-dataplane",1786389449,"78"
"consumer-dataplane",1786389454,"78"
"consumer-dataplane",1786389459,"78"
"consumer-dataplane",1786389464,"78"
"consumer-dataplane",1786389469,"78"
"consumer-dataplane",1786389474,"78"
"consumer-dataplane",1786389479,"78"
"consumer-dataplane",1786389484,"78"
"consumer-dataplane",1786389489,"78"
"consumer-dataplane",1786389494,"78"
"consumer-dataplane",1786389499,"78"
"consumer-dataplane",1786389504,"78"
"consumer-dataplane",1786389509,"78"
"consumer-dataplane",1786389514,"78"
"consumer-dataplane",1786389519,"78"
"consumer-dataplane",1786389524,"78"
"consumer-dataplane",1786389529,"78"
"consumer-dataplane",1786389534,"78"
"consumer-dataplane",1786389539,"78"
"consumer-dataplane",1786389544,"78"
"consumer-dataplane",1786389549,"78"
"consumer-dataplane",1786389554,"78"
"consumer-dataplane",1786389559,"78"
"consumer-dataplane",1786389564,"78"
"provider-controlplane",1786389244,"107"
"provider-controlplane",1786389249,"107"
"provider-controlplane",1786389254,"107"
"provider-controlplane",1786389259,"107"
"provider-controlplane",1786389264,"106"
"provider-controlplane",1786389269,"106"
"provider-controlplane",1786389274,"106"
"provider-controlplane",1786389279,"105"
"provider-controlplane",1786389284,"106"
"provider-controlplane",1786389289,"106"
"provider-controlplane",1786389294,"106"
"provider-controlplane",1786389299,"106"
"provider-controlplane",1786389304,"106"
"provider-controlplane",1786389309,"106"
"provider-controlplane",1786389314,"106"
"provider-controlplane",1786389319,"106"
"provider-controlplane",1786389324,"106"
"provider-controlplane",1786389329,"106"
"provider-controlplane",1786389334,"106"
"provider-controlplane",1786389339,"106"
"provider-controlplane",1786389344,"106"
"provider-controlplane",1786389349,"106"
"provider-controlplane",1786389354,"106"
"provider-controlplane",1786389359,"106"
"provider-controlplane",1786389364,"106"
"provider-controlplane",1786389369,"106"
"provider-controlplane",1786389374,"106"
"provider-controlplane",1786389379,"106"
"provider-controlplane",1786389384,"106"
"provider-controlplane",1786389389,"106"
"provider-controlplane",1786389394,"106"
"provider-controlplane",1786389399,"106"
"provider-controlplane",1786389404,"106"
"provider-controlplane",1786389409,"106"
"provider-controlplane",1786389414,"106"
"provider-controlplane",1786389419,"106"
"provider-controlplane",1786389424,"106"
"provider-controlplane",1786389429,"106"
"provider-controlplane",1786389434,"106"
"provider-controlplane",1786389439,"106"
"provider-controlplane",1786389444,"106"
"provider-controlplane",1786389449,"106"
"provider-controlplane",1786389454,"106"
"provider-controlplane",1786389459,"106"
"provider-controlplane",1786389464,"106"
"provider-controlplane",1786389469,"106"
"provider-controlplane",1786389474,"106"
"provider-controlplane",1786389479,"106"
"provider-controlplane",1786389484,"106"
"provider-controlplane",1786389489,"106"
"provider-controlplane",1786389494,"106"
"provider-controlplane",1786389499,"106"
"provider-controlplane",1786389504,"106"
"provider-controlplane",1786389509,"106"
"provider-controlplane",1786389514,"106"
"provider-controlplane",1786389519,"106"
"provider-controlplane",1786389524,"106"
"provider-controlplane",1786389529,"106"
"provider-controlplane",1786389534,"106"
"provider-controlplane",1786389539,"106"
"provider-controlplane",1786389544,"106"
"provider-controlplane",1786389549,"106"
"provider-controlplane",1786389554,"106"
"provider-controlplane",1786389559,"106"
"provider-controlplane",1786389564,"106"
"provider-dataplane",1786389244,"105"
"provider-dataplane",1786389249,"105"
"provider-dataplane",1786389254,"105"
"provider-dataplane",1786389259,"105"
"provider-dataplane",1786389264,"105"
"provider-dataplane",1786389269,"105"
"provider-dataplane",1786389274,"105"
"provider-dataplane",1786389279,"105"
"provider-dataplane",1786389284,"105"
"provider-dataplane",1786389289,"105"
"provider-dataplane",1786389294,"104"
"provider-dataplane",1786389299,"104"
"provider-dataplane",1786389304,"104"
"provider-dataplane",1786389309,"104"
"provider-dataplane",1786389314,"104"
"provider-dataplane",1786389319,"104"
"provider-dataplane",1786389324,"104"
"provider-dataplane",1786389329,"104"
"provider-dataplane",1786389334,"104"
"provider-dataplane",1786389339,"104"
"provider-dataplane",1786389344,"104"
"provider-dataplane",1786389349,"104"
"provider-dataplane",1786389354,"103"
"provider-dataplane",1786389359,"103"
"provider-dataplane",1786389364,"103"
"provider-dataplane",1786389369,"103"
"provider-dataplane",1786389374,"103"
"provider-dataplane",1786389379,"103"
"provider-dataplane",1786389384,"103"
"provider-dataplane",1786389389,"103"
"provider-dataplane",1786389394,"103"
"provider-dataplane",1786389399,"103"
"provider-dataplane",1786389404,"103"
"provider-dataplane",1786389409,"103"
"provider-dataplane",1786389414,"102"
"provider-dataplane",1786389419,"102"
"provider-dataplane",1786389424,"102"
"provider-dataplane",1786389429,"102"
"provider-dataplane",1786389434,"102"
"provider-dataplane",1786389439,"102"
"provider-dataplane",1786389444,"102"
"provider-dataplane",1786389449,"102"
"provider-dataplane",1786389454,"102"
"provider-dataplane",1786389459,"102"
"provider-dataplane",1786389464,"103"
"provider-dataplane",1786389469,"103"
"provider-dataplane",1786389474,"102"
"provider-dataplane",1786389479,"102"
"provider-dataplane",1786389484,"102"
"provider-dataplane",1786389489,"102"
"provider-dataplane",1786389494,"102"
"provider-dataplane",1786389499,"102"
"provider-dataplane",1786389504,"102"
"provider-dataplane",1786389509,"102"
"provider-dataplane",1786389514,"102"
"provider-dataplane",1786389519,"102"
"provider-dataplane",1786389524,"102"
"provider-dataplane",1786389529,"102"
"provider-dataplane",1786389534,"101"
"provider-dataplane",1786389539,"101"
"provider-dataplane",1786389544,"101"
"provider-dataplane",1786389549,"101"
"provider-dataplane",1786389554,"101"
"provider-dataplane",1786389559,"113"
"provider-dataplane",1786389564,"113"
