series,timestamp,value
"consumer-controlplane",1786394789,"213"
"consumer-controlplane",1786394794,"213"
"consumer-controlplane",1786394799,"213"
"consumer-controlplane",1786394804,"213"
"consumer-controlplane",1786394809,"212"
"consumer-controlplane",1786394814,"211"
"consumer-controlplane",1786394819,"211"
"consumer-controlplane",1786394824,"210"
"consumer-controlplane",1786394829,"209"
"consumer-controlplane",1786394834,"204"
"consumer-controlplane",1786394839,"204"
"consumer-controlplane",1786394844,"204"
"consumer-controlplane",1786394849,"204"
"consumer-controlplane",1786394854,"204"
"consumer-controlplane",1786394859,"204"
"consumer-controlplane",1786394864,"204"
"consumer-controlplane",1786394869,"203"
"consumer-controlplane",1786394874,"203"
"consumer-controlplane",1786394879,"204"
"consumer-controlplane",1786394884,"204"
"consumer-controlplane",1786394889,"204"
"consumer-controlplane",1786394894,"204"
"consumer-controlplane",1786394899,"204"
"consumer-controlplane",1786394904,"204"
"consumer-controlplane",1786394909,"204"
"consumer-controlplane",1786394914,"204"
"consumer-controlplane",1786394919,"204"
"consumer-controlplane",1786394924,"204"
"consumer-controlplane",1786394929,"204"
"consumer-controlplane",1786394934,"204"
"consumer-controlplane",1786394939,"204"
"consumer-controlplane",1786394944,"204"
"consumer-controlplane",1786394949,"204"
"consumer-controlplane",1786394954,"204"
"consumer-controlplane",1786394959,"204"
"consumer-controlplane",1786394964,"205"
"consumer-controlplane",1786394969,"205"
"consumer-controlplane",1786394974,"205"
"consumer-controlplane",1786394979,"205"
"consumer-controlplane",1786394984,"205"
"consumer-controlplane",1786394989,"204"
"consumer-controlplane",1786394994,"204"
"consumer-controlplane",1786394999,"205"
"consumer-controlplane",1786395004,"205"
"consumer-controlplane",1786395009,"205"
"consumer-controlplane",1786395014,"206"
"consumer-controlplane",1786395019,"206"
"consumer-controlplane",1786395024,"206"
"consumer-controlplane",1786395029,"206"
"consumer-controlplane",1786395034,"206"
"consumer-controlplane",1786395039,"206"
"consumer-controlplane",1786395044,"206"
"consumer-controlplane",1786395049,"205"
"consumer-controlplane",1786395054,"206"
"consumer-controlplane",1786395059,"206"
"consumer-controlplane",1786395064,"206"
"consumer-controlplane",1786395069,"206"
"consumer-controlplane",1786395074,"205"
"consumer-controlplane",1786395079,"205"
"consumer-controlplane",1786395084,"206"
"consumer-controlplane",1786395089,"207"
"consumer-controlplane",1786395094,"207"
"consumer-controlplane",1786395099,"207"
"consumer-controlplane",1786395104,"208"
"consumer-controlplane",1786395109,"207"
"consumer-controlplane",1786395114,"206"
"consumer-controlplane",1786395119,"206"
"consumer-controlplane",1786395124,"206"
"consumer-controlplane",1786395129,"206"
"consumer-controlplane",1786395134,"207"
"consumer-controlplane",1786395139,"207"
"consumer-controlplane",1786395144,"207"
"consumer-controlplane",1786395149,"207"
"consumer-controlplane",1786395154,"207"
"consumer-controlplane",1786395159,"207"
"consumer-controlplane",1786395164,"207"
"consumer-controlplane",1786395169,"206"
"consumer-controlplane",1786395174,"206"
"consumer-controlplane",1786395179,"206"
"consumer-controlplane",1786395184,"206"
"consumer-controlplane",1786395189,"206"
"consumer-controlplane",1786395194,"205"
"consumer-controlplane",1786395199,"205"
"consumer-controlplane",1786395204,"205"
"consumer-controlplane",1786395209,"205"
"consumer-controlplane",1786395214,"205"
"consumer-controlplane",1786395219,"211"
"consumer-controlplane",1786395224,"211"
"consumer-controlplane",1786395229,"211"
"consumer-controlplane",1786395234,"210"
"consumer-controlplane",1786395239,"210"
"consumer-controlplane",1786395244,"210"
"consumer-controlplane",1786395249,"211"
"consumer-controlplane",1786395254,"211"
"consumer-controlplane",1786395259,"209"
"consumer-controlplane",1786395264,"209"
"consumer-controlplane",1786395269,"209"
"consumer-controlplane",1786395274,"210"
"consumer-controlplane",1786395279,"210"
"consumer-controlplane",1786395284,"217"
"consumer-controlplane",1786395289,"217"
"consumer-controlplane",1786395294,"217"
"consumer-controlplane",1786395299,"217"
"consumer-controlplane",1786395304,"217"
"consumer-controlplane",1786395309,"217"
"consumer-controlplane",1786395314,"217"
"consumer-controlplane",1786395319,"217"
"consumer-controlplane",1786395324,"217"
"consumer-controlplane",1786395329,"217"
"consumer-controlplane",1786395334,"217"
"consumer-controlplane",1786395339,"217"
"consumer-controlplane",1786395344,"217"
"consumer-controlplane",1786395349,"217"
"consumer-dataplane",1786394789,"78"
"consumer-dataplane",1786394794,"78"
"consumer-dataplane",1786394799,"78"
"consumer-dataplane",1786394804,"78"
"consumer-dataplane",1786394809,"78"
"consumer-dataplane",1786394814,"78"
"consumer-dataplane",1786394819,"77"
"consumer-dataplane",1786394824,"78"
"consumer-dataplane",1786394829,"78"
"consumer-dataplane",1786394834,"78"
"consumer-dataplane",1786394839,"78"
"consumer-dataplane",1786394844,"78"
"consumer-dataplane",1786394849,"78"
"consumer-dataplane",1786394854,"78"
"consumer-dataplane",1786394859,"78"
"consumer-dataplane",1786394864,"78"
"consumer-dataplane",1786394869,"78"
"consumer-dataplane",1786394874,"78"
"consumer-dataplane",1786394879,"78"
"consumer-dataplane",1786394884,"78"
"consumer-dataplane",1786394889,"78"
"consumer-dataplane",1786394894,"78"
"consumer-dataplane",1786394899,"78"
"consumer-dataplane",1786394904,"78"
"consumer-dataplane",1786394909,"78"
"consumer-dataplane",1786394914,"78"
"consumer-dataplane",1786394919,"78"
"consumer-dataplane",1786394924,"78"
"consumer-dataplane",1786394929,"78"
"consumer-dataplane",1786394934,"78"
"consumer-dataplane",1786394939,"78"
"consumer-dataplane",1786394944,"78"
"consumer-dataplane",1786394949,"78"
"consumer-dataplane",1786394954,"78"
"consumer-dataplane",1786394959,"78"
"consumer-dataplane",1786394964,"78"
"consumer-dataplane",1786394969,"78"
"consumer-dataplane",1786394974,"78"
"consumer-dataplane",1786394979,"78"
"consumer-dataplane",1786394984,"78"
"consumer-dataplane",1786394989,"78"
"consumer-dataplane",1786394994,"78"
"consumer-dataplane",1786394999,"78"
"consumer-dataplane",1786395004,"78"
"consumer-dataplane",1786395009,"78"
"consumer-dataplane",1786395014,"78"
"consumer-dataplane",1786395019,"78"
"consumer-dataplane",1786395024,"78"
"consumer-dataplane",1786395029,"78"
"consumer-dataplane",1786395034,"78"
"consumer-dataplane",1786395039,"78"
"consumer-dataplane",1786395044,"78"
"consumer-dataplane",1786395049,"78"
"consumer-dataplane",1786395054,"78"
"consumer-dataplane",1786395059,"78"
"consumer-dataplane",1786395064,"78"
"consumer-dataplane",1786395069,"78"
"consumer-dataplane",1786395074,"78"
"consumer-dataplane",1786395079,"78"
"consumer-dataplane",1786395084,"78"
"consumer-dataplane",1786395089,"78"
"consumer-dataplane",1786395094,"78"
"consumer-dataplane",1786395099,"78"
"consumer-dataplane",1786395104,"78"
"consumer-dataplane",1786395109,"78"
"consumer-dataplane",1786395114,"78"
"consumer-dataplane",1786395119,"78"
"consumer-dataplane",1786395124,"78"
"consumer-dataplane",1786395129,"78"
"consumer-dataplane",1786395134,"78"
"consumer-dataplane",1786395139,"78"
"consumer-dataplane",1786395144,"78"
"consumer-dataplane",1786395149,"78"
"consumer-dataplane",1786395154,"78"
"consumer-dataplane",1786395159,"78"
"consumer-dataplane",1786395164,"78"
"consumer-dataplane",1786395169,"78"
"consumer-dataplane",1786395174,"78"
"consumer-dataplane",1786395179,"78"
"consumer-dataplane",1786395184,"78"
"consumer-dataplane",1786395189,"78"
"consumer-dataplane",1786395194,"78"
"consumer-dataplane",1786395199,"78"
"consumer-dataplane",1786395204,"78"
"consumer-dataplane",1786395209,"78"
"consumer-dataplane",1786395214,"78"
"consumer-dataplane",1786395219,"78"
"consumer-dataplane",1786395224,"78"
"consumer-dataplane",1786395229,"78"
"consumer-dataplane",1786395234,"78"
"consumer-dataplane",1786395239,"77"
"consumer-dataplane",1786395244,"78"
"consumer-dataplane",1786395249,"78"
"consumer-dataplane",1786395254,"78"
"consumer-dataplane",1786395259,"78"
"consumer-dataplane",1786395264,"78"
"consumer-dataplane",1786395269,"78"
"consumer-dataplane",1786395274,"78"
"consumer-dataplane",1786395279,"78"
"consumer-dataplane",1786395284,"78"
"consumer-dataplane",1786395289,"78"
"consumer-dataplane",1786395294,"78"
"consumer-dataplane",1786395299,"78"
"consumer-dataplane",1786395304,"78"
"consumer-dataplane",1786395309,"78"
"consumer-dataplane",1786395314,"78"
"consumer-dataplane",1786395319,"78"
"consumer-dataplane",1786395324,"78"
"consumer-dataplane",1786395329,"78"
"consumer-dataplane",1786395334,"78"
"consumer-dataplane",1786395339,"78"
"consumer-dataplane",1786395344,"78"
"consumer-dataplane",1786395349,"78"
"provider-controlplane",1786394789,"119"
"provider-controlplane",1786394794,"119"
"provider-controlplane",1786394799,"119"
"provider-controlplane",1786394804,"119"
"provider-controlplane",1786394809,"119"
"provider-controlplane",1786394814,"119"
"provider-controlplane",1786394819,"119"
"provider-controlplane",1786394824,"119"
"provider-controlplane",1786394829,"114"
"provider-controlplane",1786394834,"114"
"provider-controlplane",1786394839,"114"
"provider-controlplane",1786394844,"114"
"provider-controlplane",1786394849,"114"
"provider-controlplane",1786394854,"114"
"provider-controlplane",1786394859,"114"
"provider-controlplane",1786394864,"114"
"provider-controlplane",1786394869,"114"
"provider-controlplane",1786394874,"114"
"provider-controlplane",1786394879,"114"
"provider-controlplane",1786394884,"114"
"provider-controlplane",1786394889,"115"
