series,timestamp,value
"consumer-controlplane",1785689050,"115"
"consumer-controlplane",1785689055,"140"
"consumer-controlplane",1785689060,"139"
"consumer-controlplane",1785689065,"139"
"consumer-controlplane",1785689070,"139"
"consumer-controlplane",1785689075,"139"
"consumer-controlplane",1785689080,"139"
"consumer-dataplane",1785689050,"79"
"consumer-dataplane",1785689055,"79"
"consumer-dataplane",1785689060,"79"
"consumer-dataplane",1785689065,"79"
"consumer-dataplane",1785689070,"79"
"consumer-dataplane",1785689075,"79"
"consumer-dataplane",1785689080,"79"
"provider-controlplane",1785689050,"109"
"provider-controlplane",1785689055,"109"
"provider-controlplane",1785689060,"109"
"provider-controlplane",1785689065,"109"
"provider-controlplane",1785689070,"109"
"provider-controlplane",1785689075,"108"
"provider-controlplane",1785689080,"108"
"provider-dataplane",1785689050,"97"
"provider-dataplane",1785689055,"97"
"provider-dataplane",1785689060,"121"
"provider-dataplane",1785689065,"121"
"provider-dataplane",1785689070,"121"
"provider-dataplane",1785689075,"121"
"provider-dataplane",1785689080,"121"
