series,timestamp,value
"consumer-controlplane",1786386463,"165273096"
"consumer-controlplane",1786386468,"172788352"
"consumer-controlplane",1786386473,"184505752"
"consumer-controlplane",1786386478,"196580544"
"consumer-controlplane",1786386483,"64660112"
"consumer-controlplane",1786386488,"73696944"
"consumer-controlplane",1786386493,"77142624"
"consumer-controlplane",1786386498,"80686664"
"consumer-dataplane",1786386463,"129216376"
"consumer-dataplane",1786386468,"130286152"
"consumer-dataplane",1786386473,"131529328"
"consumer-dataplane",1786386478,"132374752"
"consumer-dataplane",1786386483,"133460904"
"consumer-dataplane",1786386488,"134508112"
"consumer-dataplane",1786386493,"135149056"
"consumer-dataplane",1786386498,"136556064"
"provider-controlplane",1786386463,"67808608"
"provider-controlplane",1786386468,"82546824"
"provider-controlplane",1786386473,"98313528"
"provider-controlplane",1786386478,"112828192"
"provider-controlplane",1786386483,"131508440"
"provider-controlplane",1786386488,"144929040"
"provider-controlplane",1786386493,"155086272"
"provider-controlplane",1786386498,"167155784"
"provider-dataplane",1786386463,"61185840"
"provider-dataplane",1786386468,"93860968"
"provider-dataplane",1786386473,"126211168"
"provider-dataplane",1786386478,"158980688"
"provider-dataplane",1786386483,"49308720"
"provider-dataplane",1786386488,"80819840"
"provider-dataplane",1786386493,"114025944"
"provider-dataplane",1786386498,"149559376"
