series,timestamp,value
"consumer-controlplane",1786620126,"115573056"
"consumer-controlplane",1786620131,"119160480"
"consumer-controlplane",1786620136,"122447648"
"consumer-controlplane",1786620141,"141023504"
"consumer-controlplane",1786620146,"164406864"
"consumer-controlplane",1786620151,"185055720"
"consumer-controlplane",1786620156,"65229216"
"consumer-controlplane",1786620161,"88238432"
"consumer-controlplane",1786620166,"109155920"
"consumer-controlplane",1786620171,"131037048"
"consumer-controlplane",1786620176,"151782896"
"consumer-controlplane",1786620181,"173729288"
"consumer-controlplane",1786620186,"193506312"
"consumer-controlplane",1786620191,"76080608"
"consumer-controlplane",1786620196,"96431056"
"consumer-controlplane",1786620201,"120921776"
"consumer-controlplane",1786620206,"141577984"
"consumer-controlplane",1786620211,"163238960"
"consumer-controlplane",1786620216,"184041984"
"consumer-controlplane",1786620221,"64658832"
"consumer-controlplane",1786620226,"86188152"
"consumer-controlplane",1786620231,"109412408"
"consumer-controlplane",1786620236,"131576648"
"consumer-controlplane",1786620241,"155055064"
"consumer-controlplane",1786620246,"176209048"
"consumer-controlplane",1786620251,"60612568"
"consumer-controlplane",1786620256,"83190816"
"consumer-controlplane",1786620261,"106636560"
"consumer-controlplane",1786620266,"129238832"
"consumer-controlplane",1786620271,"154672064"
"consumer-controlplane",1786620276,"176355272"
"consumer-controlplane",1786620281,"54566400"
"consumer-controlplane",1786620286,"75211240"
"consumer-controlplane",1786620291,"98407992"
"consumer-controlplane",1786620296,"118895168"
"consumer-controlplane",1786620301,"55125768"
"consumer-controlplane",1786620306,"75822656"
"consumer-controlplane",1786620311,"98198896"
"consumer-controlplane",1786620316,"119045624"
"consumer-controlplane",1786620321,"139735760"
"consumer-controlplane",1786620326,"161517040"
"consumer-controlplane",1786620331,"184004320"
"consumer-controlplane",1786620336,"65206064"
"consumer-controlplane",1786620341,"87014064"
"consumer-controlplane",1786620346,"112114680"
"consumer-controlplane",1786620351,"133404600"
"consumer-controlplane",1786620356,"153320488"
"consumer-controlplane",1786620361,"175636728"
"consumer-controlplane",1786620366,"194981104"
"consumer-controlplane",1786620371,"76087624"
"consumer-controlplane",1786620376,"96199000"
"consumer-controlplane",1786620381,"117879808"
"consumer-controlplane",1786620386,"139901584"
"consumer-controlplane",1786620391,"162016960"
"consumer-controlplane",1786620396,"183726496"
"consumer-controlplane",1786620401,"64782472"
"consumer-controlplane",1786620406,"88448576"
"consumer-controlplane",1786620411,"109823416"
"consumer-controlplane",1786620416,"129229960"
"consumer-controlplane",1786620421,"153181800"
"consumer-controlplane",1786620426,"172434352"
"consumer-controlplane",1786620431,"196096904"
"consumer-controlplane",1786620436,"73315928"
"consumer-controlplane",1786620441,"96524576"
"consumer-controlplane",1786620446,"118129520"
"consumer-controlplane",1786620451,"141289000"
"consumer-controlplane",1786620456,"163623656"
"consumer-controlplane",1786620461,"185454968"
"consumer-controlplane",1786620466,"64243080"
"consumer-controlplane",1786620471,"87389240"
"consumer-controlplane",1786620476,"108064064"
"consumer-controlplane",1786620481,"131351808"
"consumer-controlplane",1786620486,"154921584"
"consumer-controlplane",1786620491,"177878088"
"consumer-controlplane",1786620496,"59966192"
"consumer-controlplane",1786620501,"82063176"
"consumer-controlplane",1786620506,"104892992"
"consumer-controlplane",1786620511,"125870112"
"consumer-controlplane",1786620516,"146217360"
"consumer-controlplane",1786620521,"167991000"
"consumer-controlplane",1786620526,"188753584"
"consumer-controlplane",1786620531,"66414448"
"consumer-controlplane",1786620536,"86605336"
"consumer-controlplane",1786620541,"109563752"
"consumer-controlplane",1786620546,"128409440"
"consumer-controlplane",1786620551,"149920312"
"consumer-controlplane",1786620556,"174257400"
"consumer-controlplane",1786620561,"195998512"
"consumer-controlplane",1786620566,"74429496"
"consumer-controlplane",1786620571,"93821072"
"consumer-controlplane",1786620576,"119744384"
"consumer-controlplane",1786620581,"138938024"
"consumer-controlplane",1786620586,"159635592"
"consumer-controlplane",1786620591,"182824168"
"consumer-controlplane",1786620596,"61592640"
"consumer-controlplane",1786620601,"83041496"
"consumer-controlplane",1786620606,"105545360"
"consumer-controlplane",1786620611,"126572864"
"consumer-controlplane",1786620616,"145691864"
"consumer-controlplane",1786620621,"173927928"
"consumer-controlplane",1786620626,"191288496"
"consumer-controlplane",1786620631,"72768464"
"consumer-controlplane",1786620636,"90833256"
"consumer-controlplane",1786620641,"114843128"
"consumer-controlplane",1786620646,"134522944"
"consumer-controlplane",1786620651,"156565984"
"consumer-controlplane",1786620656,"176292352"
"consumer-controlplane",1786620661,"55127200"
"consumer-controlplane",1786620666,"75902760"
"consumer-controlplane",1786620671,"97285056"
"consumer-controlplane",1786620676,"118482752"
"consumer-controlplane",1786620681,"140968952"
"consumer-controlplane",1786620686,"160791984"
"consumer-controlplane",1786620691,"185468296"
"consumer-controlplane",1786620696,"62244424"
"consumer-controlplane",1786620701,"84459376"
"consumer-controlplane",1786620706,"104135144"
"consumer-controlplane",1786620711,"127378112"
"consumer-controlplane",1786620716,"146665920"
"consumer-controlplane",1786620721,"170086984"
"consumer-controlplane",1786620726,"192879536"
"consumer-controlplane",1786620731,"72338152"
"consumer-controlplane",1786620736,"95517632"
"consumer-controlplane",1786620741,"118579856"
"consumer-controlplane",1786620746,"142678496"
"consumer-controlplane",1786620751,"166931952"
"consumer-controlplane",1786620756,"187389256"
"consumer-controlplane",1786620761,"69803032"
"consumer-controlplane",1786620766,"90729264"
"consumer-controlplane",1786620771,"116524720"
"consumer-controlplane",1786620776,"138769848"
"consumer-controlplane",1786620781,"163040776"
"consumer-controlplane",1786620786,"182867688"
"consumer-controlplane",1786620791,"64320896"
"consumer-controlplane",1786620796,"85597048"
"consumer-controlplane",1786620801,"107123128"
"consumer-controlplane",1786620806,"127556376"
"consumer-controlplane",1786620811,"150087936"
"consumer-controlplane",1786620816,"170755392"
"consumer-controlplane",1786620821,"191523528"
"consumer-controlplane",1786620826,"71000928"
"consumer-controlplane",1786620831,"91773840"
"consumer-controlplane",1786620836,"111940480"
"consumer-controlplane",1786620841,"133668136"
"consumer-controlplane",1786620846,"153226496"
"consumer-controlplane",1786620851,"176296096"
"consumer-controlplane",1786620856,"194127952"
"consumer-controlplane",1786620861,"73744256"
"consumer-controlplane",1786620866,"93023400"
"consumer-controlplane",1786620871,"114495464"
"consumer-controlplane",1786620876,"135286912"
"consumer-controlplane",1786620881,"156162000"
"consumer-controlplane",1786620886,"176552312"
"consumer-controlplane",1786620891,"56366936"
"consumer-controlplane",1786620896,"75168968"
"consumer-controlplane",1786620901,"98763272"
"consumer-controlplane",1786620906,"118936928"
"consumer-controlplane",1786620911,"141048800"
"consumer-controlplane",1786620916,"163995544"
"consumer-controlplane",1786620921,"185483448"
"consumer-controlplane",1786620926,"65404424"
"consumer-controlplane",1786620931,"87624256"
"consumer-controlplane",1786620936,"109765176"
"consumer-controlplane",1786620941,"133637080"
"consumer-controlplane",1786620946,"152653560"
"consumer-controlplane",1786620951,"179243624"
"consumer-controlplane",1786620956,"56022496"
"consumer-controlplane",1786620961,"78801920"
"consumer-controlplane",1786620966,"102229272"
"consumer-controlplane",1786620971,"126436712"
"consumer-controlplane",1786620976,"145754880"
"consumer-controlplane",1786620981,"167930584"
"consumer-controlplane",1786620986,"189563976"
"consumer-controlplane",1786620991,"70700616"
"consumer-controlplane",1786620996,"93727680"
"consumer-controlplane",1786621001,"115171384"
"consumer-controlplane",1786621006,"137820456"
"consumer-controlplane",1786621011,"157996112"
"consumer-controlplane",1786621016,"177945752"
"consumer-controlplane",1786621021,"198265472"
