series,timestamp,value
"consumer-controlplane",1786387514,"121931200"
"consumer-controlplane",1786387519,"125385112"
"consumer-controlplane",1786387524,"134501608"
"consumer-controlplane",1786387529,"169741376"
"consumer-controlplane",1786387534,"65082144"
"consumer-controlplane",1786387539,"105072416"
"consumer-controlplane",1786387544,"142340096"
"consumer-controlplane",1786387549,"183471728"
"consumer-controlplane",1786387554,"81664640"
"consumer-controlplane",1786387559,"123913280"
"consumer-controlplane",1786387564,"165722120"
"consumer-controlplane",1786387569,"67606824"
"consumer-controlplane",1786387574,"108659840"
"consumer-controlplane",1786387579,"149867248"
"consumer-controlplane",1786387584,"189779360"
"consumer-controlplane",1786387589,"87010544"
"consumer-controlplane",1786387594,"126653192"
"consumer-controlplane",1786387599,"168199216"
"consumer-controlplane",1786387604,"64945672"
"consumer-controlplane",1786387609,"105074040"
"consumer-controlplane",1786387614,"145841088"
"consumer-controlplane",1786387619,"183442888"
"consumer-controlplane",1786387624,"82342440"
"consumer-controlplane",1786387629,"122123224"
"consumer-controlplane",1786387634,"161426696"
"consumer-controlplane",1786387639,"57833192"
"consumer-controlplane",1786387644,"97907168"
"consumer-controlplane",1786387649,"135625232"
"consumer-controlplane",1786387654,"175935480"
"consumer-controlplane",1786387659,"73893160"
"consumer-controlplane",1786387664,"113991872"
"consumer-controlplane",1786387669,"156239080"
"consumer-controlplane",1786387674,"197399288"
"consumer-controlplane",1786387679,"94858720"
"consumer-controlplane",1786387684,"135867600"
"consumer-controlplane",1786387689,"178556064"
"consumer-controlplane",1786387694,"74472584"
"consumer-controlplane",1786387699,"112405592"
"consumer-controlplane",1786387704,"153940168"
"consumer-controlplane",1786387709,"194522480"
"consumer-controlplane",1786387714,"91142096"
"consumer-controlplane",1786387719,"131118720"
"consumer-controlplane",1786387724,"167544912"
"consumer-controlplane",1786387729,"71813152"
"consumer-controlplane",1786387734,"111309208"
"consumer-controlplane",1786387739,"149945864"
"consumer-controlplane",1786387744,"190607104"
"consumer-controlplane",1786387749,"90953376"
"consumer-controlplane",1786387754,"132526904"
"consumer-controlplane",1786387759,"172145960"
"consumer-controlplane",1786387764,"69706888"
"consumer-controlplane",1786387769,"109710864"
"consumer-controlplane",1786387774,"148162648"
"consumer-controlplane",1786387779,"186665744"
"consumer-controlplane",1786387784,"83271936"
"consumer-controlplane",1786387789,"126694144"
"consumer-controlplane",1786387794,"166658464"
"consumer-controlplane",1786387799,"64969064"
"consumer-controlplane",1786387804,"107321056"
"consumer-controlplane",1786387809,"150352216"
"consumer-controlplane",1786387814,"190246784"
"consumer-controlplane",1786387819,"90709984"
"consumer-controlplane",1786387824,"126648632"
"consumer-controlplane",1786387829,"137698120"
"consumer-dataplane",1786387514,"171503912"
"consumer-dataplane",1786387519,"171503912"
"consumer-dataplane",1786387524,"173018376"
"consumer-dataplane",1786387529,"173974952"
"consumer-dataplane",1786387534,"174109016"
"consumer-dataplane",1786387539,"175637704"
"consumer-dataplane",1786387544,"176586064"
"consumer-dataplane",1786387549,"176586064"
"consumer-dataplane",1786387554,"178008648"
"consumer-dataplane",1786387559,"178965224"
"consumer-dataplane",1786387564,"180035960"
"consumer-dataplane",1786387569,"180035960"
"consumer-dataplane",1786387574,"181551568"
"consumer-dataplane",1786387579,"182499928"
"consumer-dataplane",1786387584,"182624568"
"consumer-dataplane",1786387589,"184014320"
"consumer-dataplane",1786387594,"184962696"
"consumer-dataplane",1786387599,"185911088"
"consumer-dataplane",1786387604,"186355512"
"consumer-dataplane",1786387609,"45850976"
"consumer-dataplane",1786387614,"45850976"
"consumer-dataplane",1786387619,"47335240"
"consumer-dataplane",1786387624,"47780264"
"consumer-dataplane",1786387629,"49158200"
"consumer-dataplane",1786387634,"49158200"
"consumer-dataplane",1786387639,"51088448"
"consumer-dataplane",1786387644,"51088448"
"consumer-dataplane",1786387649,"52466376"
"consumer-dataplane",1786387654,"53113280"
"consumer-dataplane",1786387659,"54584168"
"consumer-dataplane",1786387664,"54584168"
"consumer-dataplane",1786387669,"56097768"
"consumer-dataplane",1786387674,"56542784"
"consumer-dataplane",1786387679,"57920712"
"consumer-dataplane",1786387684,"57920712"
"consumer-dataplane",1786387689,"59751848"
"consumer-dataplane",1786387694,"59751848"
"consumer-dataplane",1786387699,"61222488"
"consumer-dataplane",1786387704,"61875880"
"consumer-dataplane",1786387709,"63346880"
"consumer-dataplane",1786387714,"63346880"
"consumer-dataplane",1786387719,"64724832"
"consumer-dataplane",1786387724,"65169904"
"consumer-dataplane",1786387729,"66548032"
"consumer-dataplane",1786387734,"66700304"
"consumer-dataplane",1786387739,"67153480"
"consumer-dataplane",1786387744,"68624088"
"consumer-dataplane",1786387749,"68624088"
"consumer-dataplane",1786387754,"70556296"
"consumer-dataplane",1786387759,"70649256"
"consumer-dataplane",1786387764,"72027240"
"consumer-dataplane",1786387769,"72579560"
"consumer-dataplane",1786387774,"73957496"
"consumer-dataplane",1786387779,"73957496"
"consumer-dataplane",1786387784,"75335424"
"consumer-dataplane",1786387789,"75873080"
"consumer-dataplane",1786387794,"77412536"
"consumer-dataplane",1786387799,"77511680"
"consumer-dataplane",1786387804,"79443920"
"consumer-dataplane",1786387809,"79536880"
"consumer-dataplane",1786387814,"81188512"
"consumer-dataplane",1786387819,"81641688"
"consumer-dataplane",1786387824,"83019640"
"consumer-dataplane",1786387829,"83019640"
"provider-controlplane",1786387514,"93200408"
"provider-controlplane",1786387519,"102787152"
"provider-controlplane",1786387524,"119497792"
"provider-controlplane",1786387529,"146511872"
"provider-controlplane",1786387534,"178120552"
"provider-controlplane",1786387539,"66536136"
"provider-controlplane",1786387544,"94716504"
"provider-controlplane",1786387549,"126037976"
"provider-controlplane",1786387554,"156486680"
"provider-controlplane",1786387559,"186843880"
"provider-controlplane",1786387564,"75027128"
"provider-controlplane",1786387569,"107432640"
"provider-controlplane",1786387574,"135717848"
"provider-controlplane",1786387579,"166881168"
"provider-controlplane",1786387584,"53894568"
"provider-controlplane",1786387589,"84568416"
"provider-controlplane",1786387594,"114944704"
"provider-controlplane",1786387599,"146548088"
"provider-controlplane",1786387604,"176446552"
"provider-controlplane",1786387609,"65150392"
"provider-controlplane",1786387614,"95542136"
"provider-controlplane",1786387619,"124710296"
"provider-controlplane",1786387624,"157071344"
"provider-controlplane",1786387629,"186271440"
"provider-controlplane",1786387634,"75211184"
"provider-controlplane",1786387639,"105074352"
"provider-controlplane",1786387644,"135803832"
"provider-controlplane",1786387649,"164159808"
"provider-controlplane",1786387654,"52308064"
"provider-controlplane",1786387659,"83199200"
"provider-controlplane",1786387664,"115079912"
"provider-controlplane",1786387669,"146337680"
"provider-controlplane",1786387674,"175189856"
"provider-controlplane",1786387679,"61772440"
"provider-controlplane",1786387684,"92507024"
"provider-controlplane",1786387689,"124146192"
"provider-controlplane",1786387694,"154788024"
"provider-controlplane",1786387699,"183522608"
"provider-controlplane",1786387704,"71476648"
"provider-controlplane",1786387709,"103021320"
"provider-controlplane",1786387714,"131956024"
"provider-controlplane",1786387719,"164186048"
"provider-controlplane",1786387724,"190506512"
"provider-controlplane",1786387729,"82826648"
"provider-controlplane",1786387734,"111995080"
"provider-controlplane",1786387739,"142457744"
"provider-controlplane",1786387744,"173423416"
"provider-controlplane",1786387749,"60652368"
"provider-controlplane",1786387754,"93576488"
"provider-controlplane",1786387759,"126742680"
"provider-controlplane",1786387764,"157359304"
"provider-controlplane",1786387769,"187443640"
"provider-controlplane",1786387774,"74903672"
"provider-controlplane",1786387779,"104525464"
"provider-controlplane",1786387784,"134128992"
"provider-controlplane",1786387789,"165835632"
"provider-controlplane",1786387794,"54285312"
"provider-controlplane",1786387799,"84026200"
"provider-controlplane",1786387804,"115022256"
"provider-controlplane",1786387809,"147764024"
"provider-controlplane",1786387814,"175876928"
"provider-controlplane",1786387819,"66745048"
"provider-controlplane",1786387824,"94192096"
"provider-controlplane",1786387829,"110984512"
"provider-dataplane",1786387514,"128452784"
"provider-dataplane",1786387519,"159145584"
"provider-dataplane",1786387524,"189737248"
"provider-dataplane",1786387529,"78667040"
"provider-dataplane",1786387534,"109651400"
"provider-dataplane",1786387539,"139006704"
"provider-dataplane",1786387544,"169008424"
"provider-dataplane",1786387549,"54773872"
"provider-dataplane",1786387554,"85087968"
"provider-dataplane",1786387559,"115958968"
"provider-dataplane",1786387564,"143587064"
"provider-dataplane",1786387569,"171716952"
"provider-dataplane",1786387574,"57392984"
"provider-dataplane",1786387579,"88452000"
"provider-dataplane",1786387584,"116929744"
"provider-dataplane",1786387589,"146873672"
"provider-dataplane",1786387594,"176556552"
"provider-dataplane",1786387599,"61984048"
"provider-dataplane",1786387604,"91589816"
"provider-dataplane",1786387609,"121867528"
"provider-dataplane",1786387614,"148736288"
"provider-dataplane",1786387619,"178604744"
"provider-dataplane",1786387624,"65389968"
"provider-dataplane",1786387629,"93612032"
"provider-dataplane",1786387634,"123302968"
"provider-dataplane",1786387639,"151119400"
"provider-dataplane",1786387644,"180023760"
"provider-dataplane",1786387649,"65447560"
"provider-dataplane",1786387654,"94324080"
"provider-dataplane",1786387659,"123217704"
"provider-dataplane",1786387664,"152034480"
"provider-dataplane",1786387669,"183637208"
"provider-dataplane",1786387674,"71205464"
"provider-dataplane",1786387679,"98851760"
"provider-dataplane",1786387684,"130904296"
"provider-dataplane",1786387689,"158193312"
"provider-dataplane",1786387694,"185952624"
"provider-dataplane",1786387699,"73467592"
"provider-dataplane",1786387704,"97585208"
"provider-dataplane",1786387709,"123932400"
"provider-dataplane",1786387714,"154743080"
"provider-dataplane",1786387719,"184496736"
"provider-dataplane",1786387724,"73067720"
"provider-dataplane",1786387729,"100691744"
"provider-dataplane",1786387734,"131028520"
"provider-dataplane",1786387739,"158598792"
"provider-dataplane",1786387744,"187070024"
"provider-dataplane",1786387749,"74294432"
"provider-dataplane",1786387754,"104003136"
"provider-dataplane",1786387759,"133583272"
"provider-dataplane",1786387764,"162079096"
"provider-dataplane",1786387769,"191686624"
"provider-dataplane",1786387774,"77683304"
"provider-dataplane",1786387779,"107468872"
