series,timestamp,value
"consumer-controlplane",1786387514,"121"
"consumer-controlplane",1786387519,"121"
"consumer-controlplane",1786387524,"121"
"consumer-controlplane",1786387529,"121"
"consumer-controlplane",1786387534,"121"
"consumer-controlplane",1786387539,"121"
"consumer-controlplane",1786387544,"121"
"consumer-controlplane",1786387549,"121"
"consumer-controlplane",1786387554,"121"
"consumer-controlplane",1786387559,"121"
"consumer-controlplane",1786387564,"121"
"consumer-controlplane",1786387569,"121"
"consumer-controlplane",1786387574,"121"
"consumer-controlplane",1786387579,"121"
"consumer-controlplane",1786387584,"121"
"consumer-controlplane",1786387589,"121"
"consumer-controlplane",1786387594,"121"
"consumer-controlplane",1786387599,"121"
"consumer-controlplane",1786387604,"119"
"consumer-controlplane",1786387609,"119"
"consumer-controlplane",1786387614,"119"
"consumer-controlplane",1786387619,"119"
"consumer-controlplane",1786387624,"119"
"consumer-controlplane",1786387629,"119"
"consumer-controlplane",1786387634,"119"
"consumer-controlplane",1786387639,"119"
"consumer-controlplane",1786387644,"119"
"consumer-controlplane",1786387649,"119"
"consumer-controlplane",1786387654,"119"
"consumer-controlplane",1786387659,"119"
"consumer-controlplane",1786387664,"118"
"consumer-controlplane",1786387669,"118"
"consumer-controlplane",1786387674,"118"
"consumer-controlplane",1786387679,"118"
"consumer-controlplane",1786387684,"118"
"consumer-controlplane",1786387689,"118"
"consumer-controlplane",1786387694,"118"
"consumer-controlplane",1786387699,"118"
"consumer-controlplane",1786387704,"118"
"consumer-controlplane",1786387709,"118"
"consumer-controlplane",1786387714,"118"
"consumer-controlplane",1786387719,"118"
"consumer-controlplane",1786387724,"118"
"consumer-controlplane",1786387729,"117"
"consumer-controlplane",1786387734,"117"
"consumer-controlplane",1786387739,"117"
"consumer-controlplane",1786387744,"117"
"consumer-controlplane",1786387749,"117"
"consumer-controlplane",1786387754,"118"
"consumer-controlplane",1786387759,"118"
"consumer-controlplane",1786387764,"118"
"consumer-controlplane",1786387769,"118"
"consumer-controlplane",1786387774,"118"
"consumer-controlplane",1786387779,"118"
"consumer-controlplane",1786387784,"118"
"consumer-controlplane",1786387789,"117"
"consumer-controlplane",1786387794,"117"
"consumer-controlplane",1786387799,"117"
"consumer-controlplane",1786387804,"117"
"consumer-controlplane",1786387809,"117"
"consumer-controlplane",1786387814,"116"
"consumer-controlplane",1786387819,"116"
"consumer-controlplane",1786387824,"116"
"consumer-controlplane",1786387829,"116"
"consumer-dataplane",1786387514,"78"
"consumer-dataplane",1786387519,"78"
"consumer-dataplane",1786387524,"78"
"consumer-dataplane",1786387529,"78"
"consumer-dataplane",1786387534,"78"
"consumer-dataplane",1786387539,"78"
"consumer-dataplane",1786387544,"78"
"consumer-dataplane",1786387549,"78"
"consumer-dataplane",1786387554,"78"
"consumer-dataplane",1786387559,"78"
"consumer-dataplane",1786387564,"78"
"consumer-dataplane",1786387569,"78"
"consumer-dataplane",1786387574,"78"
"consumer-dataplane",1786387579,"78"
"consumer-dataplane",1786387584,"78"
"consumer-dataplane",1786387589,"78"
"consumer-dataplane",1786387594,"78"
"consumer-dataplane",1786387599,"78"
"consumer-dataplane",1786387604,"78"
"consumer-dataplane",1786387609,"77"
"consumer-dataplane",1786387614,"77"
"consumer-dataplane",1786387619,"78"
"consumer-dataplane",1786387624,"78"
"consumer-dataplane",1786387629,"78"
"consumer-dataplane",1786387634,"78"
"consumer-dataplane",1786387639,"78"
"consumer-dataplane",1786387644,"78"
"consumer-dataplane",1786387649,"78"
"consumer-dataplane",1786387654,"78"
"consumer-dataplane",1786387659,"78"
"consumer-dataplane",1786387664,"78"
"consumer-dataplane",1786387669,"78"
"consumer-dataplane",1786387674,"78"
"consumer-dataplane",1786387679,"78"
"consumer-dataplane",1786387684,"78"
"consumer-dataplane",1786387689,"78"
"consumer-dataplane",1786387694,"78"
"consumer-dataplane",1786387699,"78"
"consumer-dataplane",1786387704,"78"
"consumer-dataplane",1786387709,"78"
"consumer-dataplane",1786387714,"78"
"consumer-dataplane",1786387719,"78"
"consumer-dataplane",1786387724,"78"
"consumer-dataplane",1786387729,"78"
"consumer-dataplane",1786387734,"78"
"consumer-dataplane",1786387739,"78"
"consumer-dataplane",1786387744,"78"
"consumer-dataplane",1786387749,"78"
"consumer-dataplane",1786387754,"77"
"consumer-dataplane",1786387759,"77"
"consumer-dataplane",1786387764,"77"
"consumer-dataplane",1786387769,"77"
"consumer-dataplane",1786387774,"77"
"consumer-dataplane",1786387779,"77"
"consumer-dataplane",1786387784,"77"
"consumer-dataplane",1786387789,"77"
"consumer-dataplane",1786387794,"78"
"consumer-dataplane",1786387799,"78"
"consumer-dataplane",1786387804,"78"
"consumer-dataplane",1786387809,"78"
"consumer-dataplane",1786387814,"78"
"consumer-dataplane",1786387819,"78"
"consumer-dataplane",1786387824,"78"
"consumer-dataplane",1786387829,"78"
"provider-controlplane",1786387514,"104"
"provider-controlplane",1786387519,"104"
"provider-controlplane",1786387524,"104"
"provider-controlplane",1786387529,"105"
"provider-controlplane",1786387534,"106"
"provider-controlplane",1786387539,"106"
"provider-controlplane",1786387544,"106"
"provider-controlplane",1786387549,"106"
"provider-controlplane",1786387554,"106"
"provider-controlplane",1786387559,"106"
"provider-controlplane",1786387564,"106"
"provider-controlplane",1786387569,"106"
"provider-controlplane",1786387574,"106"
"provider-controlplane",1786387579,"106"
"provider-controlplane",1786387584,"106"
"provider-controlplane",1786387589,"106"
"provider-controlplane",1786387594,"105"
"provider-controlplane",1786387599,"105"
"provider-controlplane",1786387604,"105"
"provider-controlplane",1786387609,"105"
"provider-controlplane",1786387614,"105"
"provider-controlplane",1786387619,"105"
"provider-controlplane",1786387624,"105"
"provider-controlplane",1786387629,"104"
"provider-controlplane",1786387634,"104"
"provider-controlplane",1786387639,"104"
"provider-controlplane",1786387644,"104"
"provider-controlplane",1786387649,"104"
"provider-controlplane",1786387654,"104"
"provider-controlplane",1786387659,"105"
"provider-controlplane",1786387664,"105"
"provider-controlplane",1786387669,"105"
"provider-controlplane",1786387674,"105"
"provider-controlplane",1786387679,"105"
"provider-controlplane",1786387684,"105"
"provider-controlplane",1786387689,"105"
"provider-controlplane",1786387694,"105"
"provider-controlplane",1786387699,"105"
"provider-controlplane",1786387704,"105"
"provider-controlplane",1786387709,"105"
"provider-controlplane",1786387714,"105"
"provider-controlplane",1786387719,"105"
"provider-controlplane",1786387724,"105"
"provider-controlplane",1786387729,"105"
"provider-controlplane",1786387734,"105"
"provider-controlplane",1786387739,"105"
"provider-controlplane",1786387744,"105"
"provider-controlplane",1786387749,"105"
"provider-controlplane",1786387754,"106"
"provider-controlplane",1786387759,"106"
"provider-controlplane",1786387764,"106"
"provider-controlplane",1786387769,"106"
"provider-controlplane",1786387774,"106"
"provider-controlplane",1786387779,"105"
"provider-controlplane",1786387784,"106"
"provider-controlplane",1786387789,"106"
"provider-controlplane",1786387794,"106"
"provider-controlplane",1786387799,"106"
"provider-controlplane",1786387804,"106"
"provider-controlplane",1786387809,"106"
"provider-controlplane",1786387814,"106"
"provider-controlplane",1786387819,"106"
"provider-controlplane",1786387824,"106"
"provider-controlplane",1786387829,"106"
"provider-dataplane",1786387514,"115"
"provider-dataplane",1786387519,"115"
"provider-dataplane",1786387524,"115"
"provider-dataplane",1786387529,"115"
"provider-dataplane",1786387534,"115"
"provider-dataplane",1786387539,"115"
"provider-dataplane",1786387544,"114"
"provider-dataplane",1786387549,"114"
"provider-dataplane",1786387554,"114"
"provider-dataplane",1786387559,"113"
"provider-dataplane",1786387564,"113"
"provider-dataplane",1786387569,"113"
"provider-dataplane",1786387574,"113"
"provider-dataplane",1786387579,"113"
"provider-dataplane",1786387584,"113"
"provider-dataplane",1786387589,"113"
"provider-dataplane",1786387594,"113"
"provider-dataplane",1786387599,"113"
"provider-dataplane",1786387604,"112"
"provider-dataplane",1786387609,"112"
"provider-dataplane",1786387614,"112"
"provider-dataplane",1786387619,"112"
"provider-dataplane",1786387624,"112"
"provider-dataplane",1786387629,"112"
"provider-dataplane",1786387634,"112"
"provider-dataplane",1786387639,"112"
"provider-dataplane",1786387644,"112"
"provider-dataplane",1786387649,"112"
"provider-dataplane",1786387654,"112"
"provider-dataplane",1786387659,"112"
"provider-dataplane",1786387664,"111"
"provider-dataplane",1786387669,"111"
"provider-dataplane",1786387674,"111"
"provider-dataplane",1786387679,"111"
"provider-dataplane",1786387684,"112"
"provider-dataplane",1786387689,"112"
"provider-dataplane",1786387694,"112"
"provider-dataplane",1786387699,"112"
"provider-dataplane",1786387704,"112"
"provider-dataplane",1786387709,"112"
"provider-dataplane",1786387714,"112"
"provider-dataplane",1786387719,"112"
"provider-dataplane",1786387724,"111"
"provider-dataplane",1786387729,"111"
"provider-dataplane",1786387734,"111"
"provider-dataplane",1786387739,"111"
"provider-dataplane",1786387744,"110"
"provider-dataplane",1786387749,"110"
"provider-dataplane",1786387754,"110"
"provider-dataplane",1786387759,"110"
"provider-dataplane",1786387764,"110"
"provider-dataplane",1786387769,"110"
"provider-dataplane",1786387774,"110"
"provider-dataplane",1786387779,"110"
"provider-dataplane",1786387784,"109"
"provider-dataplane",1786387789,"109"
"provider-dataplane",1786387794,"109"
"provider-dataplane",1786387799,"109"
"provider-dataplane",1786387804,"109"
"provider-dataplane",1786387809,"109"
"provider-dataplane",1786387814,"109"
"provider-dataplane",1786387819,"109"
"provider-dataplane",1786387824,"109"
"provider-dataplane",1786387829,"114"
