series,timestamp,value
"consumer-controlplane",1785685208,"206114040"
"consumer-controlplane",1785685213,"220955880"
"consumer-controlplane",1785685218,"135656560"
"consumer-controlplane",1785685223,"211042440"
"consumer-controlplane",1785685228,"209146368"
"consumer-controlplane",1785685233,"138725096"
"consumer-controlplane",1785685238,"210634256"
"consumer-controlplane",1785685243,"142232640"
"consumer-controlplane",1785685248,"216714200"
"consumer-controlplane",1785685253,"148936784"
"consumer-controlplane",1785685258,"76619128"
"consumer-controlplane",1785685263,"149552368"
"consumer-controlplane",1785685268,"79446712"
"consumer-controlplane",1785685273,"152442944"
"consumer-controlplane",1785685278,"80780400"
"consumer-controlplane",1785685283,"152009856"
"consumer-controlplane",1785685288,"81161960"
"consumer-controlplane",1785685293,"151900920"
"consumer-controlplane",1785685298,"84264584"
"consumer-controlplane",1785685303,"133543584"
"consumer-controlplane",1785685308,"137104696"
"consumer-controlplane",1785685313,"140683040"
"consumer-dataplane",1785685208,"70850336"
"consumer-dataplane",1785685213,"70858544"
"consumer-dataplane",1785685218,"70874960"
"consumer-dataplane",1785685223,"73325088"
"consumer-dataplane",1785685228,"73454456"
"consumer-dataplane",1785685233,"73470872"
"consumer-dataplane",1785685238,"75953872"
"consumer-dataplane",1785685243,"75970288"
"consumer-dataplane",1785685248,"75986704"
"consumer-dataplane",1785685253,"78117352"
"consumer-dataplane",1785685258,"78715688"
"consumer-dataplane",1785685263,"78806888"
"consumer-dataplane",1785685268,"80898056"
"consumer-dataplane",1785685273,"81491232"
"consumer-dataplane",1785685278,"81539656"
"consumer-dataplane",1785685283,"83510640"
"consumer-dataplane",1785685288,"83518848"
"consumer-dataplane",1785685293,"84078864"
"consumer-dataplane",1785685298,"86049856"
"consumer-dataplane",1785685303,"86114688"
"consumer-dataplane",1785685308,"86147504"
"consumer-dataplane",1785685313,"88662192"
"provider-controlplane",1785685208,"94187888"
"provider-controlplane",1785685213,"198395128"
"provider-controlplane",1785685218,"170080736"
"provider-controlplane",1785685223,"160802752"
"provider-controlplane",1785685228,"154558336"
"provider-controlplane",1785685233,"125901576"
"provider-controlplane",1785685238,"102573472"
"provider-controlplane",1785685243,"115679992"
"provider-controlplane",1785685248,"110949424"
"provider-controlplane",1785685253,"114246552"
"provider-controlplane",1785685258,"108704272"
"provider-controlplane",1785685263,"85694040"
"provider-controlplane",1785685268,"69567512"
"provider-controlplane",1785685273,"58482464"
"provider-controlplane",1785685278,"165349000"
"provider-controlplane",1785685283,"139503048"
"provider-controlplane",1785685288,"108464808"
"provider-controlplane",1785685293,"95219656"
"provider-controlplane",1785685298,"93777328"
"provider-controlplane",1785685303,"146627768"
"provider-controlplane",1785685308,"159081120"
"provider-controlplane",1785685313,"169718784"
"provider-dataplane",1785685208,"202798128"
"provider-dataplane",1785685213,"94066128"
"provider-dataplane",1785685218,"129799504"
"provider-dataplane",1785685223,"159468688"
"provider-dataplane",1785685228,"189128792"
"provider-dataplane",1785685233,"69079712"
"provider-dataplane",1785685238,"98414960"
"provider-dataplane",1785685243,"127731176"
"provider-dataplane",1785685248,"157150704"
"provider-dataplane",1785685253,"186493040"
"provider-dataplane",1785685258,"72768672"
"provider-dataplane",1785685263,"102412784"
"provider-dataplane",1785685268,"132263464"
"provider-dataplane",1785685273,"161898088"
"provider-dataplane",1785685278,"192077456"
"provider-dataplane",1785685283,"76288832"
"provider-dataplane",1785685288,"104956680"
"provider-dataplane",1785685293,"136275992"
"provider-dataplane",1785685298,"162335568"
"provider-dataplane",1785685303,"193672768"
"provider-dataplane",1785685308,"79218192"
"provider-dataplane",1785685313,"111644192"
