series,timestamp,value
"consumer-controlplane",1786362018,"126"
"consumer-controlplane",1786362023,"126"
"consumer-controlplane",1786362028,"126"
"consumer-controlplane",1786362033,"126"
"consumer-controlplane",1786362038,"125"
"consumer-controlplane",1786362043,"126"
"consumer-controlplane",1786362048,"125"
"consumer-controlplane",1786362053,"125"
"consumer-controlplane",1786362058,"125"
"consumer-controlplane",1786362063,"125"
"consumer-controlplane",1786362068,"125"
"consumer-controlplane",1786362073,"125"
"consumer-controlplane",1786362078,"125"
"consumer-controlplane",1786362083,"125"
"consumer-controlplane",1786362088,"125"
"consumer-controlplane",1786362093,"125"
"consumer-controlplane",1786362098,"125"
"consumer-controlplane",1786362103,"124"
"consumer-controlplane",1786362108,"123"
"consumer-controlplane",1786362113,"123"
"consumer-controlplane",1786362118,"123"
"consumer-controlplane",1786362123,"123"
"consumer-controlplane",1786362128,"123"
"consumer-controlplane",1786362133,"123"
"consumer-controlplane",1786362138,"123"
"consumer-dataplane",1786362018,"78"
"consumer-dataplane",1786362023,"78"
"consumer-dataplane",1786362028,"78"
"consumer-dataplane",1786362033,"78"
"consumer-dataplane",1786362038,"78"
"consumer-dataplane",1786362043,"78"
"consumer-dataplane",1786362048,"78"
"consumer-dataplane",1786362053,"78"
"consumer-dataplane",1786362058,"78"
"consumer-dataplane",1786362063,"78"
"consumer-dataplane",1786362068,"78"
"consumer-dataplane",1786362073,"78"
"consumer-dataplane",1786362078,"78"
"consumer-dataplane",1786362083,"78"
"consumer-dataplane",1786362088,"78"
"consumer-dataplane",1786362093,"78"
"consumer-dataplane",1786362098,"78"
"consumer-dataplane",1786362103,"78"
"consumer-dataplane",1786362108,"78"
"consumer-dataplane",1786362113,"78"
"consumer-dataplane",1786362118,"78"
"consumer-dataplane",1786362123,"77"
"consumer-dataplane",1786362128,"77"
"consumer-dataplane",1786362133,"78"
"consumer-dataplane",1786362138,"78"
"provider-controlplane",1786362018,"110"
"provider-controlplane",1786362023,"110"
"provider-controlplane",1786362028,"110"
"provider-controlplane",1786362033,"110"
"provider-controlplane",1786362038,"110"
"provider-controlplane",1786362043,"111"
"provider-controlplane",1786362048,"110"
"provider-controlplane",1786362053,"109"
"provider-controlplane",1786362058,"109"
"provider-controlplane",1786362063,"109"
"provider-controlplane",1786362068,"107"
"provider-controlplane",1786362073,"106"
"provider-controlplane",1786362078,"106"
"provider-controlplane",1786362083,"106"
"provider-controlplane",1786362088,"106"
"provider-controlplane",1786362093,"106"
"provider-controlplane",1786362098,"106"
"provider-controlplane",1786362103,"105"
"provider-controlplane",1786362108,"105"
"provider-controlplane",1786362113,"106"
"provider-controlplane",1786362118,"106"
"provider-controlplane",1786362123,"106"
"provider-controlplane",1786362128,"106"
"provider-controlplane",1786362133,"106"
"provider-controlplane",1786362138,"105"
"provider-dataplane",1786362018,"125"
"provider-dataplane",1786362023,"125"
"provider-dataplane",1786362028,"125"
"provider-dataplane",1786362033,"125"
"provider-dataplane",1786362038,"125"
"provider-dataplane",1786362043,"125"
"provider-dataplane",1786362048,"125"
"provider-dataplane",1786362053,"125"
"provider-dataplane",1786362058,"125"
"provider-dataplane",1786362063,"124"
"provider-dataplane",1786362068,"124"
"provider-dataplane",1786362073,"123"
"provider-dataplane",1786362078,"123"
"provider-dataplane",1786362083,"123"
"provider-dataplane",1786362088,"123"
"provider-dataplane",1786362093,"123"
"provider-dataplane",1786362098,"123"
"provider-dataplane",1786362103,"123"
"provider-dataplane",1786362108,"123"
"provider-dataplane",1786362113,"123"
"provider-dataplane",1786362118,"123"
"provider-dataplane",1786362123,"123"
"provider-dataplane",1786362128,"122"
"provider-dataplane",1786362133,"122"
"provider-dataplane",1786362138,"122"
