series,timestamp,value
"consumer-controlplane",1785686734,"140665768"
"consumer-controlplane",1785686739,"196584744"
"consumer-controlplane",1785686744,"159059192"
"consumer-controlplane",1785686749,"181892712"
"consumer-controlplane",1785686754,"209634952"
"consumer-controlplane",1785686759,"227150928"
"consumer-controlplane",1785686764,"104468416"
"consumer-controlplane",1785686769,"141293984"
"consumer-controlplane",1785686774,"177048696"
"consumer-controlplane",1785686779,"224955288"
"consumer-controlplane",1785686784,"125508048"
"consumer-controlplane",1785686789,"175529288"
"consumer-controlplane",1785686794,"230505640"
"consumer-controlplane",1785686799,"150052808"
"consumer-controlplane",1785686804,"196331992"
"consumer-controlplane",1785686809,"115728784"
"consumer-controlplane",1785686814,"175486776"
"consumer-controlplane",1785686819,"96514976"
"consumer-controlplane",1785686824,"168530232"
"consumer-controlplane",1785686829,"236655328"
"consumer-controlplane",1785686834,"167147168"
"consumer-controlplane",1785686839,"110013480"
"consumer-controlplane",1785686844,"193759456"
"consumer-controlplane",1785686849,"124767512"
"consumer-controlplane",1785686854,"215457840"
"consumer-controlplane",1785686859,"178827496"
"consumer-controlplane",1785686864,"141280824"
"consumer-controlplane",1785686869,"220890128"
"consumer-controlplane",1785686874,"180213760"
"consumer-controlplane",1785686879,"170617496"
"consumer-controlplane",1785686884,"143385920"
"consumer-controlplane",1785686889,"237055632"
"consumer-controlplane",1785686894,"229758264"
"consumer-controlplane",1785686899,"234948176"
"consumer-controlplane",1785686904,"189048584"
"consumer-controlplane",1785686909,"179828816"
"consumer-controlplane",1785686914,"173946128"
"consumer-controlplane",1785686919,"159984624"
"consumer-controlplane",1785686924,"159990600"
"consumer-controlplane",1785686929,"174166240"
"consumer-controlplane",1785686934,"203203608"
"consumer-controlplane",1785686939,"199704360"
"consumer-controlplane",1785686944,"99058104"
"consumer-controlplane",1785686949,"145515136"
"consumer-controlplane",1785686954,"175672768"
"consumer-controlplane",1785686959,"213839576"
"consumer-controlplane",1785686964,"101293736"
"consumer-controlplane",1785686969,"117008464"
"consumer-controlplane",1785686974,"182734488"
"consumer-controlplane",1785686979,"198022184"
"consumer-controlplane",1785686984,"108953520"
"consumer-controlplane",1785686989,"165834960"
"consumer-controlplane",1785686994,"116581968"
"consumer-controlplane",1785686999,"225584496"
"consumer-controlplane",1785687004,"188567776"
"consumer-controlplane",1785687009,"107319256"
