series,timestamp,value
"consumer-controlplane",1786382696,"127"
"consumer-controlplane",1786382701,"127"
"consumer-controlplane",1786382706,"127"
"consumer-controlplane",1786382711,"127"
"consumer-controlplane",1786382716,"127"
"consumer-controlplane",1786382721,"127"
"consumer-controlplane",1786382726,"127"
"consumer-controlplane",1786382731,"126"
"consumer-controlplane",1786382736,"124"
"consumer-controlplane",1786382741,"123"
"consumer-controlplane",1786382746,"123"
"consumer-controlplane",1786382751,"124"
"consumer-controlplane",1786382756,"124"
"consumer-controlplane",1786382761,"124"
"consumer-controlplane",1786382766,"124"
"consumer-controlplane",1786382771,"124"
"consumer-controlplane",1786382776,"124"
"consumer-controlplane",1786382781,"125"
"consumer-controlplane",1786382786,"125"
"consumer-controlplane",1786382791,"125"
"consumer-controlplane",1786382796,"126"
"consumer-controlplane",1786382801,"126"
"consumer-controlplane",1786382806,"126"
"consumer-controlplane",1786382811,"126"
"consumer-controlplane",1786382816,"127"
"consumer-controlplane",1786382821,"127"
"consumer-controlplane",1786382826,"127"
"consumer-controlplane",1786382831,"127"
"consumer-controlplane",1786382836,"128"
"consumer-controlplane",1786382841,"128"
"consumer-controlplane",1786382846,"128"
"consumer-controlplane",1786382851,"128"
"consumer-controlplane",1786382856,"128"
"consumer-controlplane",1786382861,"128"
"consumer-controlplane",1786382866,"127"
"consumer-controlplane",1786382871,"127"
"consumer-controlplane",1786382876,"127"
"consumer-controlplane",1786382881,"127"
"consumer-controlplane",1786382886,"127"
"consumer-controlplane",1786382891,"128"
"consumer-controlplane",1786382896,"128"
"consumer-controlplane",1786382901,"130"
"consumer-controlplane",1786382906,"130"
"consumer-controlplane",1786382911,"130"
"consumer-controlplane",1786382916,"130"
"consumer-controlplane",1786382921,"130"
"consumer-controlplane",1786382926,"130"
"consumer-controlplane",1786382931,"129"
"consumer-controlplane",1786382936,"129"
"consumer-controlplane",1786382941,"129"
"consumer-controlplane",1786382946,"129"
"consumer-controlplane",1786382951,"129"
"consumer-controlplane",1786382956,"130"
"consumer-controlplane",1786382961,"129"
"consumer-controlplane",1786382966,"130"
"consumer-controlplane",1786382971,"131"
"consumer-controlplane",1786382976,"131"
"consumer-controlplane",1786382981,"131"
"consumer-controlplane",1786382986,"131"
"consumer-controlplane",1786382991,"130"
"consumer-controlplane",1786382996,"130"
"consumer-controlplane",1786383001,"130"
"consumer-controlplane",1786383006,"130"
"consumer-controlplane",1786383011,"130"
"consumer-controlplane",1786383016,"129"
"consumer-controlplane",1786383021,"129"
"consumer-controlplane",1786383026,"129"
"consumer-controlplane",1786383031,"128"
"consumer-controlplane",1786383036,"128"
"consumer-controlplane",1786383041,"128"
"consumer-controlplane",1786383046,"128"
"consumer-controlplane",1786383051,"127"
"consumer-controlplane",1786383056,"127"
"consumer-controlplane",1786383061,"126"
"consumer-controlplane",1786383066,"126"
"consumer-controlplane",1786383071,"127"
"consumer-controlplane",1786383076,"127"
"consumer-controlplane",1786383081,"127"
"consumer-controlplane",1786383086,"129"
"consumer-controlplane",1786383091,"129"
"consumer-controlplane",1786383096,"129"
"consumer-controlplane",1786383101,"129"
"consumer-controlplane",1786383106,"129"
"consumer-controlplane",1786383111,"131"
"consumer-controlplane",1786383116,"132"
"consumer-controlplane",1786383121,"132"
"consumer-controlplane",1786383126,"132"
"consumer-controlplane",1786383131,"132"
"consumer-controlplane",1786383136,"132"
"consumer-controlplane",1786383141,"132"
"consumer-controlplane",1786383146,"132"
"consumer-controlplane",1786383151,"132"
"consumer-controlplane",1786383156,"132"
"consumer-controlplane",1786383161,"132"
"consumer-controlplane",1786383166,"140"
"consumer-controlplane",1786383171,"139"
"consumer-dataplane",1786382696,"78"
"consumer-dataplane",1786382701,"78"
"consumer-dataplane",1786382706,"78"
"consumer-dataplane",1786382711,"78"
"consumer-dataplane",1786382716,"78"
"consumer-dataplane",1786382721,"78"
"consumer-dataplane",1786382726,"78"
"consumer-dataplane",1786382731,"78"
"consumer-dataplane",1786382736,"78"
"consumer-dataplane",1786382741,"78"
"consumer-dataplane",1786382746,"78"
"consumer-dataplane",1786382751,"78"
"consumer-dataplane",1786382756,"78"
"consumer-dataplane",1786382761,"78"
"consumer-dataplane",1786382766,"78"
"consumer-dataplane",1786382771,"78"
"consumer-dataplane",1786382776,"77"
"consumer-dataplane",1786382781,"78"
"consumer-dataplane",1786382786,"78"
"consumer-dataplane",1786382791,"78"
"consumer-dataplane",1786382796,"78"
"consumer-dataplane",1786382801,"78"
"consumer-dataplane",1786382806,"78"
"consumer-dataplane",1786382811,"78"
"consumer-dataplane",1786382816,"78"
"consumer-dataplane",1786382821,"78"
"consumer-dataplane",1786382826,"78"
"consumer-dataplane",1786382831,"78"
"consumer-dataplane",1786382836,"78"
"consumer-dataplane",1786382841,"78"
"consumer-dataplane",1786382846,"78"
"consumer-dataplane",1786382851,"78"
"consumer-dataplane",1786382856,"78"
"consumer-dataplane",1786382861,"78"
"consumer-dataplane",1786382866,"78"
"consumer-dataplane",1786382871,"78"
"consumer-dataplane",1786382876,"78"
"consumer-dataplane",1786382881,"78"
"consumer-dataplane",1786382886,"78"
"consumer-dataplane",1786382891,"78"
"consumer-dataplane",1786382896,"78"
"consumer-dataplane",1786382901,"78"
"consumer-dataplane",1786382906,"78"
"consumer-dataplane",1786382911,"78"
"consumer-dataplane",1786382916,"78"
"consumer-dataplane",1786382921,"78"
"consumer-dataplane",1786382926,"78"
"consumer-dataplane",1786382931,"78"
"consumer-dataplane",1786382936,"78"
"consumer-dataplane",1786382941,"78"
"consumer-dataplane",1786382946,"78"
"consumer-dataplane",1786382951,"78"
"consumer-dataplane",1786382956,"77"
"consumer-dataplane",1786382961,"78"
"consumer-dataplane",1786382966,"78"
"consumer-dataplane",1786382971,"78"
"consumer-dataplane",1786382976,"78"
"consumer-dataplane",1786382981,"78"
"consumer-dataplane",1786382986,"78"
