series,timestamp,value
"consumer-controlplane",1785684940,"138"
"consumer-controlplane",1785684945,"138"
"consumer-controlplane",1785684950,"138"
"consumer-controlplane",1785684955,"138"
"consumer-controlplane",1785684960,"138"
"consumer-controlplane",1785684965,"137"
"consumer-controlplane",1785684970,"137"
"consumer-controlplane",1785684975,"137"
"consumer-controlplane",1785684980,"137"
"consumer-controlplane",1785684985,"137"
"consumer-controlplane",1785684990,"135"
"consumer-controlplane",1785684995,"135"
"consumer-controlplane",1785685000,"134"
"consumer-controlplane",1785685005,"131"
"consumer-controlplane",1785685010,"128"
"consumer-controlplane",1785685015,"128"
"consumer-controlplane",1785685020,"126"
"consumer-dataplane",1785684940,"78"
"consumer-dataplane",1785684945,"78"
"consumer-dataplane",1785684950,"78"
"consumer-dataplane",1785684955,"78"
"consumer-dataplane",1785684960,"78"
"consumer-dataplane",1785684965,"78"
"consumer-dataplane",1785684970,"78"
"consumer-dataplane",1785684975,"78"
"consumer-dataplane",1785684980,"78"
"consumer-dataplane",1785684985,"78"
"consumer-dataplane",1785684990,"78"
"consumer-dataplane",1785684995,"78"
"consumer-dataplane",1785685000,"78"
"consumer-dataplane",1785685005,"78"
"consumer-dataplane",1785685010,"78"
"consumer-dataplane",1785685015,"78"
"consumer-dataplane",1785685020,"78"
"provider-controlplane",1785684940,"111"
"provider-controlplane",1785684945,"112"
"provider-controlplane",1785684950,"112"
"provider-controlplane",1785684955,"112"
"provider-controlplane",1785684960,"112"
"provider-controlplane",1785684965,"112"
"provider-controlplane",1785684970,"112"
"provider-controlplane",1785684975,"112"
"provider-controlplane",1785684980,"112"
"provider-controlplane",1785684985,"112"
"provider-controlplane",1785684990,"112"
"provider-controlplane",1785684995,"112"
"provider-controlplane",1785685000,"112"
"provider-controlplane",1785685005,"111"
"provider-controlplane",1785685010,"105"
"provider-controlplane",1785685015,"105"
"provider-controlplane",1785685020,"103"
"provider-dataplane",1785684940,"117"
"provider-dataplane",1785684945,"117"
"provider-dataplane",1785684950,"117"
"provider-dataplane",1785684955,"116"
"provider-dataplane",1785684960,"116"
"provider-dataplane",1785684965,"116"
"provider-dataplane",1785684970,"116"
"provider-dataplane",1785684975,"116"
"provider-dataplane",1785684980,"116"
"provider-dataplane",1785684985,"116"
"provider-dataplane",1785684990,"116"
"provider-dataplane",1785684995,"116"
"provider-dataplane",1785685000,"116"
"provider-dataplane",1785685005,"116"
"provider-dataplane",1785685010,"116"
"provider-dataplane",1785685015,"116"
"provider-dataplane",1785685020,"114"
