series,timestamp,value
"consumer-controlplane",1786380570,"81032824"
"consumer-controlplane",1786380575,"84400208"
"consumer-controlplane",1786380580,"91213944"
"consumer-controlplane",1786380585,"107447504"
"consumer-controlplane",1786380590,"111045144"
"consumer-controlplane",1786380595,"114393800"
"consumer-controlplane",1786380600,"118050776"
"consumer-controlplane",1786380605,"121445368"
"consumer-controlplane",1786380610,"125041304"
"consumer-controlplane",1786380615,"128568208"
"consumer-controlplane",1786380620,"132000072"
"consumer-controlplane",1786380625,"135362328"
"consumer-controlplane",1786380630,"139126248"
"consumer-controlplane",1786380635,"142587584"
"consumer-controlplane",1786380640,"146138840"
"consumer-controlplane",1786380645,"149500984"
"consumer-controlplane",1786380650,"153057056"
"consumer-dataplane",1786380570,"57990024"
"consumer-dataplane",1786380575,"60047488"
"consumer-dataplane",1786380580,"60567128"
"consumer-dataplane",1786380585,"60692304"
"consumer-dataplane",1786380590,"62659552"
"consumer-dataplane",1786380595,"63293184"
"consumer-dataplane",1786380600,"63355144"
"consumer-dataplane",1786380605,"65398208"
"consumer-dataplane",1786380610,"65414624"
"consumer-dataplane",1786380615,"65905192"
"consumer-dataplane",1786380620,"68008248"
"consumer-dataplane",1786380625,"68067600"
"consumer-dataplane",1786380630,"68574448"
"consumer-dataplane",1786380635,"70607656"
"consumer-dataplane",1786380640,"70675192"
"consumer-dataplane",1786380645,"70737152"
"consumer-dataplane",1786380650,"73211264"
"provider-controlplane",1786380570,"140326128"
"provider-controlplane",1786380575,"157021816"
"provider-controlplane",1786380580,"178240216"
"provider-controlplane",1786380585,"188850112"
"provider-controlplane",1786380590,"56890576"
"provider-controlplane",1786380595,"67391320"
"provider-controlplane",1786380600,"78912016"
"provider-controlplane",1786380605,"89062640"
"provider-controlplane",1786380610,"101023624"
"provider-controlplane",1786380615,"111527616"
"provider-controlplane",1786380620,"122365880"
"provider-controlplane",1786380625,"133310008"
"provider-controlplane",1786380630,"143398776"
"provider-controlplane",1786380635,"154973880"
"provider-controlplane",1786380640,"164941896"
"provider-controlplane",1786380645,"175798392"
"provider-controlplane",1786380650,"186803936"
"provider-dataplane",1786380570,"163671872"
"provider-dataplane",1786380575,"54050200"
"provider-dataplane",1786380580,"85647472"
"provider-dataplane",1786380585,"57404392"
"provider-dataplane",1786380590,"67997712"
"provider-dataplane",1786380595,"77729280"
"provider-dataplane",1786380600,"88418504"
"provider-dataplane",1786380605,"100293024"
"provider-dataplane",1786380610,"113774624"
"provider-dataplane",1786380615,"123711384"
"provider-dataplane",1786380620,"135734504"
"provider-dataplane",1786380625,"148402056"
"provider-dataplane",1786380630,"158724912"
"provider-dataplane",1786380635,"169597096"
"provider-dataplane",1786380640,"179699728"
"provider-dataplane",1786380645,"114050104"
"provider-dataplane",1786380650,"146676224"
