series,timestamp,value
"consumer-controlplane",1786378921,"85827192"
"consumer-controlplane",1786378926,"89601264"
"consumer-controlplane",1786378931,"97315544"
"consumer-controlplane",1786378936,"156839128"
"consumer-controlplane",1786378941,"97891376"
"consumer-controlplane",1786378946,"170881784"
"consumer-controlplane",1786378951,"123741208"
"consumer-controlplane",1786378956,"198453712"
"consumer-controlplane",1786378961,"136016944"
"consumer-controlplane",1786378966,"71962320"
"consumer-controlplane",1786378971,"149724736"
"consumer-controlplane",1786378976,"86205304"
"consumer-controlplane",1786378981,"165214048"
"consumer-controlplane",1786378986,"99030808"
"consumer-controlplane",1786378991,"173144600"
"consumer-controlplane",1786378996,"111419936"
"consumer-controlplane",1786379001,"178862496"
"consumer-controlplane",1786379006,"147747784"
"consumer-controlplane",1786379011,"82178696"
"consumer-controlplane",1786379016,"155630152"
"consumer-controlplane",1786379021,"91668688"
"consumer-controlplane",1786379026,"166123080"
"consumer-controlplane",1786379031,"106947408"
"consumer-controlplane",1786379036,"183425904"
"consumer-controlplane",1786379041,"126925096"
"consumer-controlplane",1786379046,"199101736"
"consumer-controlplane",1786379051,"130178256"
"consumer-controlplane",1786379056,"67559888"
"consumer-controlplane",1786379061,"149454936"
"consumer-controlplane",1786379066,"82187432"
"consumer-controlplane",1786379071,"164021624"
"consumer-controlplane",1786379076,"104359152"
"consumer-controlplane",1786379081,"176628240"
"consumer-controlplane",1786379086,"114254360"
"consumer-controlplane",1786379091,"195407176"
"consumer-controlplane",1786379096,"126737576"
"consumer-controlplane",1786379101,"203228344"
"consumer-controlplane",1786379106,"135157016"
"consumer-controlplane",1786379111,"68087000"
"consumer-controlplane",1786379116,"149388176"
"consumer-controlplane",1786379121,"88531840"
"consumer-controlplane",1786379126,"169044392"
"consumer-controlplane",1786379131,"111110400"
"consumer-controlplane",1786379136,"188091768"
"consumer-controlplane",1786379141,"126334856"
"consumer-controlplane",1786379146,"197586984"
"consumer-controlplane",1786379151,"133101264"
"consumer-controlplane",1786379156,"202888416"
"consumer-controlplane",1786379161,"142827936"
"consumer-controlplane",1786379166,"80194432"
"consumer-controlplane",1786379171,"160581944"
"consumer-controlplane",1786379176,"101487992"
"consumer-controlplane",1786379181,"182127960"
"consumer-controlplane",1786379186,"118654600"
"consumer-controlplane",1786379191,"201012848"
"consumer-controlplane",1786379196,"133414536"
"consumer-controlplane",1786379201,"69610088"
"consumer-controlplane",1786379206,"138409608"
"consumer-controlplane",1786379211,"73401008"
"consumer-controlplane",1786379216,"153663720"
"consumer-controlplane",1786379221,"93964440"
"consumer-controlplane",1786379226,"171132056"
"consumer-controlplane",1786379231,"98781960"
"consumer-controlplane",1786379236,"125132096"
"consumer-dataplane",1786378921,"60187144"
"consumer-dataplane",1786378926,"60384304"
"consumer-dataplane",1786378931,"60972784"
"consumer-dataplane",1786378936,"62685976"
"consumer-dataplane",1786378941,"62747272"
"consumer-dataplane",1786378946,"64396152"
"consumer-dataplane",1786378951,"64983728"
"consumer-dataplane",1786378956,"64983728"
"consumer-dataplane",1786378961,"66696984"
"consumer-dataplane",1786378966,"66800856"
"consumer-dataplane",1786378971,"69019240"
"consumer-dataplane",1786378976,"69090776"
"consumer-dataplane",1786378981,"69090776"
"consumer-dataplane",1786378986,"71272104"
"consumer-dataplane",1786378991,"71328208"
"consumer-dataplane",1786378996,"73048632"
"consumer-dataplane",1786379001,"73174176"
"consumer-dataplane",1786379006,"73690208"
"consumer-dataplane",1786379011,"75339120"
"consumer-dataplane",1786379016,"75339120"
"consumer-dataplane",1786379021,"77185224"
"consumer-dataplane",1786379026,"77926488"
"consumer-dataplane",1786379031,"78043840"
"consumer-dataplane",1786379036,"79692720"
"consumer-dataplane",1786379041,"79692720"
"consumer-dataplane",1786379046,"81921144"
"consumer-dataplane",1786379051,"81921144"
"consumer-dataplane",1786379056,"81985360"
"consumer-dataplane",1786379061,"83711952"
"consumer-dataplane",1786379066,"84355672"
"consumer-dataplane",1786379071,"86004560"
"consumer-dataplane",1786379076,"86004560"
"consumer-dataplane",1786379081,"88169472"
"consumer-dataplane",1786379086,"88269680"
"consumer-dataplane",1786379091,"88402528"
"consumer-dataplane",1786379096,"90107464"
"consumer-dataplane",1786379101,"90648088"
"consumer-dataplane",1786379106,"92296976"
"consumer-dataplane",1786379111,"92368576"
"consumer-dataplane",1786379116,"92494208"
"consumer-dataplane",1786379121,"94792880"
"consumer-dataplane",1786379126,"94792880"
"consumer-dataplane",1786379131,"96506072"
"consumer-dataplane",1786379136,"96577616"
"consumer-dataplane",1786379141,"97093648"
"consumer-dataplane",1786379146,"98846560"
"consumer-dataplane",1786379151,"98907888"
"consumer-dataplane",1786379156,"100556768"
"consumer-dataplane",1786379161,"101136160"
"consumer-dataplane",1786379166,"101200408"
"consumer-dataplane",1786379171,"102849296"
"consumer-dataplane",1786379176,"102865696"
"consumer-dataplane",1786379181,"105219552"
"consumer-dataplane",1786379186,"105219552"
"consumer-dataplane",1786379191,"105219552"
"consumer-dataplane",1786379196,"107384464"
"consumer-dataplane",1786379201,"107448712"
"consumer-dataplane",1786379206,"109323032"
"consumer-dataplane",1786379211,"109509976"
"consumer-dataplane",1786379216,"110114816"
"consumer-dataplane",1786379221,"111763704"
"consumer-dataplane",1786379226,"111763704"
"consumer-dataplane",1786379231,"113484160"
"consumer-dataplane",1786379236,"114080840"
"provider-controlplane",1786378921,"128544320"
"provider-controlplane",1786378926,"139361584"
"provider-controlplane",1786378931,"153441552"
"provider-controlplane",1786378936,"75309528"
"provider-controlplane",1786378941,"150558640"
"provider-controlplane",1786378946,"91779552"
"provider-controlplane",1786378951,"174856376"
"provider-controlplane",1786378956,"116074496"
"provider-controlplane",1786378961,"194077872"
"provider-controlplane",1786378966,"132478592"
"provider-controlplane",1786378971,"57859784"
"provider-controlplane",1786378976,"145328952"
"provider-controlplane",1786378981,"84395160"
"provider-controlplane",1786378986,"165293328"
"provider-controlplane",1786378991,"98478080"
"provider-controlplane",1786378996,"180585136"
"provider-controlplane",1786379001,"93910376"
"provider-controlplane",1786379006,"61769296"
"provider-controlplane",1786379011,"140384920"
"provider-controlplane",1786379016,"70897184"
"provider-controlplane",1786379021,"154830400"
"provider-controlplane",1786379026,"86884128"
"provider-controlplane",1786379031,"167451400"
"provider-controlplane",1786379036,"107886136"
"provider-controlplane",1786379041,"190045928"
"provider-controlplane",1786379046,"129111800"
"provider-controlplane",1786379051,"61249328"
"provider-controlplane",1786379056,"141066808"
"provider-controlplane",1786379061,"79283600"
"provider-controlplane",1786379066,"161113688"
"provider-controlplane",1786379071,"97422816"
"provider-controlplane",1786379076,"176827136"
"provider-controlplane",1786379081,"112379928"
"provider-controlplane",1786379086,"192441608"
"provider-controlplane",1786379091,"133096752"
"provider-controlplane",1786379096,"68975312"
"provider-controlplane",1786379101,"161660024"
"provider-controlplane",1786379106,"98121840"
"provider-controlplane",1786379111,"170188336"
"provider-controlplane",1786379116,"109650016"
"provider-controlplane",1786379121,"189535312"
"provider-controlplane",1786379126,"126391112"
"provider-controlplane",1786379131,"67884680"
"provider-controlplane",1786379136,"145267728"
"provider-controlplane",1786379141,"82985936"
"provider-controlplane",1786379146,"163789752"
"provider-controlplane",1786379151,"97751640"
"provider-controlplane",1786379156,"178193256"
"provider-controlplane",1786379161,"115603584"
"provider-controlplane",1786379166,"53423984"
"provider-controlplane",1786379171,"138576160"
"provider-controlplane",1786379176,"75550208"
"provider-controlplane",1786379181,"151230120"
"provider-controlplane",1786379186,"93790544"
"provider-controlplane",1786379191,"179594992"
"provider-controlplane",1786379196,"115511520"
"provider-controlplane",1786379201,"195456688"
"provider-controlplane",1786379206,"126302680"
"provider-controlplane",1786379211,"65371992"
"provider-controlplane",1786379216,"144025520"
"provider-controlplane",1786379221,"80278784"
"provider-controlplane",1786379226,"161319544"
"provider-controlplane",1786379231,"99296488"
"provider-controlplane",1786379236,"132872376"
"provider-dataplane",1786378921,"146124136"
"provider-dataplane",1786378926,"178203112"
"provider-dataplane",1786378931,"67372984"
"provider-dataplane",1786378936,"91602192"
"provider-dataplane",1786378941,"119246056"
"provider-dataplane",1786378946,"149598272"
"provider-dataplane",1786378951,"177683952"
"provider-dataplane",1786378956,"66245176"
"provider-dataplane",1786378961,"96324096"
"provider-dataplane",1786378966,"125458856"
"provider-dataplane",1786378971,"153774480"
"provider-dataplane",1786378976,"183907656"
"provider-dataplane",1786378981,"69335600"
"provider-dataplane",1786378986,"100838656"
"provider-dataplane",1786378991,"127461544"
"provider-dataplane",1786378996,"150181096"
"provider-dataplane",1786379001,"164469552"
"provider-dataplane",1786379006,"55492472"
"provider-dataplane",1786379011,"84747544"
"provider-dataplane",1786379016,"113987216"
"provider-dataplane",1786379021,"143291368"
"provider-dataplane",1786379026,"171126384"
"provider-dataplane",1786379031,"57427520"
"provider-dataplane",1786379036,"87883184"
"provider-dataplane",1786379041,"117254320"
"provider-dataplane",1786379046,"147617952"
"provider-dataplane",1786379051,"176782080"
"provider-dataplane",1786379056,"65348536"
"provider-dataplane",1786379061,"94214632"
"provider-dataplane",1786379066,"126672408"
"provider-dataplane",1786379071,"155350112"
"provider-dataplane",1786379076,"183986352"
"provider-dataplane",1786379081,"71484360"
"provider-dataplane",1786379086,"100488480"
"provider-dataplane",1786379091,"131141624"
"provider-dataplane",1786379096,"160495880"
"provider-dataplane",1786379101,"44463360"
"provider-dataplane",1786379106,"74624536"
"provider-dataplane",1786379111,"106017648"
"provider-dataplane",1786379116,"133407152"
"provider-dataplane",1786379121,"163097664"
"provider-dataplane",1786379126,"52327800"
"provider-dataplane",1786379131,"81803408"
"provider-dataplane",1786379136,"113790472"
"provider-dataplane",1786379141,"142872056"
"provider-dataplane",1786379146,"173895272"
"provider-dataplane",1786379151,"57494976"
"provider-dataplane",1786379156,"91025248"
"provider-dataplane",1786379161,"119438104"
"provider-dataplane",1786379166,"148609960"
"provider-dataplane",1786379171,"181455000"
"provider-dataplane",1786379176,"68136216"
"provider-dataplane",1786379181,"98238952"
"provider-dataplane",1786379186,"125843640"
"provider-dataplane",1786379191,"157039752"
"provider-dataplane",1786379196,"47193720"
"provider-dataplane",1786379201,"74150696"
"provider-dataplane",1786379206,"106249544"
"provider-dataplane",1786379211,"135013224"
"provider-dataplane",1786379216,"164687008"
"provider-dataplane",1786379221,"52036688"
"provider-dataplane",1786379226,"80279696"
"provider-dataplane",1786379231,"110663176"
"provider-dataplane",1786379236,"143782520"
