series,timestamp,value
"consumer-controlplane",1786379327,"123"
"consumer-controlplane",1786379332,"123"
"consumer-controlplane",1786379337,"123"
"consumer-controlplane",1786379342,"123"
"consumer-controlplane",1786379347,"123"
"consumer-controlplane",1786379352,"123"
"consumer-controlplane",1786379357,"123"
"consumer-controlplane",1786379362,"122"
"consumer-controlplane",1786379367,"122"
"consumer-controlplane",1786379372,"122"
"consumer-controlplane",1786379377,"122"
"consumer-controlplane",1786379382,"122"
"consumer-controlplane",1786379387,"122"
"consumer-controlplane",1786379392,"122"
"consumer-controlplane",1786379397,"122"
"consumer-controlplane",1786379402,"122"
"consumer-controlplane",1786379407,"122"
"consumer-controlplane",1786379412,"122"
"consumer-controlplane",1786379417,"122"
"consumer-controlplane",1786379422,"122"
"consumer-controlplane",1786379427,"122"
"consumer-controlplane",1786379432,"123"
"consumer-controlplane",1786379437,"122"
"consumer-controlplane",1786379442,"122"
"consumer-controlplane",1786379447,"122"
"consumer-controlplane",1786379452,"122"
"consumer-controlplane",1786379457,"122"
"consumer-controlplane",1786379462,"122"
"consumer-controlplane",1786379467,"122"
"consumer-controlplane",1786379472,"122"
"consumer-controlplane",1786379477,"122"
"consumer-controlplane",1786379482,"122"
"consumer-controlplane",1786379487,"122"
"consumer-controlplane",1786379492,"122"
"consumer-controlplane",1786379497,"121"
"consumer-controlplane",1786379502,"121"
"consumer-controlplane",1786379507,"121"
"consumer-controlplane",1786379512,"121"
"consumer-controlplane",1786379517,"121"
"consumer-controlplane",1786379522,"121"
"consumer-controlplane",1786379527,"121"
"consumer-controlplane",1786379532,"121"
"consumer-controlplane",1786379537,"121"
"consumer-controlplane",1786379542,"121"
"consumer-controlplane",1786379547,"122"
"consumer-controlplane",1786379552,"122"
"consumer-controlplane",1786379557,"122"
"consumer-controlplane",1786379562,"121"
"consumer-controlplane",1786379567,"121"
"consumer-controlplane",1786379572,"121"
"consumer-controlplane",1786379577,"121"
"consumer-controlplane",1786379582,"121"
"consumer-controlplane",1786379587,"121"
"consumer-controlplane",1786379592,"121"
"consumer-controlplane",1786379597,"121"
"consumer-controlplane",1786379602,"121"
"consumer-controlplane",1786379607,"121"
"consumer-controlplane",1786379612,"120"
"consumer-controlplane",1786379617,"120"
"consumer-controlplane",1786379622,"119"
"consumer-controlplane",1786379627,"119"
"consumer-controlplane",1786379632,"120"
"consumer-controlplane",1786379637,"120"
"consumer-controlplane",1786379642,"119"
"consumer-controlplane",1786379647,"131"
"consumer-dataplane",1786379327,"77"
"consumer-dataplane",1786379332,"77"
"consumer-dataplane",1786379337,"77"
"consumer-dataplane",1786379342,"78"
"consumer-dataplane",1786379347,"78"
"consumer-dataplane",1786379352,"78"
"consumer-dataplane",1786379357,"78"
"consumer-dataplane",1786379362,"78"
"consumer-dataplane",1786379367,"78"
"consumer-dataplane",1786379372,"78"
"consumer-dataplane",1786379377,"78"
"consumer-dataplane",1786379382,"78"
"consumer-dataplane",1786379387,"78"
"consumer-dataplane",1786379392,"78"
"consumer-dataplane",1786379397,"78"
"consumer-dataplane",1786379402,"78"
"consumer-dataplane",1786379407,"78"
"consumer-dataplane",1786379412,"78"
"consumer-dataplane",1786379417,"78"
"consumer-dataplane",1786379422,"78"
"consumer-dataplane",1786379427,"78"
"consumer-dataplane",1786379432,"78"
"consumer-dataplane",1786379437,"78"
"consumer-dataplane",1786379442,"78"
"consumer-dataplane",1786379447,"78"
"consumer-dataplane",1786379452,"78"
"consumer-dataplane",1786379457,"78"
"consumer-dataplane",1786379462,"78"
"consumer-dataplane",1786379467,"78"
"consumer-dataplane",1786379472,"78"
"consumer-dataplane",1786379477,"78"
"consumer-dataplane",1786379482,"78"
"consumer-dataplane",1786379487,"78"
"consumer-dataplane",1786379492,"78"
"consumer-dataplane",1786379497,"78"
"consumer-dataplane",1786379502,"78"
"consumer-dataplane",1786379507,"78"
"consumer-dataplane",1786379512,"78"
"consumer-dataplane",1786379517,"78"
"consumer-dataplane",1786379522,"78"
"consumer-dataplane",1786379527,"78"
"consumer-dataplane",1786379532,"78"
"consumer-dataplane",1786379537,"78"
"consumer-dataplane",1786379542,"78"
"consumer-dataplane",1786379547,"78"
"consumer-dataplane",1786379552,"78"
"consumer-dataplane",1786379557,"78"
"consumer-dataplane",1786379562,"78"
"consumer-dataplane",1786379567,"78"
"consumer-dataplane",1786379572,"78"
"consumer-dataplane",1786379577,"78"
"consumer-dataplane",1786379582,"78"
"consumer-dataplane",1786379587,"78"
"consumer-dataplane",1786379592,"78"
"consumer-dataplane",1786379597,"78"
"consumer-dataplane",1786379602,"78"
"consumer-dataplane",1786379607,"78"
"consumer-dataplane",1786379612,"78"
"consumer-dataplane",1786379617,"78"
"consumer-dataplane",1786379622,"78"
"consumer-dataplane",1786379627,"78"
"consumer-dataplane",1786379632,"78"
"consumer-dataplane",1786379637,"78"
"consumer-dataplane",1786379642,"78"
"consumer-dataplane",1786379647,"78"
"provider-controlplane",1786379327,"108"
"provider-controlplane",1786379332,"108"
"provider-controlplane",1786379337,"108"
"provider-controlplane",1786379342,"108"
"provider-controlplane",1786379347,"108"
"provider-controlplane",1786379352,"108"
"provider-controlplane",1786379357,"108"
"provider-controlplane",1786379362,"107"
"provider-controlplane",1786379367,"107"
"provider-controlplane",1786379372,"107"
"provider-controlplane",1786379377,"107"
"provider-controlplane",1786379382,"107"
"provider-controlplane",1786379387,"108"
"provider-controlplane",1786379392,"108"
"provider-controlplane",1786379397,"108"
"provider-controlplane",1786379402,"108"
"provider-controlplane",1786379407,"108"
"provider-controlplane",1786379412,"108"
"provider-controlplane",1786379417,"108"
"provider-controlplane",1786379422,"108"
"provider-controlplane",1786379427,"108"
"provider-controlplane",1786379432,"108"
"provider-controlplane",1786379437,"109"
"provider-controlplane",1786379442,"109"
"provider-controlplane",1786379447,"108"
"provider-controlplane",1786379452,"108"
"provider-controlplane",1786379457,"108"
"provider-controlplane",1786379462,"108"
"provider-controlplane",1786379467,"108"
"provider-controlplane",1786379472,"108"
"provider-controlplane",1786379477,"108"
"provider-controlplane",1786379482,"108"
"provider-controlplane",1786379487,"108"
"provider-controlplane",1786379492,"108"
"provider-controlplane",1786379497,"108"
"provider-controlplane",1786379502,"108"
"provider-controlplane",1786379507,"108"
"provider-controlplane",1786379512,"109"
"provider-controlplane",1786379517,"109"
"provider-controlplane",1786379522,"109"
"provider-controlplane",1786379527,"109"
"provider-controlplane",1786379532,"109"
"provider-controlplane",1786379537,"108"
"provider-controlplane",1786379542,"109"
"provider-controlplane",1786379547,"109"
"provider-controlplane",1786379552,"109"
"provider-controlplane",1786379557,"109"
"provider-controlplane",1786379562,"109"
"provider-controlplane",1786379567,"109"
"provider-controlplane",1786379572,"109"
"provider-controlplane",1786379577,"109"
"provider-controlplane",1786379582,"109"
"provider-controlplane",1786379587,"109"
"provider-controlplane",1786379592,"109"
"provider-controlplane",1786379597,"109"
"provider-controlplane",1786379602,"107"
"provider-controlplane",1786379607,"107"
"provider-controlplane",1786379612,"106"
"provider-controlplane",1786379617,"107"
"provider-controlplane",1786379622,"107"
"provider-controlplane",1786379627,"107"
"provider-controlplane",1786379632,"108"
"provider-controlplane",1786379637,"108"
"provider-controlplane",1786379642,"109"
"provider-controlplane",1786379647,"109"
"provider-dataplane",1786379327,"122"
"provider-dataplane",1786379332,"122"
"provider-dataplane",1786379337,"122"
"provider-dataplane",1786379342,"122"
"provider-dataplane",1786379347,"122"
"provider-dataplane",1786379352,"122"
"provider-dataplane",1786379357,"122"
"provider-dataplane",1786379362,"122"
"provider-dataplane",1786379367,"122"
"provider-dataplane",1786379372,"122"
"provider-dataplane",1786379377,"122"
"provider-dataplane",1786379382,"122"
"provider-dataplane",1786379387,"122"
"provider-dataplane",1786379392,"122"
"provider-dataplane",1786379397,"122"
"provider-dataplane",1786379402,"122"
"provider-dataplane",1786379407,"122"
"provider-dataplane",1786379412,"121"
"provider-dataplane",1786379417,"121"
"provider-dataplane",1786379422,"121"
"provider-dataplane",1786379427,"121"
"provider-dataplane",1786379432,"121"
"provider-dataplane",1786379437,"120"
"provider-dataplane",1786379442,"120"
"provider-dataplane",1786379447,"120"
"provider-dataplane",1786379452,"120"
"provider-dataplane",1786379457,"121"
"provider-dataplane",1786379462,"121"
"provider-dataplane",1786379467,"121"
"provider-dataplane",1786379472,"121"
"provider-dataplane",1786379477,"121"
"provider-dataplane",1786379482,"121"
"provider-dataplane",1786379487,"121"
"provider-dataplane",1786379492,"121"
"provider-dataplane",1786379497,"120"
"provider-dataplane",1786379502,"120"
"provider-dataplane",1786379507,"120"
"provider-dataplane",1786379512,"120"
"provider-dataplane",1786379517,"120"
"provider-dataplane",1786379522,"120"
"provider-dataplane",1786379527,"120"
"provider-dataplane",1786379532,"119"
"provider-dataplane",1786379537,"119"
"provider-dataplane",1786379542,"119"
"provider-dataplane",1786379547,"119"
"provider-dataplane",1786379552,"119"
"provider-dataplane",1786379557,"120"
"provider-dataplane",1786379562,"119"
"provider-dataplane",1786379567,"119"
"provider-dataplane",1786379572,"119"
"provider-dataplane",1786379577,"119"
"provider-dataplane",1786379582,"119"
"provider-dataplane",1786379587,"119"
"provider-dataplane",1786379592,"119"
"provider-dataplane",1786379597,"119"
