series,timestamp,value
"consumer-controlplane",1786365260,"203"
"consumer-controlplane",1786365265,"203"
"consumer-controlplane",1786365270,"203"
"consumer-controlplane",1786365275,"203"
"consumer-controlplane",1786365280,"202"
"consumer-controlplane",1786365285,"202"
"consumer-controlplane",1786365290,"202"
"consumer-controlplane",1786365295,"202"
"consumer-controlplane",1786365300,"199"
"consumer-controlplane",1786365305,"196"
"consumer-controlplane",1786365310,"196"
"consumer-controlplane",1786365315,"196"
"consumer-controlplane",1786365320,"197"
"consumer-controlplane",1786365325,"197"
"consumer-controlplane",1786365330,"197"
"consumer-controlplane",1786365335,"197"
"consumer-controlplane",1786365340,"197"
"consumer-controlplane",1786365345,"197"
"consumer-controlplane",1786365350,"196"
"consumer-controlplane",1786365355,"196"
"consumer-controlplane",1786365360,"196"
"consumer-controlplane",1786365365,"195"
"consumer-controlplane",1786365370,"195"
"consumer-controlplane",1786365375,"195"
"consumer-controlplane",1786365380,"195"
"consumer-controlplane",1786365385,"195"
"consumer-controlplane",1786365390,"196"
"consumer-controlplane",1786365395,"196"
"consumer-controlplane",1786365400,"195"
"consumer-controlplane",1786365405,"195"
"consumer-controlplane",1786365410,"196"
"consumer-controlplane",1786365415,"196"
"consumer-controlplane",1786365420,"197"
"consumer-controlplane",1786365425,"196"
"consumer-controlplane",1786365430,"196"
"consumer-controlplane",1786365435,"196"
"consumer-controlplane",1786365440,"196"
"consumer-controlplane",1786365445,"198"
"consumer-controlplane",1786365450,"198"
"consumer-controlplane",1786365455,"198"
"consumer-controlplane",1786365460,"198"
"consumer-controlplane",1786365465,"198"
"consumer-controlplane",1786365470,"199"
"consumer-controlplane",1786365475,"199"
"consumer-controlplane",1786365480,"199"
"consumer-controlplane",1786365485,"198"
"consumer-controlplane",1786365490,"198"
"consumer-controlplane",1786365495,"198"
"consumer-controlplane",1786365500,"198"
"consumer-controlplane",1786365505,"197"
"consumer-controlplane",1786365510,"197"
"consumer-controlplane",1786365515,"197"
"consumer-controlplane",1786365520,"197"
"consumer-controlplane",1786365525,"197"
"consumer-controlplane",1786365530,"197"
"consumer-controlplane",1786365535,"197"
"consumer-controlplane",1786365540,"197"
"consumer-controlplane",1786365545,"199"
"consumer-controlplane",1786365550,"199"
"consumer-controlplane",1786365555,"199"
"consumer-controlplane",1786365560,"199"
"consumer-controlplane",1786365565,"199"
"consumer-controlplane",1786365570,"199"
"consumer-controlplane",1786365575,"199"
"consumer-controlplane",1786365580,"199"
"consumer-controlplane",1786365585,"199"
"consumer-controlplane",1786365590,"199"
"consumer-controlplane",1786365595,"199"
"consumer-controlplane",1786365600,"203"
"consumer-controlplane",1786365605,"201"
"consumer-controlplane",1786365610,"202"
"consumer-controlplane",1786365615,"202"
"consumer-controlplane",1786365620,"202"
"consumer-controlplane",1786365625,"203"
"consumer-controlplane",1786365630,"204"
"consumer-controlplane",1786365635,"204"
"consumer-controlplane",1786365640,"204"
"consumer-controlplane",1786365645,"204"
"consumer-controlplane",1786365650,"204"
"consumer-controlplane",1786365655,"204"
"consumer-controlplane",1786365660,"204"
"consumer-controlplane",1786365665,"203"
"consumer-controlplane",1786365670,"203"
"consumer-controlplane",1786365675,"203"
"consumer-controlplane",1786365680,"203"
"consumer-controlplane",1786365685,"202"
"consumer-controlplane",1786365690,"200"
"consumer-controlplane",1786365695,"201"
"consumer-controlplane",1786365700,"197"
"consumer-controlplane",1786365705,"197"
"consumer-controlplane",1786365710,"197"
"consumer-controlplane",1786365715,"197"
"consumer-controlplane",1786365720,"197"
"consumer-controlplane",1786365725,"196"
"consumer-controlplane",1786365730,"198"
"consumer-controlplane",1786365735,"198"
"consumer-controlplane",1786365740,"198"
"consumer-controlplane",1786365745,"198"
"consumer-controlplane",1786365750,"198"
"consumer-controlplane",1786365755,"198"
"consumer-controlplane",1786365760,"198"
"consumer-controlplane",1786365765,"198"
"consumer-controlplane",1786365770,"198"
"consumer-controlplane",1786365775,"197"
"consumer-controlplane",1786365780,"197"
"consumer-controlplane",1786365785,"197"
"consumer-controlplane",1786365790,"198"
"consumer-dataplane",1786365260,"78"
"consumer-dataplane",1786365265,"77"
"consumer-dataplane",1786365270,"77"
"consumer-dataplane",1786365275,"78"
"consumer-dataplane",1786365280,"78"
"consumer-dataplane",1786365285,"78"
"consumer-dataplane",1786365290,"78"
"consumer-dataplane",1786365295,"78"
"consumer-dataplane",1786365300,"78"
"consumer-dataplane",1786365305,"78"
"consumer-dataplane",1786365310,"78"
"consumer-dataplane",1786365315,"78"
"consumer-dataplane",1786365320,"78"
"consumer-dataplane",1786365325,"78"
"consumer-dataplane",1786365330,"78"
"consumer-dataplane",1786365335,"78"
"consumer-dataplane",1786365340,"78"
"consumer-dataplane",1786365345,"78"
"consumer-dataplane",1786365350,"78"
"consumer-dataplane",1786365355,"78"
"consumer-dataplane",1786365360,"78"
"consumer-dataplane",1786365365,"78"
"consumer-dataplane",1786365370,"78"
"consumer-dataplane",1786365375,"78"
"consumer-dataplane",1786365380,"78"
"consumer-dataplane",1786365385,"78"
"consumer-dataplane",1786365390,"78"
"consumer-dataplane",1786365395,"78"
"consumer-dataplane",1786365400,"78"
"consumer-dataplane",1786365405,"78"
"consumer-dataplane",1786365410,"78"
"consumer-dataplane",1786365415,"78"
"consumer-dataplane",1786365420,"78"
"consumer-dataplane",1786365425,"78"
"consumer-dataplane",1786365430,"78"
"consumer-dataplane",1786365435,"78"
"consumer-dataplane",1786365440,"78"
"consumer-dataplane",1786365445,"78"
"consumer-dataplane",1786365450,"78"
"consumer-dataplane",1786365455,"78"
"consumer-dataplane",1786365460,"78"
"consumer-dataplane",1786365465,"78"
"consumer-dataplane",1786365470,"78"
"consumer-dataplane",1786365475,"78"
"consumer-dataplane",1786365480,"78"
"consumer-dataplane",1786365485,"78"
"consumer-dataplane",1786365490,"78"
"consumer-dataplane",1786365495,"78"
"consumer-dataplane",1786365500,"78"
"consumer-dataplane",1786365505,"78"
"consumer-dataplane",1786365510,"78"
"consumer-dataplane",1786365515,"78"
"consumer-dataplane",1786365520,"78"
"consumer-dataplane",1786365525,"78"
"consumer-dataplane",1786365530,"78"
"consumer-dataplane",1786365535,"78"
"consumer-dataplane",1786365540,"78"
"consumer-dataplane",1786365545,"78"
"consumer-dataplane",1786365550,"78"
"consumer-dataplane",1786365555,"78"
"consumer-dataplane",1786365560,"78"
"consumer-dataplane",1786365565,"78"
"consumer-dataplane",1786365570,"78"
"consumer-dataplane",1786365575,"78"
"consumer-dataplane",1786365580,"78"
"consumer-dataplane",1786365585,"78"
"consumer-dataplane",1786365590,"78"
"consumer-dataplane",1786365595,"78"
"consumer-dataplane",1786365600,"78"
"consumer-dataplane",1786365605,"78"
"consumer-dataplane",1786365610,"78"
"consumer-dataplane",1786365615,"78"
"consumer-dataplane",1786365620,"78"
"consumer-dataplane",1786365625,"78"
"consumer-dataplane",1786365630,"78"
"consumer-dataplane",1786365635,"78"
"consumer-dataplane",1786365640,"78"
"consumer-dataplane",1786365645,"78"
"consumer-dataplane",1786365650,"78"
"consumer-dataplane",1786365655,"78"
"consumer-dataplane",1786365660,"78"
"consumer-dataplane",1786365665,"78"
"consumer-dataplane",1786365670,"78"
"consumer-dataplane",1786365675,"78"
"consumer-dataplane",1786365680,"78"
"consumer-dataplane",1786365685,"78"
"consumer-dataplane",1786365690,"78"
"consumer-dataplane",1786365695,"78"
"consumer-dataplane",1786365700,"78"
"consumer-dataplane",1786365705,"78"
"consumer-dataplane",1786365710,"78"
"consumer-dataplane",1786365715,"78"
"consumer-dataplane",1786365720,"78"
"consumer-dataplane",1786365725,"78"
"consumer-dataplane",1786365730,"78"
"consumer-dataplane",1786365735,"78"
"consumer-dataplane",1786365740,"78"
"consumer-dataplane",1786365745,"78"
"consumer-dataplane",1786365750,"78"
"consumer-dataplane",1786365755,"78"
"consumer-dataplane",1786365760,"78"
"consumer-dataplane",1786365765,"78"
"consumer-dataplane",1786365770,"78"
"consumer-dataplane",1786365775,"78"
"consumer-dataplane",1786365780,"78"
"consumer-dataplane",1786365785,"78"
"consumer-dataplane",1786365790,"78"
"provider-controlplane",1786365260,"122"
"provider-controlplane",1786365265,"122"
"provider-controlplane",1786365270,"121"
"provider-controlplane",1786365275,"119"
"provider-controlplane",1786365280,"119"
"provider-controlplane",1786365285,"119"
"provider-controlplane",1786365290,"118"
"provider-controlplane",1786365295,"115"
"provider-controlplane",1786365300,"115"
"provider-controlplane",1786365305,"115"
"provider-controlplane",1786365310,"115"
"provider-controlplane",1786365315,"115"
"provider-controlplane",1786365320,"114"
"provider-controlplane",1786365325,"114"
"provider-controlplane",1786365330,"114"
"provider-controlplane",1786365335,"114"
"provider-controlplane",1786365340,"114"
"provider-controlplane",1786365345,"114"
"provider-controlplane",1786365350,"113"
"provider-controlplane",1786365355,"113"
"provider-controlplane",1786365360,"113"
"provider-controlplane",1786365365,"113"
"provider-controlplane",1786365370,"113"
"provider-controlplane",1786365375,"113"
"provider-controlplane",1786365380,"112"
"provider-controlplane",1786365385,"114"
"provider-controlplane",1786365390,"114"
"provider-controlplane",1786365395,"114"
"provider-controlplane",1786365400,"115"
"provider-controlplane",1786365405,"115"
"provider-controlplane",1786365410,"115"
"provider-controlplane",1786365415,"116"
"provider-controlplane",1786365420,"117"
"provider-controlplane",1786365425,"117"
"provider-controlplane",1786365430,"117"
"provider-controlplane",1786365435,"119"
"provider-controlplane",1786365440,"119"
"provider-controlplane",1786365445,"119"
"provider-controlplane",1786365450,"120"
"provider-controlplane",1786365455,"121"
"provider-controlplane",1786365460,"121"
"provider-controlplane",1786365465,"121"
"provider-controlplane",1786365470,"121"
"provider-controlplane",1786365475,"120"
"provider-controlplane",1786365480,"120"
"provider-controlplane",1786365485,"120"
"provider-controlplane",1786365490,"121"
"provider-controlplane",1786365495,"121"
"provider-controlplane",1786365500,"122"
"provider-controlplane",1786365505,"122"
"provider-controlplane",1786365510,"122"
"provider-controlplane",1786365515,"122"
"provider-controlplane",1786365520,"122"
"provider-controlplane",1786365525,"122"
"provider-controlplane",1786365530,"122"
"provider-controlplane",1786365535,"122"
"provider-controlplane",1786365540,"122"
"provider-controlplane",1786365545,"122"
"provider-controlplane",1786365550,"122"
"provider-controlplane",1786365555,"122"
"provider-controlplane",1786365560,"122"
"provider-controlplane",1786365565,"122"
"provider-controlplane",1786365570,"122"
"provider-controlplane",1786365575,"122"
"provider-controlplane",1786365580,"122"
"provider-controlplane",1786365585,"121"
"provider-controlplane",1786365590,"121"
"provider-controlplane",1786365595,"121"
"provider-controlplane",1786365600,"121"
"provider-controlplane",1786365605,"120"
"provider-controlplane",1786365610,"120"
"provider-controlplane",1786365615,"121"
"provider-controlplane",1786365620,"120"
"provider-controlplane",1786365625,"120"
"provider-controlplane",1786365630,"120"
"provider-controlplane",1786365635,"120"
"provider-controlplane",1786365640,"120"
"provider-controlplane",1786365645,"120"
"provider-controlplane",1786365650,"120"
"provider-controlplane",1786365655,"120"
"provider-controlplane",1786365660,"120"
"provider-controlplane",1786365665,"120"
"provider-controlplane",1786365670,"120"
"provider-controlplane",1786365675,"120"
"provider-controlplane",1786365680,"120"
"provider-controlplane",1786365685,"118"
"provider-controlplane",1786365690,"118"
"provider-controlplane",1786365695,"118"
"provider-controlplane",1786365700,"118"
"provider-controlplane",1786365705,"118"
"provider-controlplane",1786365710,"118"
"provider-controlplane",1786365715,"118"
"provider-controlplane",1786365720,"118"
"provider-controlplane",1786365725,"118"
"provider-controlplane",1786365730,"118"
"provider-controlplane",1786365735,"117"
"provider-controlplane",1786365740,"117"
"provider-controlplane",1786365745,"116"
"provider-controlplane",1786365750,"116"
"provider-controlplane",1786365755,"117"
"provider-controlplane",1786365760,"117"
"provider-controlplane",1786365765,"117"
"provider-controlplane",1786365770,"117"
"provider-controlplane",1786365775,"117"
"provider-controlplane",1786365780,"118"
"provider-controlplane",1786365785,"118"
"provider-controlplane",1786365790,"118"
"provider-dataplane",1786365260,"139"
"provider-dataplane",1786365265,"139"
"provider-dataplane",1786365270,"138"
"provider-dataplane",1786365275,"138"
"provider-dataplane",1786365280,"138"
"provider-dataplane",1786365285,"138"
"provider-dataplane",1786365290,"138"
"provider-dataplane",1786365295,"138"
"provider-dataplane",1786365300,"138"
"provider-dataplane",1786365305,"137"
"provider-dataplane",1786365310,"137"
"provider-dataplane",1786365315,"137"
"provider-dataplane",1786365320,"137"
"provider-dataplane",1786365325,"137"
"provider-dataplane",1786365330,"137"
"provider-dataplane",1786365335,"137"
"provider-dataplane",1786365340,"137"
"provider-dataplane",1786365345,"137"
"provider-dataplane",1786365350,"138"
"provider-dataplane",1786365355,"138"
"provider-dataplane",1786365360,"138"
"provider-dataplane",1786365365,"138"
"provider-dataplane",1786365370,"137"
"provider-dataplane",1786365375,"137"
"provider-dataplane",1786365380,"137"
"provider-dataplane",1786365385,"137"
"provider-dataplane",1786365390,"137"
"provider-dataplane",1786365395,"137"
"provider-dataplane",1786365400,"137"
"provider-dataplane",1786365405,"137"
"provider-dataplane",1786365410,"136"
"provider-dataplane",1786365415,"136"
"provider-dataplane",1786365420,"136"
"provider-dataplane",1786365425,"136"
"provider-dataplane",1786365430,"135"
"provider-dataplane",1786365435,"135"
"provider-dataplane",1786365440,"135"
"provider-dataplane",1786365445,"135"
"provider-dataplane",1786365450,"135"
"provider-dataplane",1786365455,"135"
"provider-dataplane",1786365460,"135"
"provider-dataplane",1786365465,"135"
"provider-dataplane",1786365470,"135"
"provider-dataplane",1786365475,"135"
"provider-dataplane",1786365480,"135"
"provider-dataplane",1786365485,"135"
"provider-dataplane",1786365490,"134"
"provider-dataplane",1786365495,"134"
"provider-dataplane",1786365500,"134"
"provider-dataplane",1786365505,"134"
"provider-dataplane",1786365510,"134"
"provider-dataplane",1786365515,"134"
"provider-dataplane",1786365520,"134"
"provider-dataplane",1786365525,"134"
"provider-dataplane",1786365530,"134"
"provider-dataplane",1786365535,"134"
"provider-dataplane",1786365540,"134"
"provider-dataplane",1786365545,"134"
"provider-dataplane",1786365550,"133"
"provider-dataplane",1786365555,"133"
"provider-dataplane",1786365560,"133"
"provider-dataplane",1786365565,"133"
"provider-dataplane",1786365570,"133"
"provider-dataplane",1786365575,"133"
"provider-dataplane",1786365580,"133"
"provider-dataplane",1786365585,"133"
"provider-dataplane",1786365590,"134"
"provider-dataplane",1786365595,"134"
"provider-dataplane",1786365600,"134"
"provider-dataplane",1786365605,"134"
"provider-dataplane",1786365610,"133"
"provider-dataplane",1786365615,"133"
"provider-dataplane",1786365620,"133"
"provider-dataplane",1786365625,"133"
"provider-dataplane",1786365630,"133"
"provider-dataplane",1786365635,"133"
"provider-dataplane",1786365640,"133"
"provider-dataplane",1786365645,"133"
"provider-dataplane",1786365650,"132"
"provider-dataplane",1786365655,"132"
"provider-dataplane",1786365660,"132"
"provider-dataplane",1786365665,"132"
"provider-dataplane",1786365670,"131"
