series,timestamp,value
"consumer-controlplane",1786384831,"433214040"
"consumer-controlplane",1786384836,"436854880"
"consumer-controlplane",1786384841,"348851248"
"consumer-controlplane",1786384846,"446039464"
"consumer-controlplane",1786384851,"397398456"
"consumer-controlplane",1786384856,"368347016"
"consumer-controlplane",1786384861,"325510040"
"consumer-controlplane",1786384866,"420954968"
"consumer-controlplane",1786384871,"379318736"
"consumer-controlplane",1786384876,"335237248"
"consumer-controlplane",1786384881,"440494480"
"consumer-controlplane",1786384886,"406181576"
"consumer-controlplane",1786384891,"357842512"
"consumer-controlplane",1786384896,"456611616"
"consumer-controlplane",1786384901,"417906216"
"consumer-controlplane",1786384906,"374615984"
"consumer-controlplane",1786384911,"339914192"
"consumer-controlplane",1786384916,"437550712"
"consumer-controlplane",1786384921,"392364312"
"consumer-controlplane",1786384926,"350868552"
"consumer-controlplane",1786384931,"453973840"
"consumer-controlplane",1786384936,"429746768"
"consumer-controlplane",1786384941,"397207536"
"consumer-controlplane",1786384946,"379529704"
"consumer-controlplane",1786384951,"353616984"
"consumer-controlplane",1786384956,"349605496"
"consumer-controlplane",1786384961,"342831512"
"consumer-controlplane",1786384966,"337980664"
"consumer-controlplane",1786384971,"347822048"
"consumer-controlplane",1786384976,"355639856"
"consumer-controlplane",1786384981,"368498904"
"consumer-controlplane",1786384986,"391985896"
"consumer-controlplane",1786384991,"403924480"
"consumer-controlplane",1786384996,"330828760"
"consumer-controlplane",1786385001,"375940872"
"consumer-controlplane",1786385006,"419436016"
"consumer-controlplane",1786385011,"323687888"
"consumer-controlplane",1786385016,"397836728"
"consumer-controlplane",1786385021,"443958280"
"consumer-controlplane",1786385026,"368118528"
"consumer-controlplane",1786385031,"457337504"
"consumer-controlplane",1786385036,"402965432"
"consumer-controlplane",1786385041,"349464264"
"consumer-controlplane",1786385046,"335107696"
"consumer-controlplane",1786385051,"443492632"
"consumer-controlplane",1786385056,"393994816"
"consumer-controlplane",1786385061,"404889816"
"consumer-controlplane",1786385066,"384379576"
"consumer-controlplane",1786385071,"374198888"
"consumer-controlplane",1786385076,"370091320"
"consumer-controlplane",1786385081,"400759056"
"consumer-controlplane",1786385086,"382143424"
"consumer-controlplane",1786385091,"424750344"
"consumer-controlplane",1786385096,"477470032"
"consumer-controlplane",1786385101,"353795808"
"consumer-controlplane",1786385106,"390826384"
"consumer-controlplane",1786385111,"427203584"
"consumer-controlplane",1786385116,"410753640"
"consumer-controlplane",1786385121,"443990464"
"consumer-controlplane",1786385126,"396855656"
"consumer-controlplane",1786385131,"473188104"
"consumer-controlplane",1786385136,"444114104"
"consumer-controlplane",1786385141,"438752296"
"consumer-controlplane",1786385146,"457158080"
"consumer-controlplane",1786385151,"426204392"
"consumer-controlplane",1786385156,"443367312"
"consumer-controlplane",1786385161,"372268936"
"consumer-controlplane",1786385166,"475644208"
"consumer-controlplane",1786385171,"458336344"
"consumer-controlplane",1786385176,"431092488"
"consumer-controlplane",1786385181,"421214752"
"consumer-controlplane",1786385186,"461422376"
"consumer-controlplane",1786385191,"535910360"
"consumer-controlplane",1786385196,"570118912"
"consumer-controlplane",1786385201,"221330848"
"consumer-controlplane",1786385206,"163385024"
"consumer-controlplane",1786385211,"311563072"
"consumer-controlplane",1786385216,"330446360"
"consumer-controlplane",1786385221,"327225696"
"consumer-controlplane",1786385226,"337236536"
"consumer-controlplane",1786385231,"344889432"
"consumer-controlplane",1786385236,"473604464"
"consumer-controlplane",1786385241,"492263760"
"consumer-controlplane",1786385246,"483598912"
"consumer-controlplane",1786385251,"496768928"
"consumer-controlplane",1786385256,"625168664"
"consumer-controlplane",1786385261,"626574872"
"consumer-controlplane",1786385266,"225364896"
"consumer-controlplane",1786385271,"260450168"
"consumer-controlplane",1786385276,"263589776"
"consumer-controlplane",1786385281,"262474456"
"consumer-controlplane",1786385286,"391252320"
"consumer-controlplane",1786385291,"419324584"
"consumer-controlplane",1786385296,"415682920"
"consumer-controlplane",1786385301,"422797504"
"consumer-controlplane",1786385306,"463143984"
"consumer-controlplane",1786385311,"512166632"
"consumer-controlplane",1786385316,"508891536"
"consumer-controlplane",1786385321,"639514136"
"consumer-controlplane",1786385326,"194502552"
"consumer-controlplane",1786385331,"188620600"
"consumer-controlplane",1786385336,"202256664"
"consumer-controlplane",1786385341,"202256664"
"consumer-controlplane",1786385346,"289249072"
"consumer-controlplane",1786385351,"343670096"
"consumer-controlplane",1786385356,"298924224"
"consumer-controlplane",1786385361,"321760096"
"consumer-dataplane",1786384831,"81974056"
"consumer-dataplane",1786384836,"82136912"
"consumer-dataplane",1786384841,"82604232"
"consumer-dataplane",1786384846,"82638872"
"consumer-dataplane",1786384851,"84819552"
"consumer-dataplane",1786384856,"84914048"
"consumer-dataplane",1786384861,"85389576"
"consumer-dataplane",1786384866,"87718328"
"consumer-dataplane",1786384871,"87799480"
"consumer-dataplane",1786384876,"88317832"
"consumer-dataplane",1786384881,"90552160"
"consumer-dataplane",1786384886,"90552160"
"consumer-dataplane",1786384891,"90568576"
"consumer-dataplane",1786384896,"91237736"
"consumer-dataplane",1786384901,"93488384"
"consumer-dataplane",1786384906,"93566880"
"consumer-dataplane",1786384911,"94068840"
"consumer-dataplane",1786384916,"96278624"
"consumer-dataplane",1786384921,"96305760"
"consumer-dataplane",1786384926,"96848736"
"consumer-dataplane",1786384931,"99037624"
"consumer-dataplane",1786384936,"99088680"
"consumer-dataplane",1786384941,"99194312"
"consumer-dataplane",1786384946,"101868712"
"consumer-dataplane",1786384951,"101903352"
"consumer-dataplane",1786384956,"101954848"
"consumer-dataplane",1786384961,"102519328"
"consumer-dataplane",1786384966,"104810760"
"consumer-dataplane",1786384971,"104861816"
"consumer-dataplane",1786384976,"107658304"
"consumer-dataplane",1786384981,"107693016"
"consumer-dataplane",1786384986,"107693016"
"consumer-dataplane",1786384991,"110416640"
"consumer-dataplane",1786384996,"110460192"
"consumer-dataplane",1786385001,"110511272"
"consumer-dataplane",1786385006,"112832256"
"consumer-dataplane",1786385011,"113328808"
"consumer-dataplane",1786385016,"113390584"
"consumer-dataplane",1786385021,"113390584"
"consumer-dataplane",1786385026,"116130592"
"consumer-dataplane",1786385031,"116149664"
"consumer-dataplane",1786385036,"116227856"
"consumer-dataplane",1786385041,"118529800"
"consumer-dataplane",1786385046,"118980776"
"consumer-dataplane",1786385051,"119015416"
"consumer-dataplane",1786385056,"121217752"
"consumer-dataplane",1786385061,"121768880"
"consumer-dataplane",1786385066,"121820000"
"consumer-dataplane",1786385071,"121836416"
"consumer-dataplane",1786385076,"124329672"
"consumer-dataplane",1786385081,"124780696"
"consumer-dataplane",1786385086,"124815336"
"consumer-dataplane",1786385091,"127038832"
"consumer-dataplane",1786385096,"127566104"
"consumer-dataplane",1786385101,"127617224"
"consumer-dataplane",1786385106,"129911304"
"consumer-dataplane",1786385111,"130059824"
"consumer-dataplane",1786385116,"130537984"
"consumer-dataplane",1786385121,"132745096"
"consumer-dataplane",1786385126,"132796072"
"consumer-dataplane",1786385131,"133296208"
"consumer-dataplane",1786385136,"135595144"
"consumer-dataplane",1786385141,"135662528"
"consumer-dataplane",1786385146,"136208344"
"consumer-dataplane",1786385151,"136211000"
"consumer-dataplane",1786385156,"138445264"
"consumer-dataplane",1786385161,"138496232"
"consumer-dataplane",1786385166,"138979968"
"consumer-dataplane",1786385171,"141203488"
"consumer-dataplane",1786385176,"141298016"
"consumer-dataplane",1786385181,"141852040"
"consumer-dataplane",1786385186,"144024512"
"consumer-dataplane",1786385191,"144061840"
"consumer-dataplane",1786385196,"144287736"
"consumer-dataplane",1786385201,"144755112"
"consumer-dataplane",1786385206,"146981392"
"consumer-dataplane",1786385211,"147048784"
"consumer-dataplane",1786385216,"147621736"
"consumer-dataplane",1786385221,"149794208"
"consumer-dataplane",1786385226,"149879880"
"consumer-dataplane",1786385231,"149896280"
"consumer-dataplane",1786385236,"152563328"
"consumer-dataplane",1786385241,"152614392"
"consumer-dataplane",1786385246,"152681816"
"consumer-dataplane",1786385251,"155419152"
"consumer-dataplane",1786385256,"155491544"
"consumer-dataplane",1786385261,"155577184"
"consumer-dataplane",1786385266,"156044504"
"consumer-dataplane",1786385271,"158233416"
"consumer-dataplane",1786385276,"158314304"
"consumer-dataplane",1786385281,"158381712"
"consumer-dataplane",1786385286,"161099992"
"consumer-dataplane",1786385291,"161099992"
"consumer-dataplane",1786385296,"161212776"
"consumer-dataplane",1786385301,"163863432"
"consumer-dataplane",1786385306,"163879848"
"consumer-dataplane",1786385311,"163981936"
"consumer-dataplane",1786385316,"166348080"
"consumer-dataplane",1786385321,"166877536"
"consumer-dataplane",1786385326,"166877536"
"consumer-dataplane",1786385331,"166963152"
"consumer-dataplane",1786385336,"169630080"
"consumer-dataplane",1786385341,"169630080"
"consumer-dataplane",1786385346,"169646496"
"consumer-dataplane",1786385351,"169751192"
"consumer-dataplane",1786385356,"171956504"
"consumer-dataplane",1786385361,"172515816"
"provider-controlplane",1786384831,"278498160"
"provider-controlplane",1786384836,"288636208"
"provider-controlplane",1786384841,"286363856"
"provider-controlplane",1786384846,"362814280"
"provider-controlplane",1786384851,"455026720"
"provider-controlplane",1786384856,"534898296"
"provider-controlplane",1786384861,"478309112"
"provider-controlplane",1786384866,"104561448"
"provider-controlplane",1786384871,"231197880"
"provider-controlplane",1786384876,"331110192"
