series,timestamp,value
"consumer-controlplane",1785681228,"123"
"consumer-controlplane",1785681233,"124"
"consumer-controlplane",1785681238,"135"
"consumer-controlplane",1785681243,"135"
"consumer-controlplane",1785681248,"134"
"consumer-controlplane",1785681253,"134"
"consumer-controlplane",1785681258,"134"
"consumer-controlplane",1785681263,"134"
"consumer-controlplane",1785681268,"134"
"consumer-dataplane",1785681228,"79"
"consumer-dataplane",1785681233,"79"
"consumer-dataplane",1785681238,"79"
"consumer-dataplane",1785681243,"79"
"consumer-dataplane",1785681248,"79"
"consumer-dataplane",1785681253,"79"
"consumer-dataplane",1785681258,"79"
"consumer-dataplane",1785681263,"79"
"consumer-dataplane",1785681268,"79"
"provider-controlplane",1785681228,"113"
"provider-controlplane",1785681233,"113"
"provider-controlplane",1785681238,"113"
"provider-controlplane",1785681243,"113"
"provider-controlplane",1785681248,"113"
"provider-controlplane",1785681253,"113"
"provider-controlplane",1785681258,"113"
"provider-controlplane",1785681263,"113"
"provider-controlplane",1785681268,"113"
"provider-dataplane",1785681228,"96"
"provider-dataplane",1785681233,"96"
"provider-dataplane",1785681238,"125"
"provider-dataplane",1785681243,"125"
"provider-dataplane",1785681248,"125"
"provider-dataplane",1785681253,"125"
"provider-dataplane",1785681258,"125"
"provider-dataplane",1785681263,"124"
"provider-dataplane",1785681268,"124"
