series,timestamp,value
"consumer-controlplane",1786356955,"82120800"
"consumer-controlplane",1786356960,"85556976"
"consumer-controlplane",1786356965,"91878040"
"consumer-controlplane",1786356970,"109995080"
"consumer-controlplane",1786356975,"124876200"
"consumer-controlplane",1786356980,"143805896"
"consumer-controlplane",1786356985,"159172488"
"consumer-controlplane",1786356990,"178345368"
"consumer-controlplane",1786356995,"189847016"
"consumer-dataplane",1786356955,"179671576"
"consumer-dataplane",1786356960,"180301584"
"consumer-dataplane",1786356965,"180931752"
"consumer-dataplane",1786356970,"182255728"
"consumer-dataplane",1786356975,"183200672"
"consumer-dataplane",1786356980,"183687456"
"consumer-dataplane",1786356985,"184632384"
"consumer-dataplane",1786356990,"185270584"
"consumer-dataplane",1786356995,"186346928"
"provider-controlplane",1786356955,"53935144"
"provider-controlplane",1786356960,"64123376"
"provider-controlplane",1786356965,"81739376"
"provider-controlplane",1786356970,"101837920"
"provider-controlplane",1786356975,"69262376"
"provider-controlplane",1786356980,"90633504"
"provider-controlplane",1786356985,"115360464"
"provider-controlplane",1786356990,"141039024"
"provider-controlplane",1786356995,"156517880"
"provider-dataplane",1786356955,"115561832"
"provider-dataplane",1786356960,"149681928"
"provider-dataplane",1786356965,"181621976"
"provider-dataplane",1786356970,"72445568"
"provider-dataplane",1786356975,"104084328"
"provider-dataplane",1786356980,"133441296"
"provider-dataplane",1786356985,"165910576"
"provider-dataplane",1786356990,"54387784"
"provider-dataplane",1786356995,"88929816"
