series,timestamp,value
"consumer-controlplane",1785682349,"143510952"
"consumer-controlplane",1785682354,"162454824"
"consumer-controlplane",1785682359,"109293664"
"consumer-controlplane",1785682364,"164270448"
"consumer-controlplane",1785682369,"96800680"
"consumer-controlplane",1785682374,"174079856"
"consumer-controlplane",1785682379,"110240248"
"consumer-controlplane",1785682384,"180672144"
"consumer-controlplane",1785682389,"123090256"
"consumer-controlplane",1785682394,"203465320"
"consumer-controlplane",1785682399,"140143672"
"consumer-controlplane",1785682404,"216078664"
"consumer-controlplane",1785682409,"154630872"
"consumer-controlplane",1785682414,"88519160"
"consumer-controlplane",1785682419,"166949488"
"consumer-controlplane",1785682424,"111076008"
"consumer-controlplane",1785682429,"184018504"
"consumer-controlplane",1785682434,"122053504"
"consumer-controlplane",1785682439,"198508848"
"consumer-controlplane",1785682444,"134134136"
"consumer-controlplane",1785682449,"207580632"
"consumer-controlplane",1785682454,"144497544"
"consumer-controlplane",1785682459,"79731272"
"consumer-controlplane",1785682464,"165117560"
"consumer-controlplane",1785682469,"97442080"
"consumer-controlplane",1785682474,"178045160"
"consumer-controlplane",1785682479,"107836376"
"consumer-controlplane",1785682484,"188877720"
"consumer-controlplane",1785682489,"129629040"
"consumer-controlplane",1785682494,"202227272"
"consumer-controlplane",1785682499,"135527544"
"consumer-controlplane",1785682504,"214572176"
"consumer-controlplane",1785682509,"153330664"
"consumer-controlplane",1785682514,"89462104"
"consumer-controlplane",1785682519,"159876032"
"consumer-controlplane",1785682524,"100480776"
"consumer-controlplane",1785682529,"179362480"
"consumer-controlplane",1785682534,"122029888"
"consumer-controlplane",1785682539,"196887632"
"consumer-controlplane",1785682544,"136215016"
"consumer-controlplane",1785682549,"208151360"
"consumer-controlplane",1785682554,"152087416"
"consumer-controlplane",1785682559,"87873944"
"consumer-controlplane",1785682564,"170419000"
"consumer-controlplane",1785682569,"102541896"
"consumer-controlplane",1785682574,"179814160"
"consumer-controlplane",1785682579,"109277184"
"consumer-controlplane",1785682584,"186468688"
"consumer-controlplane",1785682589,"126752536"
"consumer-controlplane",1785682594,"204497368"
"consumer-controlplane",1785682599,"138850320"
"consumer-controlplane",1785682604,"215403800"
"consumer-controlplane",1785682609,"149558712"
"consumer-controlplane",1785682614,"89921704"
"consumer-controlplane",1785682619,"164817120"
"consumer-controlplane",1785682624,"94166320"
"consumer-controlplane",1785682629,"179693336"
"consumer-controlplane",1785682634,"117979288"
"consumer-controlplane",1785682639,"192280184"
"consumer-controlplane",1785682644,"131820824"
"consumer-controlplane",1785682649,"205009232"
"consumer-controlplane",1785682654,"138869536"
"consumer-controlplane",1785682659,"213719608"
"consumer-controlplane",1785682664,"149502472"
"consumer-controlplane",1785682669,"84621552"
"consumer-controlplane",1785682674,"169712168"
"consumer-controlplane",1785682679,"102893032"
"consumer-controlplane",1785682684,"185536816"
"consumer-controlplane",1785682689,"115711984"
"consumer-controlplane",1785682694,"201006584"
"consumer-controlplane",1785682699,"135979056"
"consumer-controlplane",1785682704,"77545608"
"consumer-controlplane",1785682709,"157234448"
"consumer-controlplane",1785682714,"101386512"
"consumer-controlplane",1785682719,"174802984"
"consumer-controlplane",1785682724,"106823992"
"consumer-controlplane",1785682729,"187624368"
"consumer-controlplane",1785682734,"117907504"
"consumer-controlplane",1785682739,"196215472"
"consumer-controlplane",1785682744,"136975848"
"consumer-controlplane",1785682749,"211568016"
"consumer-controlplane",1785682754,"148225672"
"consumer-controlplane",1785682759,"80155696"
"consumer-controlplane",1785682764,"164137280"
"consumer-controlplane",1785682769,"104754816"
"consumer-controlplane",1785682774,"179807704"
"consumer-controlplane",1785682779,"117005624"
"consumer-controlplane",1785682784,"197333424"
"consumer-controlplane",1785682789,"132813672"
"consumer-controlplane",1785682794,"206950208"
"consumer-controlplane",1785682799,"149695536"
"consumer-controlplane",1785682804,"82747936"
"consumer-controlplane",1785682809,"156578096"
"consumer-controlplane",1785682814,"90614368"
"consumer-controlplane",1785682819,"166708456"
"consumer-controlplane",1785682824,"106337144"
"consumer-controlplane",1785682829,"184086920"
"consumer-controlplane",1785682834,"111100336"
"consumer-controlplane",1785682839,"189480240"
"consumer-controlplane",1785682844,"131263808"
"consumer-controlplane",1785682849,"210266096"
"consumer-controlplane",1785682854,"141576624"
"consumer-controlplane",1785682859,"81140672"
"consumer-controlplane",1785682864,"156307128"
"consumer-controlplane",1785682869,"96641952"
"consumer-controlplane",1785682874,"173053336"
"consumer-controlplane",1785682879,"108030712"
"consumer-controlplane",1785682884,"188526192"
"consumer-controlplane",1785682889,"135969816"
"consumer-controlplane",1785682894,"218452712"
"consumer-controlplane",1785682899,"151430672"
"consumer-controlplane",1785682904,"76989880"
"consumer-controlplane",1785682909,"166547840"
"consumer-controlplane",1785682914,"105618720"
"consumer-controlplane",1785682919,"179465616"
"consumer-controlplane",1785682924,"118371552"
"consumer-controlplane",1785682929,"187345648"
"consumer-controlplane",1785682934,"124031768"
"consumer-controlplane",1785682939,"204294792"
"consumer-controlplane",1785682944,"136033192"
"consumer-controlplane",1785682949,"214888184"
"consumer-controlplane",1785682954,"161372024"
"consumer-controlplane",1785682959,"88420744"
"consumer-controlplane",1785682964,"174957952"
"consumer-controlplane",1785682969,"110537240"
"consumer-controlplane",1785682974,"188078384"
"consumer-controlplane",1785682979,"127347504"
"consumer-controlplane",1785682984,"202689448"
"consumer-controlplane",1785682989,"139097616"
"consumer-controlplane",1785682994,"212391568"
"consumer-controlplane",1785682999,"152921248"
"consumer-controlplane",1785683004,"85002968"
"consumer-controlplane",1785683009,"174316576"
"consumer-controlplane",1785683014,"108671640"
"consumer-controlplane",1785683019,"183217512"
"consumer-controlplane",1785683024,"121020848"
"consumer-controlplane",1785683029,"197313880"
"consumer-controlplane",1785683034,"130984080"
"consumer-controlplane",1785683039,"200053928"
"consumer-controlplane",1785683044,"148608840"
"consumer-controlplane",1785683049,"77115216"
"consumer-controlplane",1785683054,"159020952"
"consumer-controlplane",1785683059,"90220680"
"consumer-controlplane",1785683064,"168378312"
"consumer-controlplane",1785683069,"105624776"
"consumer-controlplane",1785683074,"182711176"
"consumer-controlplane",1785683079,"121238240"
"consumer-controlplane",1785683084,"198701944"
"consumer-controlplane",1785683089,"132817896"
"consumer-controlplane",1785683094,"200105760"
"consumer-controlplane",1785683099,"142804440"
"consumer-controlplane",1785683104,"79292904"
"consumer-controlplane",1785683109,"160320328"
"consumer-controlplane",1785683114,"96193752"
"consumer-controlplane",1785683119,"174023832"
"consumer-controlplane",1785683124,"105598920"
"consumer-controlplane",1785683129,"183477840"
"consumer-controlplane",1785683134,"116309808"
"consumer-controlplane",1785683139,"201537056"
"consumer-controlplane",1785683144,"131943624"
"consumer-controlplane",1785683149,"209827040"
"consumer-controlplane",1785683154,"141645304"
"consumer-controlplane",1785683159,"76400472"
"consumer-controlplane",1785683164,"151641760"
"consumer-controlplane",1785683169,"83748864"
"consumer-controlplane",1785683174,"170963232"
"consumer-controlplane",1785683179,"101971088"
"consumer-controlplane",1785683184,"183371168"
"consumer-controlplane",1785683189,"116817672"
"consumer-controlplane",1785683194,"204965376"
"consumer-controlplane",1785683199,"139534088"
"consumer-controlplane",1785683204,"82081544"
"consumer-controlplane",1785683209,"163155608"
"consumer-controlplane",1785683214,"96077920"
"consumer-controlplane",1785683219,"168213560"
"consumer-controlplane",1785683224,"100841152"
"consumer-controlplane",1785683229,"169417952"
"consumer-controlplane",1785683234,"121242048"
"consumer-controlplane",1785683239,"191252384"
"consumer-controlplane",1785683244,"134654904"
"consumer-controlplane",1785683249,"217569448"
"consumer-controlplane",1785683254,"148814000"
"consumer-controlplane",1785683259,"84122624"
"consumer-controlplane",1785683264,"164261456"
"consumer-controlplane",1785683269,"96170176"
"consumer-controlplane",1785683274,"177213776"
"consumer-controlplane",1785683279,"102300752"
"consumer-controlplane",1785683284,"182184600"
"consumer-controlplane",1785683289,"123416448"
"consumer-controlplane",1785683294,"205431168"
"consumer-controlplane",1785683299,"139153744"
"consumer-controlplane",1785683304,"211584672"
"consumer-controlplane",1785683309,"145227232"
"consumer-controlplane",1785683314,"86530440"
"consumer-controlplane",1785683319,"157979416"
"consumer-controlplane",1785683324,"107703408"
"consumer-controlplane",1785683329,"189471712"
"consumer-controlplane",1785683334,"128224920"
"consumer-controlplane",1785683339,"202688696"
"consumer-controlplane",1785683344,"138209656"
"consumer-controlplane",1785683349,"211198488"
"consumer-controlplane",1785683354,"150038000"
"consumer-controlplane",1785683359,"86333936"
"consumer-controlplane",1785683364,"163692552"
"consumer-controlplane",1785683369,"98949800"
"consumer-controlplane",1785683374,"180382528"
"consumer-controlplane",1785683379,"106791856"
"consumer-controlplane",1785683384,"188949816"
"consumer-controlplane",1785683389,"123758520"
"consumer-controlplane",1785683394,"200186600"
"consumer-controlplane",1785683399,"138295008"
"consumer-controlplane",1785683404,"219259832"
"consumer-controlplane",1785683409,"153429904"
"consumer-controlplane",1785683414,"90600984"
"consumer-controlplane",1785683419,"170591024"
"consumer-controlplane",1785683424,"98365600"
"consumer-controlplane",1785683429,"177253320"
"consumer-controlplane",1785683434,"110607096"
"consumer-controlplane",1785683439,"188820184"
"consumer-controlplane",1785683444,"127215928"
"consumer-controlplane",1785683449,"203809072"
"consumer-controlplane",1785683454,"134592728"
"consumer-controlplane",1785683459,"215620464"
"consumer-controlplane",1785683464,"149269448"
"consumer-controlplane",1785683469,"86338280"
"consumer-controlplane",1785683474,"164597888"
"consumer-controlplane",1785683479,"104175400"
"consumer-controlplane",1785683484,"177302272"
"consumer-controlplane",1785683489,"116126056"
"consumer-controlplane",1785683494,"190258248"
"consumer-controlplane",1785683499,"127261848"
"consumer-controlplane",1785683504,"205349096"
"consumer-controlplane",1785683509,"144870400"
"consumer-controlplane",1785683514,"218990328"
"consumer-controlplane",1785683519,"148667920"
"consumer-controlplane",1785683524,"90717936"
"consumer-controlplane",1785683529,"169286952"
"consumer-controlplane",1785683534,"103660840"
"consumer-controlplane",1785683539,"172409600"
"consumer-controlplane",1785683544,"118524912"
"consumer-controlplane",1785683549,"201149232"
"consumer-controlplane",1785683554,"141020168"
"consumer-controlplane",1785683559,"216039432"
"consumer-controlplane",1785683564,"153774120"
"consumer-controlplane",1785683569,"94172744"
"consumer-controlplane",1785683574,"173638728"
"consumer-controlplane",1785683579,"113537248"
"consumer-controlplane",1785683584,"186888816"
"consumer-controlplane",1785683589,"133313504"
"consumer-controlplane",1785683594,"207579056"
"consumer-controlplane",1785683599,"151386544"
"consumer-controlplane",1785683604,"87071072"
"consumer-controlplane",1785683609,"155051928"
"consumer-controlplane",1785683614,"101182824"
"consumer-controlplane",1785683619,"179641736"
"consumer-controlplane",1785683624,"121851880"
"consumer-controlplane",1785683629,"200520400"
"consumer-controlplane",1785683634,"136495752"
"consumer-controlplane",1785683639,"207760024"
"consumer-controlplane",1785683644,"143872864"
"consumer-controlplane",1785683649,"87355128"
"consumer-controlplane",1785683654,"168706120"
"consumer-controlplane",1785683659,"96257976"
"consumer-controlplane",1785683664,"178279232"
"consumer-controlplane",1785683669,"113431232"
"consumer-controlplane",1785683674,"193269984"
"consumer-controlplane",1785683679,"128249560"
"consumer-controlplane",1785683684,"203463232"
"consumer-controlplane",1785683689,"137051240"
"consumer-controlplane",1785683694,"215720168"
"consumer-controlplane",1785683699,"158851544"
"consumer-controlplane",1785683704,"90963336"
"consumer-controlplane",1785683709,"171187024"
"consumer-controlplane",1785683714,"107401752"
"consumer-controlplane",1785683719,"186232120"
"consumer-controlplane",1785683724,"123297744"
"consumer-controlplane",1785683729,"200522896"
"consumer-controlplane",1785683734,"141945512"
"consumer-controlplane",1785683739,"218782776"
"consumer-controlplane",1785683744,"150644192"
"consumer-controlplane",1785683749,"85867528"
"consumer-controlplane",1785683754,"163023448"
"consumer-controlplane",1785683759,"95952880"
"consumer-controlplane",1785683764,"186634672"
"consumer-controlplane",1785683769,"118872712"
"consumer-controlplane",1785683774,"192733080"
"consumer-controlplane",1785683779,"127139944"
"consumer-controlplane",1785683784,"203513728"
"consumer-controlplane",1785683789,"139466264"
"consumer-controlplane",1785683794,"217209400"
"consumer-controlplane",1785683799,"146820920"
"consumer-controlplane",1785683804,"84005040"
"consumer-controlplane",1785683809,"166916352"
"consumer-controlplane",1785683814,"102300728"
