series,timestamp,value
"consumer-controlplane",1786360281,"125"
"consumer-controlplane",1786360286,"125"
"consumer-controlplane",1786360291,"125"
"consumer-controlplane",1786360296,"125"
"consumer-dataplane",1786360281,"78"
"consumer-dataplane",1786360286,"78"
"consumer-dataplane",1786360291,"78"
"consumer-dataplane",1786360296,"78"
"provider-controlplane",1786360281,"107"
"provider-controlplane",1786360286,"106"
"provider-controlplane",1786360291,"106"
"provider-controlplane",1786360296,"106"
"provider-dataplane",1786360281,"131"
"provider-dataplane",1786360286,"131"
"provider-dataplane",1786360291,"131"
"provider-dataplane",1786360296,"131"
