series,timestamp,value
"consumer-controlplane",1786357609,"132"
"consumer-controlplane",1786357614,"132"
"consumer-controlplane",1786357619,"132"
"consumer-controlplane",1786357624,"132"
"consumer-controlplane",1786357629,"132"
"consumer-controlplane",1786357634,"133"
"consumer-controlplane",1786357639,"132"
"consumer-controlplane",1786357644,"132"
"consumer-controlplane",1786357649,"132"
"consumer-controlplane",1786357654,"132"
"consumer-controlplane",1786357659,"132"
"consumer-controlplane",1786357664,"132"
"consumer-controlplane",1786357669,"132"
"consumer-controlplane",1786357674,"132"
"consumer-controlplane",1786357679,"132"
"consumer-controlplane",1786357684,"132"
"consumer-controlplane",1786357689,"132"
"consumer-controlplane",1786357694,"131"
"consumer-controlplane",1786357699,"130"
"consumer-controlplane",1786357704,"130"
"consumer-controlplane",1786357709,"130"
"consumer-controlplane",1786357714,"130"
"consumer-controlplane",1786357719,"129"
"consumer-controlplane",1786357724,"129"
"consumer-controlplane",1786357729,"129"
"consumer-controlplane",1786357734,"129"
"consumer-controlplane",1786357739,"129"
"consumer-controlplane",1786357744,"129"
"consumer-controlplane",1786357749,"129"
"consumer-controlplane",1786357754,"129"
"consumer-controlplane",1786357759,"128"
"consumer-controlplane",1786357764,"128"
"consumer-controlplane",1786357769,"128"
"consumer-controlplane",1786357774,"128"
"consumer-controlplane",1786357779,"130"
"consumer-controlplane",1786357784,"130"
"consumer-controlplane",1786357789,"130"
"consumer-controlplane",1786357794,"130"
"consumer-controlplane",1786357799,"130"
"consumer-controlplane",1786357804,"130"
"consumer-controlplane",1786357809,"130"
"consumer-controlplane",1786357814,"130"
"consumer-controlplane",1786357819,"129"
"consumer-controlplane",1786357824,"129"
"consumer-controlplane",1786357829,"129"
"consumer-controlplane",1786357834,"129"
"consumer-controlplane",1786357839,"127"
"consumer-controlplane",1786357844,"127"
"consumer-controlplane",1786357849,"128"
"consumer-controlplane",1786357854,"128"
"consumer-controlplane",1786357859,"128"
"consumer-controlplane",1786357864,"128"
"consumer-controlplane",1786357869,"128"
"consumer-controlplane",1786357874,"128"
"consumer-controlplane",1786357879,"127"
"consumer-controlplane",1786357884,"127"
"consumer-controlplane",1786357889,"127"
"consumer-controlplane",1786357894,"127"
"consumer-controlplane",1786357899,"129"
"consumer-controlplane",1786357904,"129"
"consumer-controlplane",1786357909,"129"
"consumer-controlplane",1786357914,"129"
"consumer-controlplane",1786357919,"129"
"consumer-controlplane",1786357924,"129"
"consumer-controlplane",1786357929,"129"
"consumer-dataplane",1786357609,"78"
"consumer-dataplane",1786357614,"78"
"consumer-dataplane",1786357619,"78"
"consumer-dataplane",1786357624,"78"
"consumer-dataplane",1786357629,"78"
"consumer-dataplane",1786357634,"78"
"consumer-dataplane",1786357639,"78"
"consumer-dataplane",1786357644,"78"
"consumer-dataplane",1786357649,"78"
"consumer-dataplane",1786357654,"78"
"consumer-dataplane",1786357659,"78"
"consumer-dataplane",1786357664,"78"
"consumer-dataplane",1786357669,"78"
"consumer-dataplane",1786357674,"78"
"consumer-dataplane",1786357679,"78"
"consumer-dataplane",1786357684,"78"
"consumer-dataplane",1786357689,"78"
"consumer-dataplane",1786357694,"78"
"consumer-dataplane",1786357699,"78"
"consumer-dataplane",1786357704,"78"
"consumer-dataplane",1786357709,"78"
"consumer-dataplane",1786357714,"78"
"consumer-dataplane",1786357719,"78"
"consumer-dataplane",1786357724,"78"
"consumer-dataplane",1786357729,"78"
"consumer-dataplane",1786357734,"78"
"consumer-dataplane",1786357739,"78"
"consumer-dataplane",1786357744,"78"
"consumer-dataplane",1786357749,"78"
"consumer-dataplane",1786357754,"78"
"consumer-dataplane",1786357759,"78"
"consumer-dataplane",1786357764,"78"
"consumer-dataplane",1786357769,"78"
"consumer-dataplane",1786357774,"78"
"consumer-dataplane",1786357779,"78"
"consumer-dataplane",1786357784,"78"
"consumer-dataplane",1786357789,"78"
"consumer-dataplane",1786357794,"78"
"consumer-dataplane",1786357799,"78"
"consumer-dataplane",1786357804,"78"
"consumer-dataplane",1786357809,"78"
"consumer-dataplane",1786357814,"78"
"consumer-dataplane",1786357819,"78"
"consumer-dataplane",1786357824,"78"
"consumer-dataplane",1786357829,"78"
"consumer-dataplane",1786357834,"78"
"consumer-dataplane",1786357839,"78"
"consumer-dataplane",1786357844,"78"
"consumer-dataplane",1786357849,"78"
"consumer-dataplane",1786357854,"78"
"consumer-dataplane",1786357859,"78"
"consumer-dataplane",1786357864,"78"
"consumer-dataplane",1786357869,"78"
"consumer-dataplane",1786357874,"78"
"consumer-dataplane",1786357879,"78"
"consumer-dataplane",1786357884,"78"
"consumer-dataplane",1786357889,"78"
"consumer-dataplane",1786357894,"78"
"consumer-dataplane",1786357899,"78"
"consumer-dataplane",1786357904,"78"
"consumer-dataplane",1786357909,"78"
"consumer-dataplane",1786357914,"78"
"consumer-dataplane",1786357919,"78"
"consumer-dataplane",1786357924,"78"
"consumer-dataplane",1786357929,"78"
"provider-controlplane",1786357609,"107"
"provider-controlplane",1786357614,"107"
"provider-controlplane",1786357619,"107"
"provider-controlplane",1786357624,"106"
"provider-controlplane",1786357629,"106"
"provider-controlplane",1786357634,"107"
"provider-controlplane",1786357639,"107"
"provider-controlplane",1786357644,"107"
"provider-controlplane",1786357649,"108"
"provider-controlplane",1786357654,"108"
"provider-controlplane",1786357659,"109"
"provider-controlplane",1786357664,"109"
"provider-controlplane",1786357669,"109"
"provider-controlplane",1786357674,"109"
"provider-controlplane",1786357679,"109"
"provider-controlplane",1786357684,"109"
"provider-controlplane",1786357689,"109"
"provider-controlplane",1786357694,"109"
"provider-controlplane",1786357699,"109"
"provider-controlplane",1786357704,"109"
"provider-controlplane",1786357709,"108"
"provider-controlplane",1786357714,"108"
"provider-controlplane",1786357719,"107"
