series,timestamp,value
"consumer-controlplane",1785505310,"284626576"
"consumer-controlplane",1785505315,"295753432"
"consumer-controlplane",1785505320,"349381528"
"consumer-controlplane",1785505325,"362319504"
"consumer-controlplane",1785505330,"365924680"
"consumer-controlplane",1785505335,"369659776"
"consumer-controlplane",1785505340,"373120120"
"consumer-controlplane",1785505345,"376693392"
"consumer-controlplane",1785505350,"380224744"
"consumer-controlplane",1785505355,"383946736"
"consumer-controlplane",1785505360,"387490976"
"consumer-controlplane",1785505365,"390992312"
"consumer-controlplane",1785505370,"394443272"
"consumer-controlplane",1785505375,"398071840"
"consumer-controlplane",1785505380,"401226648"
"consumer-controlplane",1785505385,"404728752"
"consumer-controlplane",1785505390,"408071672"
"consumer-dataplane",1785505310,"116104440"
"consumer-dataplane",1785505315,"116615600"
"consumer-dataplane",1785505320,"118867480"
"consumer-dataplane",1785505325,"118875688"
"consumer-dataplane",1785505330,"118941072"
"consumer-dataplane",1785505335,"121679888"
"consumer-dataplane",1785505340,"121729832"
"consumer-dataplane",1785505345,"121826792"
"consumer-dataplane",1785505350,"124514640"
"consumer-dataplane",1785505355,"124573464"
"consumer-dataplane",1785505360,"124631704"
"consumer-dataplane",1785505365,"126819624"
"consumer-dataplane",1785505370,"127300072"
"consumer-dataplane",1785505375,"127382464"
"consumer-dataplane",1785505380,"127493136"
"consumer-dataplane",1785505385,"130133840"
"consumer-dataplane",1785505390,"130175576"
"provider-controlplane",1785505310,"134310208"
"provider-controlplane",1785505315,"77907952"
"provider-controlplane",1785505320,"142557032"
"provider-controlplane",1785505325,"162077024"
"provider-controlplane",1785505330,"172742512"
"provider-controlplane",1785505335,"184189456"
"provider-controlplane",1785505340,"192840704"
"provider-controlplane",1785505345,"203095064"
"provider-controlplane",1785505350,"214039152"
"provider-controlplane",1785505355,"81147768"
"provider-controlplane",1785505360,"93027536"
"provider-controlplane",1785505365,"103057664"
"provider-controlplane",1785505370,"114830744"
"provider-controlplane",1785505375,"123776272"
"provider-controlplane",1785505380,"135431680"
"provider-controlplane",1785505385,"145113056"
"provider-controlplane",1785505390,"157173832"
"provider-dataplane",1785505310,"127040960"
"provider-dataplane",1785505315,"161499632"
"provider-dataplane",1785505320,"195415936"
"provider-dataplane",1785505325,"138072888"
"provider-dataplane",1785505330,"130107032"
"provider-dataplane",1785505335,"119234208"
"provider-dataplane",1785505340,"101643184"
"provider-dataplane",1785505345,"91186248"
"provider-dataplane",1785505350,"224468096"
"provider-dataplane",1785505355,"214208400"
"provider-dataplane",1785505360,"204098432"
"provider-dataplane",1785505365,"194147632"
"provider-dataplane",1785505370,"183738328"
"provider-dataplane",1785505375,"162953080"
"provider-dataplane",1785505380,"152378584"
"provider-dataplane",1785505385,"85074080"
"provider-dataplane",1785505390,"115531576"
