series,timestamp,value
"consumer-controlplane",1785505457,"148"
"consumer-controlplane",1785505462,"147"
"consumer-controlplane",1785505467,"147"
"consumer-controlplane",1785505472,"145"
"consumer-controlplane",1785505477,"145"
"consumer-controlplane",1785505482,"145"
"consumer-controlplane",1785505487,"144"
"consumer-controlplane",1785505492,"144"
"consumer-controlplane",1785505497,"143"
"consumer-controlplane",1785505502,"143"
"consumer-controlplane",1785505507,"143"
"consumer-controlplane",1785505512,"143"
"consumer-controlplane",1785505517,"142"
"consumer-controlplane",1785505522,"140"
"consumer-controlplane",1785505527,"137"
"consumer-controlplane",1785505532,"134"
"consumer-controlplane",1785505537,"134"
"consumer-dataplane",1785505457,"78"
"consumer-dataplane",1785505462,"78"
"consumer-dataplane",1785505467,"78"
"consumer-dataplane",1785505472,"78"
"consumer-dataplane",1785505477,"78"
"consumer-dataplane",1785505482,"78"
"consumer-dataplane",1785505487,"78"
"consumer-dataplane",1785505492,"78"
"consumer-dataplane",1785505497,"78"
"consumer-dataplane",1785505502,"78"
"consumer-dataplane",1785505507,"78"
"consumer-dataplane",1785505512,"78"
"consumer-dataplane",1785505517,"78"
"consumer-dataplane",1785505522,"78"
"consumer-dataplane",1785505527,"78"
"consumer-dataplane",1785505532,"78"
"consumer-dataplane",1785505537,"78"
"provider-controlplane",1785505457,"110"
"provider-controlplane",1785505462,"110"
"provider-controlplane",1785505467,"110"
"provider-controlplane",1785505472,"110"
"provider-controlplane",1785505477,"110"
"provider-controlplane",1785505482,"110"
"provider-controlplane",1785505487,"110"
"provider-controlplane",1785505492,"110"
"provider-controlplane",1785505497,"110"
"provider-controlplane",1785505502,"110"
"provider-controlplane",1785505507,"109"
"provider-controlplane",1785505512,"109"
"provider-controlplane",1785505517,"108"
"provider-controlplane",1785505522,"107"
"provider-controlplane",1785505527,"105"
"provider-controlplane",1785505532,"105"
"provider-controlplane",1785505537,"103"
"provider-dataplane",1785505457,"120"
"provider-dataplane",1785505462,"120"
"provider-dataplane",1785505467,"120"
"provider-dataplane",1785505472,"120"
"provider-dataplane",1785505477,"120"
"provider-dataplane",1785505482,"120"
"provider-dataplane",1785505487,"120"
"provider-dataplane",1785505492,"120"
"provider-dataplane",1785505497,"122"
"provider-dataplane",1785505502,"121"
"provider-dataplane",1785505507,"121"
"provider-dataplane",1785505512,"121"
"provider-dataplane",1785505517,"121"
"provider-dataplane",1785505522,"121"
"provider-dataplane",1785505527,"121"
"provider-dataplane",1785505532,"121"
"provider-dataplane",1785505537,"121"
