series,timestamp,value
"consumer-controlplane",1785345656,"444346040"
"consumer-controlplane",1785345661,"442320176"
"consumer-controlplane",1785345666,"471346368"
"consumer-controlplane",1785345671,"539230760"
"consumer-controlplane",1785345676,"473834336"
"consumer-controlplane",1785345681,"422966544"
"consumer-controlplane",1785345686,"518243384"
"consumer-controlplane",1785345691,"464995208"
"consumer-controlplane",1785345696,"429819824"
"consumer-controlplane",1785345701,"526556520"
"consumer-controlplane",1785345706,"480321168"
"consumer-controlplane",1785345711,"446733456"
"consumer-controlplane",1785345716,"555091960"
"consumer-controlplane",1785345721,"525956248"
"consumer-controlplane",1785345726,"499576824"
"consumer-controlplane",1785345731,"479184424"
"consumer-controlplane",1785345736,"460310016"
"consumer-controlplane",1785345741,"432391632"
"consumer-controlplane",1785345746,"425103488"
"consumer-controlplane",1785345751,"552663008"
"consumer-controlplane",1785345756,"440402616"
"consumer-controlplane",1785345761,"426253504"
"consumer-controlplane",1785345766,"457292328"
"consumer-controlplane",1785345771,"459520040"
"consumer-controlplane",1785345776,"468001424"
"consumer-controlplane",1785345781,"474776280"
"consumer-controlplane",1785345786,"497813992"
"consumer-controlplane",1785345791,"504006304"
"consumer-controlplane",1785345796,"546319520"
"consumer-controlplane",1785345801,"450619608"
"consumer-controlplane",1785345806,"531322048"
"consumer-controlplane",1785345811,"455961272"
"consumer-controlplane",1785345816,"540925152"
"consumer-controlplane",1785345821,"516240240"
"consumer-controlplane",1785345826,"497430152"
"consumer-controlplane",1785345831,"463877408"
"consumer-controlplane",1785345836,"436971728"
"consumer-controlplane",1785345841,"480456576"
"consumer-controlplane",1785345846,"544505248"
"consumer-controlplane",1785345851,"447205752"
"consumer-controlplane",1785345856,"480751000"
"consumer-controlplane",1785345861,"550686416"
"consumer-controlplane",1785345866,"446973816"
"consumer-controlplane",1785345871,"491749792"
"consumer-controlplane",1785345876,"539599632"
"consumer-controlplane",1785345881,"533214056"
"consumer-controlplane",1785345886,"439526232"
"consumer-controlplane",1785345891,"463472784"
"consumer-controlplane",1785345896,"518847592"
"consumer-controlplane",1785345901,"513637744"
"consumer-controlplane",1785345906,"530680984"
"consumer-controlplane",1785345911,"495265320"
"consumer-controlplane",1785345916,"571810568"
"consumer-controlplane",1785345921,"565696880"
"consumer-controlplane",1785345926,"528750536"
"consumer-controlplane",1785345931,"502343960"
"consumer-controlplane",1785345936,"562149192"
"consumer-controlplane",1785345941,"551691296"
"consumer-controlplane",1785345946,"489310656"
"consumer-controlplane",1785345951,"566643296"
"consumer-controlplane",1785345956,"459146192"
"consumer-controlplane",1785345961,"531280816"
"consumer-controlplane",1785345966,"471742328"
"consumer-controlplane",1785345971,"493114952"
"consumer-controlplane",1785345976,"518969312"
"consumer-controlplane",1785345981,"559015688"
"consumer-controlplane",1785345986,"463028208"
"consumer-controlplane",1785345991,"573056640"
"consumer-controlplane",1785345996,"528748216"
"consumer-controlplane",1785346001,"464330648"
"consumer-controlplane",1785346006,"529665528"
"consumer-controlplane",1785346011,"479412000"
"consumer-controlplane",1785346016,"535391800"
"consumer-controlplane",1785346021,"562002016"
"consumer-controlplane",1785346026,"487663776"
"consumer-controlplane",1785346031,"475711904"
"consumer-controlplane",1785346036,"582378048"
