series,timestamp,value
"consumer-controlplane",1785345656,"203"
"consumer-controlplane",1785345661,"203"
"consumer-controlplane",1785345666,"203"
"consumer-controlplane",1785345671,"203"
"consumer-controlplane",1785345676,"203"
"consumer-controlplane",1785345681,"203"
"consumer-controlplane",1785345686,"202"
"consumer-controlplane",1785345691,"202"
"consumer-controlplane",1785345696,"202"
"consumer-controlplane",1785345701,"201"
"consumer-controlplane",1785345706,"200"
"consumer-controlplane",1785345711,"201"
"consumer-controlplane",1785345716,"201"
"consumer-controlplane",1785345721,"201"
"consumer-controlplane",1785345726,"201"
"consumer-controlplane",1785345731,"201"
"consumer-controlplane",1785345736,"201"
"consumer-controlplane",1785345741,"201"
"consumer-controlplane",1785345746,"201"
"consumer-controlplane",1785345751,"201"
"consumer-controlplane",1785345756,"201"
"consumer-controlplane",1785345761,"201"
"consumer-controlplane",1785345766,"200"
"consumer-controlplane",1785345771,"200"
"consumer-controlplane",1785345776,"200"
"consumer-controlplane",1785345781,"200"
"consumer-controlplane",1785345786,"200"
"consumer-controlplane",1785345791,"200"
"consumer-controlplane",1785345796,"200"
"consumer-controlplane",1785345801,"200"
"consumer-controlplane",1785345806,"200"
"consumer-controlplane",1785345811,"203"
"consumer-controlplane",1785345816,"203"
"consumer-controlplane",1785345821,"203"
"consumer-controlplane",1785345826,"202"
"consumer-controlplane",1785345831,"202"
"consumer-controlplane",1785345836,"203"
"consumer-controlplane",1785345841,"203"
"consumer-controlplane",1785345846,"203"
"consumer-controlplane",1785345851,"203"
"consumer-controlplane",1785345856,"203"
"consumer-controlplane",1785345861,"203"
"consumer-controlplane",1785345866,"203"
"consumer-controlplane",1785345871,"203"
"consumer-controlplane",1785345876,"203"
"consumer-controlplane",1785345881,"203"
"consumer-controlplane",1785345886,"202"
"consumer-controlplane",1785345891,"202"
"consumer-controlplane",1785345896,"202"
"consumer-controlplane",1785345901,"202"
"consumer-controlplane",1785345906,"202"
"consumer-controlplane",1785345911,"205"
"consumer-controlplane",1785345916,"206"
"consumer-controlplane",1785345921,"206"
"consumer-controlplane",1785345926,"206"
"consumer-controlplane",1785345931,"206"
"consumer-controlplane",1785345936,"206"
"consumer-controlplane",1785345941,"207"
"consumer-controlplane",1785345946,"206"
"consumer-controlplane",1785345951,"208"
"consumer-controlplane",1785345956,"208"
"consumer-controlplane",1785345961,"208"
"consumer-controlplane",1785345966,"208"
"consumer-controlplane",1785345971,"208"
"consumer-controlplane",1785345976,"208"
"consumer-controlplane",1785345981,"208"
"consumer-controlplane",1785345986,"208"
"consumer-controlplane",1785345991,"208"
"consumer-controlplane",1785345996,"208"
"consumer-controlplane",1785346001,"207"
"consumer-controlplane",1785346006,"206"
"consumer-controlplane",1785346011,"206"
"consumer-controlplane",1785346016,"206"
"consumer-controlplane",1785346021,"206"
"consumer-controlplane",1785346026,"206"
"consumer-controlplane",1785346031,"206"
"consumer-controlplane",1785346036,"206"
"consumer-controlplane",1785346041,"207"
"consumer-controlplane",1785346046,"210"
"consumer-controlplane",1785346051,"218"
"consumer-controlplane",1785346056,"231"
"consumer-controlplane",1785346061,"236"
"consumer-controlplane",1785346066,"238"
"consumer-controlplane",1785346071,"254"
"consumer-controlplane",1785346076,"254"
"consumer-controlplane",1785346081,"254"
"consumer-controlplane",1785346086,"254"
"consumer-controlplane",1785346091,"254"
"consumer-controlplane",1785346096,"254"
"consumer-controlplane",1785346101,"254"
"consumer-controlplane",1785346106,"264"
"consumer-controlplane",1785346111,"254"
"consumer-controlplane",1785346116,"264"
"consumer-controlplane",1785346121,"264"
"consumer-controlplane",1785346126,"264"
"consumer-dataplane",1785345656,"78"
"consumer-dataplane",1785345661,"78"
"consumer-dataplane",1785345666,"78"
"consumer-dataplane",1785345671,"78"
