series,timestamp,value
"consumer-controlplane",1785340623,"178504448"
"consumer-controlplane",1785340628,"178504448"
"consumer-controlplane",1785340633,"109090816"
"consumer-controlplane",1785340638,"131784976"
"consumer-controlplane",1785340643,"151348328"
"consumer-controlplane",1785340648,"173819728"
"consumer-controlplane",1785340653,"194569560"
"consumer-controlplane",1785340658,"201689776"
"consumer-dataplane",1785340623,"92271280"
"consumer-dataplane",1785340628,"92271280"
"consumer-dataplane",1785340633,"93388608"
"consumer-dataplane",1785340638,"94456264"
"consumer-dataplane",1785340643,"95117688"
"consumer-dataplane",1785340648,"96243192"
"consumer-dataplane",1785340653,"96904712"
"consumer-dataplane",1785340658,"97566216"
"provider-controlplane",1785340623,"114146456"
"provider-controlplane",1785340628,"114146456"
"provider-controlplane",1785340633,"168646464"
"provider-controlplane",1785340638,"54887632"
"provider-controlplane",1785340643,"82421552"
"provider-controlplane",1785340648,"107805888"
"provider-controlplane",1785340653,"135744280"
"provider-controlplane",1785340658,"147481864"
"provider-dataplane",1785340623,"98381352"
"provider-dataplane",1785340628,"98381352"
"provider-dataplane",1785340633,"130726032"
"provider-dataplane",1785340638,"166537232"
"provider-dataplane",1785340643,"50492080"
"provider-dataplane",1785340648,"84114256"
"provider-dataplane",1785340653,"114566712"
"provider-dataplane",1785340658,"145929976"
