series,timestamp,value
"consumer-controlplane",1785496794,"139"
"consumer-controlplane",1785496799,"139"
"consumer-controlplane",1785496804,"139"
"consumer-controlplane",1785496809,"139"
"consumer-controlplane",1785496814,"139"
"consumer-controlplane",1785496819,"139"
"consumer-controlplane",1785496824,"139"
"consumer-controlplane",1785496829,"139"
"consumer-dataplane",1785496794,"79"
"consumer-dataplane",1785496799,"79"
"consumer-dataplane",1785496804,"79"
"consumer-dataplane",1785496809,"79"
"consumer-dataplane",1785496814,"79"
"consumer-dataplane",1785496819,"79"
"consumer-dataplane",1785496824,"79"
"consumer-dataplane",1785496829,"79"
"provider-controlplane",1785496794,"113"
"provider-controlplane",1785496799,"112"
"provider-controlplane",1785496804,"112"
"provider-controlplane",1785496809,"112"
"provider-controlplane",1785496814,"112"
"provider-controlplane",1785496819,"112"
"provider-controlplane",1785496824,"112"
"provider-controlplane",1785496829,"112"
"provider-dataplane",1785496794,"137"
"provider-dataplane",1785496799,"137"
"provider-dataplane",1785496804,"137"
"provider-dataplane",1785496809,"142"
"provider-dataplane",1785496814,"142"
"provider-dataplane",1785496819,"141"
"provider-dataplane",1785496824,"141"
"provider-dataplane",1785496829,"141"
