series,timestamp,value
"consumer-controlplane",1785352856,"209530528"
"consumer-controlplane",1785352861,"116233008"
"consumer-controlplane",1785352866,"161346952"
"consumer-controlplane",1785352871,"149636040"
"consumer-controlplane",1785352876,"245233936"
"consumer-controlplane",1785352881,"291798160"
"consumer-controlplane",1785352886,"115539472"
"consumer-controlplane",1785352891,"136583256"
"consumer-controlplane",1785352896,"205247928"
"consumer-controlplane",1785352901,"90247488"
"consumer-controlplane",1785352906,"129786712"
"consumer-controlplane",1785352911,"186366256"
"consumer-controlplane",1785352916,"261573944"
"consumer-controlplane",1785352921,"289426952"
"consumer-controlplane",1785352926,"190009488"
"consumer-controlplane",1785352931,"94974000"
"consumer-controlplane",1785352936,"166056856"
"consumer-controlplane",1785352941,"104846136"
"consumer-controlplane",1785352946,"182404568"
"consumer-controlplane",1785352951,"246323128"
"consumer-controlplane",1785352956,"91663312"
"consumer-controlplane",1785352961,"161549720"
"consumer-controlplane",1785352966,"194255880"
"consumer-controlplane",1785352971,"284320520"
"consumer-controlplane",1785352976,"122317680"
"consumer-controlplane",1785352981,"124965112"
"consumer-controlplane",1785352986,"247030720"
"consumer-controlplane",1785352991,"141190352"
"consumer-controlplane",1785352996,"211228536"
"consumer-controlplane",1785353001,"97832304"
"consumer-controlplane",1785353006,"174065552"
"consumer-controlplane",1785353011,"246983864"
"consumer-controlplane",1785353016,"127393680"
"consumer-controlplane",1785353021,"223563680"
"consumer-controlplane",1785353026,"278635048"
"consumer-controlplane",1785353031,"128710880"
"consumer-controlplane",1785353036,"196994872"
"consumer-controlplane",1785353041,"245114648"
"consumer-controlplane",1785353046,"91849616"
"consumer-controlplane",1785353051,"103233296"
"consumer-controlplane",1785353056,"148581456"
"consumer-controlplane",1785353061,"239706824"
"consumer-controlplane",1785353066,"120111240"
"consumer-controlplane",1785353071,"216578464"
"consumer-controlplane",1785353076,"266717712"
"consumer-controlplane",1785353081,"140735600"
"consumer-controlplane",1785353086,"210677176"
"consumer-controlplane",1785353091,"250564696"
"consumer-controlplane",1785353096,"123354536"
"consumer-controlplane",1785353101,"134710760"
"consumer-controlplane",1785353106,"250185896"
"consumer-controlplane",1785353111,"302970512"
"consumer-controlplane",1785353116,"137056936"
"consumer-controlplane",1785353121,"217426792"
"consumer-controlplane",1785353126,"264678296"
"consumer-controlplane",1785353131,"94817536"
"consumer-controlplane",1785353136,"162322464"
"consumer-controlplane",1785353141,"261989040"
"consumer-controlplane",1785353146,"123443496"
"consumer-controlplane",1785353151,"214934872"
"consumer-controlplane",1785353156,"272574784"
"consumer-controlplane",1785353161,"105675656"
"consumer-controlplane",1785353166,"204973000"
"consumer-controlplane",1785353171,"142694344"
"consumer-controlplane",1785353176,"280888776"
"consumer-controlplane",1785353181,"117715912"
"consumer-controlplane",1785353186,"291464808"
"consumer-controlplane",1785353191,"132795112"
"consumer-controlplane",1785353196,"208089584"
"consumer-controlplane",1785353201,"257115920"
"consumer-controlplane",1785353206,"111617840"
"consumer-controlplane",1785353211,"189774480"
"consumer-controlplane",1785353216,"234144992"
"consumer-controlplane",1785353221,"252439680"
"consumer-controlplane",1785353226,"151366024"
"consumer-controlplane",1785353231,"254949704"
"consumer-controlplane",1785353236,"110894064"
"consumer-controlplane",1785353241,"225838040"
"consumer-controlplane",1785353246,"268841536"
"consumer-controlplane",1785353251,"138701168"
"consumer-controlplane",1785353256,"223589944"
"consumer-controlplane",1785353261,"109091936"
"consumer-controlplane",1785353266,"101374432"
"consumer-controlplane",1785353271,"224353784"
"consumer-controlplane",1785353276,"283484608"
"consumer-controlplane",1785353281,"285530680"
"consumer-controlplane",1785353286,"141038608"
"consumer-controlplane",1785353291,"101671928"
"consumer-controlplane",1785353296,"227353504"
"consumer-controlplane",1785353301,"124756472"
"consumer-controlplane",1785353306,"250253808"
"consumer-controlplane",1785353311,"96524600"
"consumer-controlplane",1785353316,"145788184"
"consumer-controlplane",1785353321,"225655576"
"consumer-controlplane",1785353326,"134945424"
"consumer-controlplane",1785353331,"212231888"
"consumer-controlplane",1785353336,"288959160"
"consumer-controlplane",1785353341,"142540008"
"consumer-controlplane",1785353346,"199887464"
"consumer-controlplane",1785353351,"155467416"
"consumer-controlplane",1785353356,"142315880"
"consumer-controlplane",1785353361,"266869032"
"consumer-controlplane",1785353366,"145561792"
"consumer-controlplane",1785353371,"200972560"
"consumer-controlplane",1785353376,"306496560"
"consumer-controlplane",1785353381,"183037024"
"consumer-controlplane",1785353386,"296642056"
"consumer-controlplane",1785353391,"121272856"
"consumer-controlplane",1785353396,"167148176"
"consumer-controlplane",1785353401,"230189656"
"consumer-controlplane",1785353406,"303766440"
"consumer-controlplane",1785353411,"256830696"
"consumer-controlplane",1785353416,"140517024"
"consumer-controlplane",1785353421,"198053872"
"consumer-controlplane",1785353426,"256116688"
"consumer-controlplane",1785353431,"142857320"
"consumer-controlplane",1785353436,"181235904"
"consumer-controlplane",1785353441,"218390592"
"consumer-controlplane",1785353446,"276343200"
"consumer-controlplane",1785353451,"133281744"
"consumer-controlplane",1785353456,"175072184"
"consumer-controlplane",1785353461,"224532816"
"consumer-controlplane",1785353466,"141379992"
"consumer-controlplane",1785353471,"233300320"
"consumer-controlplane",1785353476,"146511008"
"consumer-controlplane",1785353481,"205498128"
"consumer-controlplane",1785353486,"295621432"
"consumer-controlplane",1785353491,"187646656"
"consumer-controlplane",1785353496,"223092688"
"consumer-controlplane",1785353501,"271060752"
"consumer-controlplane",1785353506,"140560600"
"consumer-controlplane",1785353511,"208192552"
"consumer-controlplane",1785353516,"304037320"
"consumer-controlplane",1785353521,"118118672"
"consumer-controlplane",1785353526,"185125952"
"consumer-controlplane",1785353531,"138236368"
"consumer-controlplane",1785353536,"216767440"
"consumer-controlplane",1785353541,"110980832"
"consumer-controlplane",1785353546,"162048280"
"consumer-controlplane",1785353551,"288906720"
"consumer-controlplane",1785353556,"137593792"
"consumer-controlplane",1785353561,"283352440"
"consumer-controlplane",1785353566,"170868808"
"consumer-controlplane",1785353571,"205467000"
"consumer-controlplane",1785353576,"237647856"
"consumer-controlplane",1785353581,"107035648"
"consumer-controlplane",1785353586,"236126648"
"consumer-controlplane",1785353591,"306326904"
"consumer-controlplane",1785353596,"199991424"
"consumer-controlplane",1785353601,"274445488"
"consumer-controlplane",1785353606,"112532088"
"consumer-controlplane",1785353611,"244028080"
"consumer-controlplane",1785353616,"103402688"
"consumer-controlplane",1785353621,"156809984"
"consumer-controlplane",1785353626,"244068488"
"consumer-controlplane",1785353631,"103129008"
"consumer-controlplane",1785353636,"108480992"
"consumer-controlplane",1785353641,"169996496"
"consumer-controlplane",1785353646,"192684704"
"consumer-controlplane",1785353651,"155650912"
"consumer-controlplane",1785353656,"289901656"
"consumer-controlplane",1785353661,"233094096"
"consumer-controlplane",1785353666,"104867408"
"consumer-controlplane",1785353671,"152104056"
"consumer-controlplane",1785353676,"256518088"
"consumer-controlplane",1785353681,"122396072"
"consumer-controlplane",1785353686,"215125560"
"consumer-controlplane",1785353691,"113314584"
"consumer-controlplane",1785353696,"135447800"
"consumer-controlplane",1785353701,"191322480"
"consumer-controlplane",1785353706,"103499160"
"consumer-controlplane",1785353711,"161369016"
"consumer-controlplane",1785353716,"256084520"
"consumer-controlplane",1785353721,"123994152"
"consumer-controlplane",1785353726,"183664296"
"consumer-controlplane",1785353731,"271539696"
"consumer-controlplane",1785353736,"98131024"
"consumer-controlplane",1785353741,"131023976"
"consumer-controlplane",1785353746,"221313432"
"consumer-controlplane",1785353751,"298203992"
"consumer-controlplane",1785353756,"151870704"
"consumer-controlplane",1785353761,"254168792"
"consumer-controlplane",1785353766,"148947976"
"consumer-controlplane",1785353771,"259684384"
"consumer-controlplane",1785353776,"278564824"
"consumer-controlplane",1785353781,"114750408"
"consumer-controlplane",1785353786,"237890464"
"consumer-controlplane",1785353791,"297120048"
