series,timestamp,value
"consumer-controlplane",1785503189,"182"
"consumer-controlplane",1785503194,"182"
"consumer-controlplane",1785503199,"182"
"consumer-controlplane",1785503204,"182"
"consumer-controlplane",1785503209,"182"
"consumer-controlplane",1785503214,"182"
"consumer-controlplane",1785503219,"182"
"consumer-controlplane",1785503224,"181"
"consumer-controlplane",1785503229,"179"
"consumer-controlplane",1785503234,"179"
"consumer-controlplane",1785503239,"179"
"consumer-controlplane",1785503244,"178"
"consumer-controlplane",1785503249,"177"
"consumer-controlplane",1785503254,"177"
"consumer-controlplane",1785503259,"178"
"consumer-controlplane",1785503264,"178"
"consumer-controlplane",1785503269,"178"
"consumer-controlplane",1785503274,"178"
"consumer-controlplane",1785503279,"178"
"consumer-controlplane",1785503284,"177"
"consumer-controlplane",1785503289,"176"
"consumer-controlplane",1785503294,"176"
"consumer-controlplane",1785503299,"176"
"consumer-controlplane",1785503304,"176"
"consumer-controlplane",1785503309,"176"
"consumer-controlplane",1785503314,"177"
"consumer-controlplane",1785503319,"177"
"consumer-controlplane",1785503324,"177"
"consumer-controlplane",1785503329,"177"
"consumer-controlplane",1785503334,"177"
"consumer-controlplane",1785503339,"177"
"consumer-controlplane",1785503344,"176"
"consumer-controlplane",1785503349,"176"
"consumer-controlplane",1785503354,"176"
"consumer-controlplane",1785503359,"176"
"consumer-controlplane",1785503364,"176"
"consumer-controlplane",1785503369,"177"
"consumer-controlplane",1785503374,"178"
"consumer-controlplane",1785503379,"178"
"consumer-controlplane",1785503384,"178"
"consumer-controlplane",1785503389,"178"
"consumer-controlplane",1785503394,"178"
"consumer-controlplane",1785503399,"178"
"consumer-controlplane",1785503404,"177"
"consumer-controlplane",1785503409,"177"
"consumer-controlplane",1785503414,"177"
"consumer-controlplane",1785503419,"177"
"consumer-controlplane",1785503424,"177"
"consumer-controlplane",1785503429,"177"
"consumer-controlplane",1785503434,"177"
"consumer-controlplane",1785503439,"177"
"consumer-controlplane",1785503444,"177"
"consumer-controlplane",1785503449,"177"
"consumer-controlplane",1785503454,"177"
"consumer-controlplane",1785503459,"175"
"consumer-controlplane",1785503464,"174"
"consumer-controlplane",1785503469,"174"
"consumer-controlplane",1785503474,"174"
"consumer-controlplane",1785503479,"174"
"consumer-controlplane",1785503484,"174"
"consumer-controlplane",1785503489,"174"
"consumer-controlplane",1785503494,"173"
"consumer-controlplane",1785503499,"173"
"consumer-controlplane",1785503504,"174"
"consumer-controlplane",1785503509,"174"
"consumer-controlplane",1785503514,"174"
"consumer-controlplane",1785503519,"174"
"consumer-controlplane",1785503524,"173"
"consumer-controlplane",1785503529,"173"
"consumer-controlplane",1785503534,"174"
"consumer-controlplane",1785503539,"174"
"consumer-controlplane",1785503544,"174"
"consumer-controlplane",1785503549,"174"
"consumer-controlplane",1785503554,"174"
"consumer-controlplane",1785503559,"174"
"consumer-controlplane",1785503564,"174"
"consumer-controlplane",1785503569,"174"
"consumer-controlplane",1785503574,"174"
"consumer-controlplane",1785503579,"174"
"consumer-controlplane",1785503584,"173"
"consumer-controlplane",1785503589,"173"
"consumer-controlplane",1785503594,"173"
"consumer-controlplane",1785503599,"173"
"consumer-controlplane",1785503604,"173"
"consumer-controlplane",1785503609,"173"
"consumer-controlplane",1785503614,"173"
"consumer-controlplane",1785503619,"173"
"consumer-controlplane",1785503624,"173"
"consumer-controlplane",1785503629,"173"
"consumer-controlplane",1785503634,"173"
"consumer-controlplane",1785503639,"172"
"consumer-controlplane",1785503644,"171"
"consumer-controlplane",1785503649,"171"
"consumer-controlplane",1785503654,"171"
"consumer-controlplane",1785503659,"170"
"consumer-controlplane",1785503664,"170"
"consumer-controlplane",1785503669,"172"
"consumer-controlplane",1785503674,"173"
"consumer-controlplane",1785503679,"173"
"consumer-controlplane",1785503684,"173"
"consumer-controlplane",1785503689,"173"
"consumer-controlplane",1785503694,"173"
"consumer-controlplane",1785503699,"173"
"consumer-controlplane",1785503704,"172"
"consumer-controlplane",1785503709,"172"
"consumer-controlplane",1785503714,"172"
"consumer-controlplane",1785503719,"172"
"consumer-controlplane",1785503724,"172"
"consumer-controlplane",1785503729,"171"
"consumer-controlplane",1785503734,"171"
"consumer-controlplane",1785503739,"170"
"consumer-controlplane",1785503744,"170"
"consumer-controlplane",1785503749,"170"
"consumer-controlplane",1785503754,"171"
"consumer-controlplane",1785503759,"171"
"consumer-controlplane",1785503764,"170"
"consumer-controlplane",1785503769,"170"
