series,timestamp,value
"consumer-controlplane",1785496408,"204508728"
"consumer-controlplane",1785496413,"176652736"
"consumer-controlplane",1785496418,"93163480"
"consumer-controlplane",1785496423,"99504360"
"consumer-controlplane",1785496428,"126048880"
"consumer-controlplane",1785496433,"125901856"
"consumer-controlplane",1785496438,"155784272"
"consumer-controlplane",1785496443,"183011656"
"consumer-controlplane",1785496448,"198347624"
"consumer-controlplane",1785496453,"90495200"
"consumer-controlplane",1785496458,"107176392"
"consumer-controlplane",1785496463,"138662416"
"consumer-controlplane",1785496468,"143348736"
"consumer-controlplane",1785496473,"162896944"
"consumer-controlplane",1785496478,"196373752"
"consumer-controlplane",1785496483,"66005112"
"consumer-controlplane",1785496488,"81011736"
"consumer-controlplane",1785496493,"98731368"
"consumer-controlplane",1785496498,"127247360"
"consumer-controlplane",1785496503,"144579344"
"consumer-controlplane",1785496508,"157788992"
"consumer-controlplane",1785496513,"172653136"
"consumer-controlplane",1785496518,"191857128"
"consumer-controlplane",1785496523,"74843104"
"consumer-controlplane",1785496528,"95950344"
"consumer-controlplane",1785496533,"128672336"
"consumer-controlplane",1785496538,"151930808"
"consumer-controlplane",1785496543,"160893504"
"consumer-controlplane",1785496548,"177788696"
"consumer-controlplane",1785496553,"199844440"
"consumer-controlplane",1785496558,"80230792"
"consumer-controlplane",1785496563,"88215256"
"consumer-controlplane",1785496568,"123928104"
"consumer-controlplane",1785496573,"136045160"
"consumer-controlplane",1785496578,"147337624"
"consumer-controlplane",1785496583,"171940536"
"consumer-controlplane",1785496588,"206297888"
"consumer-controlplane",1785496593,"68088400"
"consumer-controlplane",1785496598,"95074712"
"consumer-controlplane",1785496603,"107413872"
"consumer-controlplane",1785496608,"127131256"
"consumer-controlplane",1785496613,"150524768"
"consumer-controlplane",1785496618,"166236400"
"consumer-controlplane",1785496623,"197643048"
"consumer-controlplane",1785496628,"68232136"
"consumer-controlplane",1785496633,"103663696"
"consumer-controlplane",1785496638,"116173632"
"consumer-controlplane",1785496643,"130653016"
"consumer-controlplane",1785496648,"148768768"
"consumer-controlplane",1785496653,"174536200"
"consumer-controlplane",1785496658,"182617952"
"consumer-controlplane",1785496663,"200645920"
"consumer-controlplane",1785496668,"71330320"
"consumer-controlplane",1785496673,"109346264"
"consumer-controlplane",1785496678,"111583864"
"consumer-controlplane",1785496683,"150190088"
"consumer-controlplane",1785496688,"181172144"
"consumer-controlplane",1785496693,"188785680"
"consumer-controlplane",1785496698,"69038168"
"consumer-controlplane",1785496703,"91437200"
"consumer-controlplane",1785496708,"114675232"
"consumer-controlplane",1785496713,"131654680"
"consumer-controlplane",1785496718,"118187272"
"consumer-controlplane",1785496723,"141451672"
"consumer-controlplane",1785496728,"145092272"
"consumer-dataplane",1785496408,"143945744"
"consumer-dataplane",1785496413,"144862472"
"consumer-dataplane",1785496418,"145920960"
"consumer-dataplane",1785496423,"146532048"
"consumer-dataplane",1785496428,"147143176"
"consumer-dataplane",1785496433,"148226080"
"consumer-dataplane",1785496438,"149066248"
"consumer-dataplane",1785496443,"150138728"
"consumer-dataplane",1785496448,"151512448"
"consumer-dataplane",1785496453,"152131768"
"consumer-dataplane",1785496458,"152751080"
"consumer-dataplane",1785496463,"153829888"
"consumer-dataplane",1785496468,"154888168"
"consumer-dataplane",1785496473,"155499408"
"consumer-dataplane",1785496478,"156110528"
"consumer-dataplane",1785496483,"157507152"
"consumer-dataplane",1785496488,"158520168"
"consumer-dataplane",1785496493,"159131256"
"consumer-dataplane",1785496498,"160361544"
"consumer-dataplane",1785496503,"161278328"
"consumer-dataplane",1785496508,"161889432"
"consumer-dataplane",1785496513,"162500584"
"consumer-dataplane",1785496518,"163702256"
"consumer-dataplane",1785496523,"164460944"
"consumer-dataplane",1785496528,"165072120"
"consumer-dataplane",1785496533,"166468736"
"consumer-dataplane",1785496538,"167088064"
"consumer-dataplane",1785496543,"167707528"
"consumer-dataplane",1785496548,"168954160"
"consumer-dataplane",1785496553,"169879088"
"consumer-dataplane",1785496558,"170498528"
"consumer-dataplane",1785496563,"171117848"
"consumer-dataplane",1785496568,"172321912"
"consumer-dataplane",1785496573,"173238608"
"consumer-dataplane",1785496578,"173849944"
"consumer-dataplane",1785496583,"174932872"
"consumer-dataplane",1785496588,"175687336"
"consumer-dataplane",1785496593,"176298432"
"consumer-dataplane",1785496598,"177842456"
"consumer-dataplane",1785496603,"178295576"
"consumer-dataplane",1785496608,"179212352"
"consumer-dataplane",1785496613,"179823448"
"consumer-dataplane",1785496618,"180992136"
"consumer-dataplane",1785496623,"181603456"
"consumer-dataplane",1785496628,"182520120"
"consumer-dataplane",1785496633,"183602928"
"consumer-dataplane",1785496638,"184214056"
"consumer-dataplane",1785496643,"184833344"
"consumer-dataplane",1785496648,"186366312"
"consumer-dataplane",1785496653,"45505584"
"consumer-dataplane",1785496658,"46440944"
"consumer-dataplane",1785496663,"47695288"
"consumer-dataplane",1785496668,"48135912"
"consumer-dataplane",1785496673,"49071240"
"consumer-dataplane",1785496678,"50483448"
"consumer-dataplane",1785496683,"51892144"
"consumer-dataplane",1785496688,"52009608"
"consumer-dataplane",1785496693,"52944960"
"consumer-dataplane",1785496698,"54320904"
"consumer-dataplane",1785496703,"54433304"
"consumer-dataplane",1785496708,"55385080"
"consumer-dataplane",1785496713,"56336856"
"consumer-dataplane",1785496718,"56793864"
"consumer-dataplane",1785496723,"57745728"
"consumer-dataplane",1785496728,"58814960"
"provider-controlplane",1785496408,"134472696"
"provider-controlplane",1785496413,"101082328"
"provider-controlplane",1785496418,"169645200"
"provider-controlplane",1785496423,"170436968"
